,label,bow_wt,bow_stem,bow_lem
0,httpsechocamediaabaabbedcddapubl,,1.0,
1,httpsechocamediaabaabbedcddapublic,1.0,,1.0
2,httpsechocamediaaccfeeabaefacdpubl,,1.0,
3,httpsechocamediaaccfeeabaefacdpublic,1.0,,1.0
4,httpsechocamediabbebfbdecbfcdpubl,,1.0,
5,httpsechocamediabbebfbdecbfcdpublic,1.0,,1.0
6,httpsechocamediabdfcfffaadbpubl,,1.0,
7,httpsechocamediabdfcfffaadbpublic,1.0,,1.0
8,httpsechocamediacdabaafbcdbedpubl,,1.0,
9,httpsechocamediacdabaafbcdbedpublic,1.0,,1.0
10,httpsechocamediacdbeebdaafdbpubl,,1.0,
11,httpsechocamediacdbeebdaafdbpublic,1.0,,1.0
12,httpsechocamediacdeccbaecbdpubl,,1.0,
13,httpsechocamediacdeccbaecbdpublic,1.0,,1.0
14,httpsechocamediacfecfcpubl,,1.0,
15,httpsechocamediacfecfcpublic,1.0,,1.0
16,httpsechocamediadadaafebccbdaccfpubl,,1.0,
17,httpsechocamediadadaafebccbdaccfpublic,1.0,,1.0
18,httpsechocamediadbaadaefdpubl,,1.0,
19,httpsechocamediadbaadaefdpublic,1.0,,1.0
20,httpsechocamediadceccbaadcfbbpubl,,1.0,
21,httpsechocamediadceccbaadcfbbpublic,1.0,,1.0
22,httpsechocamediaddapubl,,1.0,
23,httpsechocamediaddapublic,1.0,,1.0
24,httpsechocamediaefafdcabaccddapubl,,1.0,
25,httpsechocamediaefafdcabaccddapublic,1.0,,1.0
26,httpsechocamediafcacfddbcfpubl,,1.0,
27,httpsechocamediafcacfddbcfpublic,1.0,,1.0
28,httpsechocamediafebadbadcpubl,,1.0,
29,httpsechocamediafebadbadcpublic,1.0,,1.0
30,httpseclipsesourcecomblogstutorialsegittutori,,1.0,
31,httpseclipsesourcecomblogstutorialsegittutorial,1.0,,1.0
32,httpsenwikipediaorgwikilistofunifiedmodelinglanguagetool,,1.0,
33,httpsenwikipediaorgwikilistofunifiedmodelinglanguagetools,1.0,,1.0
34,httpsgithubcombiltzerposteachingcod,,3.0,
35,httpsgithubcombiltzerposteachingcode,3.0,,3.0
36,httpsgithubcomtestfxtestfx,1.0,1.0,1.0
37,httpsgitscmcombookenv,1.0,1.0,1.0
38,httpsjunitorgjunitdocscurrentuserguid,,1.0,
39,httpsjunitorgjunitdocscurrentuserguide,1.0,,1.0
40,httpsnviecompostsasuccessfulgitbranchingmodel,1.0,1.0,1.0
41,httpsonlinevisualparadigmcomdiagramstutori,,1.0,
42,httpsonlinevisualparadigmcomdiagramstutorials,1.0,,1.0
43,httpsplantumlcom,1.0,1.0,1.0
44,httpstarcraftccsyorkucaatlasservletatla,,1.0,
45,httpstarcraftccsyorkucaatlasservletatlas,1.0,,1.0
46,httpswikieecsyorkucacoursearchivewcontact,1.0,1.0,1.0
47,httpswikieecsyorkucacoursearchivewcourseoutlin,,2.0,
48,httpswikieecsyorkucacoursearchivewcourseoutline,2.0,,2.0
49,httpswikieecsyorkucacoursearchivewcourseoutlinecont,,1.0,
50,httpswikieecsyorkucacoursearchivewcourseoutlinecontent,1.0,,1.0
51,httpswikieecsyorkucacoursearchivewcourseoutlinecourseoutlin,,1.0,
52,httpswikieecsyorkucacoursearchivewcourseoutlinecourseoutline,1.0,,1.0
53,httpswikieecsyorkucacoursearchivewcourseoutlinedobacklink,1.0,1.0,1.0
54,httpswikieecsyorkucacoursearchivewcourseoutlinedu,,11.0,
55,httpswikieecsyorkucacoursearchivewcourseoutlinedue,11.0,,11.0
56,httpswikieecsyorkucacoursearchivewcourseoutlinelabtask,11.0,11.0,11.0
57,httpswikieecsyorkucacoursearchivewcourseoutlinestudymateri,,9.0,
58,httpswikieecsyorkucacoursearchivewcourseoutlinestudymaterial,9.0,,9.0
59,httpswikieecsyorkucacoursearchivewcourseoutlineweeklygo,,11.0,
60,httpswikieecsyorkucacoursearchivewcourseoutlineweeklygoals,11.0,,11.0
61,httpswikieecsyorkucacoursearchivewcourseoutlineweektobecompletedbywednesdayapril,1.0,1.0,1.0
62,httpswikieecsyorkucacoursearchivewcourseoutlineweektobecompletedbywednesdayfebruari,,3.0,
63,httpswikieecsyorkucacoursearchivewcourseoutlineweektobecompletedbywednesdayfebruary,3.0,,3.0
64,httpswikieecsyorkucacoursearchivewcourseoutlineweektobecompletedbywednesdayjanuari,,2.0,
65,httpswikieecsyorkucacoursearchivewcourseoutlineweektobecompletedbywednesdayjanuary,2.0,,2.0
66,httpswikieecsyorkucacoursearchivewcourseoutlineweektobecompletedbywednesdaymarch,5.0,5.0,5.0
67,httpswikieecsyorkucacoursearchivewev,,1.0,
68,httpswikieecsyorkucacoursearchiveweval,1.0,,1.0
69,httpswikieecsyorkucacoursearchivewgrad,,1.0,
70,httpswikieecsyorkucacoursearchivewgrades,1.0,,1.0
71,httpswikieecsyorkucacoursearchivewimportantd,,1.0,
72,httpswikieecsyorkucacoursearchivewimportantdates,1.0,,1.0
73,httpswikieecsyorkucacoursearchivewmediacodecoveragepdf,1.0,1.0,1.0
74,httpswikieecsyorkucacoursearchivewmediadesignpdf,1.0,1.0,1.0
75,httpswikieecsyorkucacoursearchivewmediaeecsteamexpectationsagreementtxt,1.0,1.0,1.0
76,httpswikieecsyorkucacoursearchivewmediagitflowpdf,1.0,1.0,1.0
77,httpswikieecsyorkucacoursearchivewmediagitpdf,1.0,1.0,1.0
78,httpswikieecsyorkucacoursearchivewmediajunitpdf,1.0,1.0,1.0
79,httpswikieecsyorkucacoursearchivewmediamidtermsubmissionpdf,1.0,1.0,1.0
80,httpswikieecsyorkucacoursearchivewmediaprojintropdf,1.0,1.0,1.0
81,httpswikieecsyorkucacoursearchivewmoodl,,1.0,
82,httpswikieecsyorkucacoursearchivewmoodle,1.0,,1.0
83,httpswikieecsyorkucacoursearchivewproj,1.0,1.0,1.0
84,httpswikieecsyorkucacoursearchivewstart,2.0,2.0,2.0
85,httpswwwcampingcodercomgitmergesdemystifi,,1.0,
86,httpswwwcampingcodercomgitmergesdemystified,1.0,,1.0
87,httpswwwcampingcodercomhowtousegitflow,1.0,1.0,1.0
88,httpswwwcseyorkuca,1.0,1.0,1.0
89,httpswwwdiagramsnet,1.0,1.0,1.0
90,httpswwwlinkedincomlearningeclipseessentialtrainingdebuggingajavaapp,1.0,1.0,1.0
91,httpswwwlinkedincomlearningeclipseessentialtrainingrefactoringcod,,1.0,
92,httpswwwlinkedincomlearningeclipseessentialtrainingrefactoringcode,1.0,,1.0
93,httpswwwlinkedincomlearningeclipseessentialtrainingusingbreakpoint,,1.0,
94,httpswwwlinkedincomlearningeclipseessentialtrainingusingbreakpoints,1.0,,1.0
95,httpswwwlinkedincomlearninggitbranchesmergesandremot,,1.0,
96,httpswwwlinkedincomlearninggitbranchesmergesandremotes,1.0,,1.0
97,httpswwwlinkedincomlearninggitessentialtrainingthebas,,1.0,
98,httpswwwlinkedincomlearninggitessentialtrainingthebasics,1.0,,1.0
99,httpswwwlinkedincomlearningnailyoursoftwaretesterinterviewsolutionbugreport,,1.0,
100,httpswwwlinkedincomlearningnailyoursoftwaretesterinterviewsolutionbugreporting,1.0,,1.0
101,httpswwwlinkedincomlearningprogrammingfoundationsobjectorienteddesign,1.0,1.0,1.0
102,httpswwwlinkedincomlearningprogrammingfoundationssoftwaretestingqa,1.0,1.0,1.0
103,httpswwwlinkedincomlearningsoftwaredesignmodelingwithuml,1.0,1.0,1.0
104,httpswwwlinkedincomlearningsoftwaretestingfoundationsbugwritingandmanag,,1.0,
105,httpswwwlinkedincomlearningsoftwaretestingfoundationsbugwritingandmanagement,1.0,,1.0
106,httpswwwlinkedincomlearningsoftwaretestingfoundationsbugwritingandmanagementcommonbugreportingissu,,1.0,
107,httpswwwlinkedincomlearningsoftwaretestingfoundationsbugwritingandmanagementcommonbugreportingissues,1.0,,1.0
108,httpswwwnotionsogitgithubbcbecdadbc,,1.0,
109,httpswwwnotionsogitgithubbcbecdadbce,1.0,,1.0
110,httpswwwyoutubecomwatchvewqyupxclistplqqpqlttaadjisvisbfvgvwao,1.0,1.0,1.0
111,httpwwwcseyorkucaadmincosconacadhonestyhtml,1.0,1.0,1.0
112,httpwwwlibraryyorkuca,1.0,1.0,1.0
113,httpwwwresearchyorkuca,1.0,1.0,1.0
114,httpwwwyorkuca,2.0,2.0,2.0
115,httpwwwyorkucayorkweb,1.0,1.0,1.0
116,httpwwwyorkucayorkwebcshtm,1.0,1.0,1.0
117,httpwwwyorkucayorkwebfacultieshtm,1.0,1.0,1.0
