,label,bow_wt,bow_stem,bow_lem
0,avoid,1.0,1.0,1.0
1,branch,5.0,6.0,6.0
2,branches,1.0,,
3,chang,,1.0,
4,change,,,1.0
5,changes,1.0,,
6,commit,,1.0,
7,committing,1.0,,1.0
8,complet,,1.0,
9,completed,1.0,,1.0
10,conflict,,1.0,1.0
11,conflicts,1.0,,
12,demonstr,,2.0,
13,demonstrate,1.0,,1.0
14,demonstration,1.0,,1.0
15,develop,3.0,3.0,3.0
16,februari,,1.0,
17,february,1.0,,1.0
18,final,,1.0,
19,finally,1.0,,1.0
20,github,1.0,1.0,1.0
21,lab,3.0,3.0,3.0
22,merg,,1.0,
23,merging,1.0,,1.0
24,monday,1.0,1.0,1.0
25,must,1.0,1.0,1.0
26,organ,,1.0,
27,organize,1.0,,1.0
28,outlin,,1.0,
29,outlined,1.0,,1.0
30,person,,2.0,
31,personal,2.0,,2.0
32,prior,1.0,1.0,1.0
33,pull,1.0,1.0,1.0
34,push,,1.0,
35,pushing,1.0,,1.0
36,rememb,,1.0,
37,remember,1.0,,1.0
38,repositori,,1.0,
39,repository,1.0,,1.0
40,slide,,1.0,1.0
41,slides,1.0,,
42,start,,1.0,
43,starting,1.0,,1.0
44,task,2.0,2.0,2.0
45,team,1.0,1.0,1.0
46,wednesday,1.0,1.0,1.0
47,week,1.0,1.0,1.0
