,label,bow_wt,bow_stem,bow_lem
0,applic,,1.0,
1,application,1.0,,1.0
2,code,1.0,1.0,1.0
3,complet,,1.0,
4,completed,1.0,,1.0
5,continu,,1.0,
6,continue,1.0,,1.0
7,debug,,1.0,
8,debugging,1.0,,1.0
9,develop,,1.0,
10,developing,1.0,,1.0
11,document,,1.0,
12,documentation,1.0,,1.0
13,feb,1.0,1.0,1.0
14,februari,,1.0,
15,february,1.0,,1.0
16,goal,,1.0,1.0
17,goals,1.0,,
18,gradl,,1.0,
19,gradle,1.0,,1.0
20,manual,2.0,2.0,2.0
21,prototyp,,1.0,
22,prototype,1.0,,1.0
23,requir,,1.0,
24,requirement,,,1.0
25,requirements,1.0,,
26,set,1.0,1.0,1.0
27,submit,1.0,1.0,1.0
28,system,2.0,2.0,2.0
29,test,1.0,2.0,1.0
30,testing,1.0,,1.0
31,use,1.0,1.0,1.0
32,user,2.0,2.0,2.0
33,wed,1.0,1.0,1.0
34,wednesday,1.0,1.0,1.0
35,week,1.0,1.0,1.0
36,weekli,,1.0,
37,weekly,1.0,,1.0
