,label,bow_wt,bow_stem,bow_lem
0,app,1.0,1.0,1.0
1,breakout,1.0,1.0,1.0
2,case,,1.0,1.0
3,cases,1.0,,
4,click,1.0,1.0,1.0
5,complet,,1.0,
6,completed,1.0,,1.0
7,cool,1.0,1.0,1.0
8,due,3.0,3.0,3.0
9,featur,,1.0,
10,feature,,,1.0
11,features,1.0,,
12,follow,,1.0,
13,following,1.0,,1.0
14,formal,1.0,1.0,1.0
15,found,1.0,1.0,1.0
16,group,12.0,12.0,12.0
17,highlight,1.0,1.0,1.0
18,import,,1.0,
19,important,1.0,,1.0
20,instruct,,1.0,
21,instruction,,,1.0
22,instructions,1.0,,
23,item,1.0,1.0,1.0
24,lab,2.0,2.0,2.0
25,lectur,,1.0,
26,lecture,1.0,,1.0
27,link,1.0,1.0,1.0
28,march,2.0,2.0,2.0
29,mark,1.0,1.0,1.0
30,materi,,1.0,
31,material,1.0,,1.0
32,meet,,1.0,
33,meeting,1.0,,1.0
34,midterm,2.0,2.0,2.0
35,monday,2.0,2.0,2.0
36,new,1.0,1.0,1.0
37,one,1.0,1.0,1.0
38,onlin,,1.0,
39,online,1.0,,1.0
40,place,1.0,1.0,1.0
41,practic,,1.0,
42,practice,1.0,,1.0
43,present,1.0,3.0,1.0
44,presentation,2.0,,2.0
45,project,2.0,2.0,2.0
46,recommend,,1.0,
47,recommended,1.0,,1.0
48,requir,,1.0,
49,required,1.0,,1.0
50,room,,1.0,1.0
51,rooms,1.0,,
52,schedul,,1.0,
53,schedule,1.0,,1.0
54,set,1.0,1.0,1.0
55,show,,1.0,
56,showing,1.0,,1.0
57,slide,,1.0,1.0
58,slides,1.0,,
59,studi,,1.0,
60,study,1.0,,1.0
61,submiss,,3.0,
62,submission,3.0,,3.0
63,sunday,1.0,1.0,1.0
64,take,1.0,1.0,1.0
65,task,1.0,1.0,1.0
66,use,1.0,2.0,1.0
67,using,1.0,,1.0
68,usual,1.0,1.0,1.0
69,video,1.0,1.0,1.0
70,wednesday,2.0,2.0,2.0
71,week,4.0,4.0,4.0
