,label,bow_wt,bow_stem,bow_lem
0,activ,,1.0,
1,activity,1.0,,1.0
2,also,2.0,2.0,2.0
3,class,1.0,1.0,1.0
4,complet,,2.0,
5,complete,1.0,,1.0
6,completed,1.0,,1.0
7,contain,1.0,1.0,1.0
8,cours,,2.0,
9,course,2.0,,2.0
10,creat,,1.0,
11,creating,1.0,,1.0
12,dedic,,1.0,
13,dedicated,1.0,,1.0
14,describ,,1.0,
15,describing,1.0,,1.0
16,design,2.0,2.0,2.0
17,develop,,1.0,
18,developing,1.0,,1.0
19,diagram,,6.0,6.0
20,diagrams,6.0,,
21,diagramsnet,1.0,1.0,1.0
22,differ,,1.0,
23,different,1.0,,1.0
24,document,3.0,3.0,3.0
25,draw,,1.0,
26,drawing,1.0,,1.0
27,emphas,,1.0,
28,emphasize,1.0,,1.0
29,engin,,1.0,
30,engineer,1.0,,1.0
31,except,1.0,1.0,1.0
32,final,2.0,2.0,2.0
33,find,1.0,1.0,1.0
34,focu,,1.0,
35,focus,1.0,,1.0
36,follow,,1.0,
37,following,1.0,,1.0
38,includ,,1.0,
39,including,1.0,,1.0
40,interest,1.0,1.0,1.0
41,kind,1.0,2.0,2.0
42,kinds,1.0,,
43,list,2.0,2.0,2.0
44,made,1.0,1.0,1.0
45,march,1.0,1.0,1.0
46,materi,,1.0,
47,material,1.0,,1.0
48,may,1.0,1.0,1.0
49,midterm,1.0,1.0,1.0
50,number,1.0,1.0,1.0
51,object,1.0,1.0,1.0
52,often,1.0,1.0,1.0
53,onlin,,1.0,
54,online,1.0,,1.0
55,plantuml,1.0,1.0,1.0
56,point,,1.0,1.0
57,points,1.0,,
58,present,1.0,1.0,1.0
59,purpos,,1.0,
60,purpose,1.0,,1.0
61,quit,,1.0,
62,quite,1.0,,1.0
63,see,1.0,1.0,1.0
64,select,1.0,1.0,1.0
65,sequenc,,1.0,
66,sequence,1.0,,1.0
67,similar,1.0,1.0,1.0
68,slide,,1.0,1.0
69,slides,1.0,,
70,softwar,,1.0,
71,software,1.0,,1.0
72,start,2.0,2.0,2.0
73,studi,,2.0,
74,study,2.0,,2.0
75,submiss,,3.0,
76,submission,3.0,,3.0
77,support,1.0,1.0,1.0
78,system,1.0,1.0,1.0
79,target,1.0,1.0,1.0
80,tool,1.0,5.0,5.0
81,tools,4.0,,
82,tutori,,1.0,
83,tutorial,,,1.0
84,tutorials,1.0,,
85,type,,2.0,2.0
86,types,2.0,,
87,uml,5.0,5.0,5.0
88,use,2.0,3.0,2.0
89,useful,1.0,,1.0
90,watch,,1.0,
91,watching,1.0,,1.0
92,wednesday,1.0,1.0,1.0
93,week,2.0,2.0,2.0
94,well,2.0,2.0,2.0
95,work,,1.0,
96,working,1.0,,1.0
97,worth,1.0,1.0,1.0
98,youll,1.0,1.0,1.0
