,label,bow_wt,bow_stem,bow_lem
0,abl,,1.0,
1,able,1.0,,1.0
2,absolut,,1.0,
3,absolutely,1.0,,1.0
4,actual,,14.0,
5,actually,14.0,,14.0
6,afterward,,1.0,
7,afterwards,1.0,,1.0
8,ago,1.0,1.0,1.0
9,allow,,1.0,
10,allows,1.0,,1.0
11,alreadi,,1.0,
12,already,1.0,,1.0
13,alright,1.0,1.0,1.0
14,also,8.0,8.0,8.0
15,alway,,4.0,
16,always,4.0,,4.0
17,analysi,,3.0,
18,analysis,3.0,,3.0
19,anoth,,2.0,
20,another,2.0,,2.0
21,anybodi,,1.0,
22,anybody,1.0,,1.0
23,around,2.0,2.0,2.0
24,autom,,1.0,
25,automate,1.0,,1.0
26,avail,,2.0,
27,available,2.0,,2.0
28,back,3.0,3.0,3.0
29,bad,1.0,1.0,1.0
30,banana,1.0,1.0,1.0
31,barossa,1.0,1.0,1.0
32,base,,2.0,
33,based,2.0,,2.0
34,basic,,6.0,
35,basically,6.0,,6.0
36,benefit,,1.0,1.0
37,benefits,1.0,,
38,better,4.0,4.0,4.0
39,big,5.0,5.0,5.0
40,bigger,1.0,1.0,1.0
41,bill,2.0,2.0,2.0
42,bit,1.0,1.0,1.0
43,blah,3.0,3.0,3.0
44,block,,1.0,1.0
45,blocks,1.0,,
46,bodi,,1.0,
47,body,1.0,,1.0
48,branch,1.0,3.0,3.0
49,branches,2.0,,
50,bug,,1.0,1.0
51,bugs,1.0,,
52,build,4.0,6.0,4.0
53,builder,1.0,1.0,1.0
54,building,2.0,,2.0
55,calcul,,4.0,
56,calculate,1.0,,1.0
57,calculates,1.0,,1.0
58,calculation,,,1.0
59,calculations,1.0,,
60,calculator,1.0,,1.0
61,call,5.0,12.0,5.0
62,called,7.0,,7.0
63,canobi,,1.0,
64,canobie,1.0,,1.0
65,capit,,2.0,
66,capital,1.0,,2.0
67,capitals,1.0,,
68,car,1.0,1.0,1.0
69,case,11.0,20.0,20.0
70,cases,9.0,,
71,categori,,2.0,
72,category,2.0,,2.0
73,class,2.0,5.0,5.0
74,classes,3.0,,
75,click,1.0,1.0,1.0
76,close,,1.0,
77,closed,1.0,,1.0
78,coco,1.0,1.0,1.0
79,code,12.0,13.0,12.0
80,coding,1.0,,1.0
81,cold,1.0,1.0,1.0
82,color,1.0,1.0,1.0
83,command,1.0,1.0,1.0
84,compani,,1.0,
85,company,1.0,,1.0
86,complet,,4.0,
87,complete,1.0,,1.0
88,completely,3.0,,3.0
89,concern,1.0,2.0,1.0
90,concerned,1.0,,1.0
91,condit,,4.0,
92,condition,3.0,,3.0
93,conditional,1.0,,1.0
94,convers,,1.0,
95,conversation,1.0,,1.0
96,copi,,1.0,
97,copy,1.0,,1.0
98,correctli,,1.0,
99,correctly,1.0,,1.0
100,could,4.0,4.0,4.0
101,cours,,4.0,
102,course,4.0,,4.0
103,cover,1.0,6.0,2.0
104,coverag,,13.0,
105,coverage,13.0,,13.0
106,covered,4.0,,4.0
107,covers,1.0,,
108,cradl,,3.0,
109,cradle,3.0,,3.0
110,creat,,3.0,
111,create,1.0,,1.0
112,created,1.0,,1.0
113,creates,1.0,,1.0
114,custom,1.0,2.0,1.0
115,customization,1.0,,1.0
116,cut,,1.0,1.0
117,cuts,1.0,,
118,dave,1.0,1.0,1.0
119,day,1.0,1.0,1.0
120,deal,4.0,4.0,4.0
121,decid,,1.0,
122,decide,1.0,,1.0
123,demo,1.0,1.0,1.0
124,demonstr,,1.0,
125,demonstrate,1.0,,1.0
126,despic,,1.0,
127,despicable,1.0,,1.0
128,detail,2.0,2.0,2.0
129,develop,,2.0,
130,developed,1.0,,1.0
131,development,1.0,,1.0
132,devop,,1.0,
133,devops,1.0,,1.0
134,differ,,4.0,
135,different,4.0,,4.0
136,direct,,1.0,
137,direction,1.0,,1.0
138,directli,,1.0,
139,directly,1.0,,1.0
140,director,1.0,1.0,1.0
141,directori,,2.0,
142,directory,2.0,,2.0
143,discov,,3.0,
144,discover,1.0,,1.0
145,discovered,2.0,,2.0
146,discoveri,,1.0,
147,discoveries,1.0,,
148,discovery,,,1.0
149,distanc,,1.0,
150,distance,1.0,,1.0
151,dive,,1.0,
152,diving,1.0,,1.0
153,document,1.0,1.0,1.0
154,doesnt,5.0,5.0,5.0
155,done,1.0,1.0,1.0
156,dont,5.0,5.0,5.0
157,drill,2.0,2.0,2.0
158,eclips,,1.0,
159,eclipse,1.0,,1.0
160,elev,,1.0,
161,elevate,1.0,,1.0
162,end,1.0,1.0,1.0
163,error,62.0,62.0,62.0
164,even,1.0,1.0,1.0
165,everyth,,1.0,
166,everything,1.0,,1.0
167,exactli,,1.0,
168,exactly,1.0,,1.0
169,exampl,,3.0,
170,example,3.0,,3.0
171,except,,2.0,
172,exception,2.0,,2.0
173,excus,,1.0,
174,excuse,1.0,,1.0
175,exe,1.0,1.0,1.0
176,execut,,6.0,
177,executed,5.0,,5.0
178,execution,1.0,,1.0
179,exist,1.0,1.0,1.0
180,expect,,2.0,
181,expected,1.0,,1.0
182,expects,1.0,,1.0
183,extra,2.0,2.0,2.0
184,fact,9.0,9.0,9.0
185,fail,1.0,2.0,1.0
186,failed,1.0,,1.0
187,fal,1.0,1.0,1.0
188,fall,1.0,1.0,1.0
189,fals,,2.0,
190,false,2.0,,2.0
191,farley,1.0,1.0,1.0
192,figur,,1.0,
193,figured,1.0,,1.0
194,file,3.0,3.0,3.0
195,final,1.0,1.0,1.0
196,find,3.0,3.0,3.0
197,fine,1.0,1.0,1.0
198,first,2.0,2.0,2.0
199,five,2.0,2.0,2.0
200,fix,3.0,3.0,3.0
201,follow,1.0,2.0,1.0
202,following,1.0,,1.0
203,forgot,1.0,1.0,1.0
204,format,2.0,2.0,2.0
205,former,1.0,1.0,1.0
206,function,,2.0,
207,functionality,2.0,,2.0
208,get,3.0,4.0,4.0
209,gets,1.0,,
210,give,1.0,1.0,1.0
211,glanc,,1.0,
212,glance,1.0,,1.0
213,go,,7.0,1.0
214,goal,1.0,1.0,1.0
215,goe,,1.0,
216,goes,1.0,,
217,going,7.0,,7.0
218,gold,1.0,1.0,1.0
219,gone,1.0,1.0,1.0
220,good,7.0,7.0,7.0
221,got,2.0,2.0,2.0
222,gradl,,2.0,
223,gradle,2.0,,2.0
224,great,3.0,3.0,3.0
225,greater,3.0,3.0,3.0
226,greatest,1.0,1.0,1.0
227,green,1.0,1.0,1.0
228,griddl,,1.0,
229,griddle,1.0,,1.0
230,guess,2.0,2.0,2.0
231,guitar,1.0,1.0,1.0
232,handi,,1.0,
233,handy,1.0,,1.0
234,happen,3.0,8.0,3.0
235,happened,2.0,,2.0
236,happens,3.0,,3.0
237,happi,,1.0,
238,happy,1.0,,1.0
239,havent,1.0,1.0,1.0
240,hear,2.0,2.0,2.0
241,here,,2.0,2.0
242,heres,2.0,,
243,high,1.0,1.0,1.0
244,hope,,1.0,
245,hopefully,1.0,,1.0
246,html,2.0,2.0,2.0
247,idea,2.0,2.0,2.0
248,identif,,1.0,
249,identification,1.0,,1.0
250,ill,2.0,2.0,2.0
251,immedi,,1.0,
252,immediately,1.0,,1.0
253,import,,6.0,
254,important,6.0,,6.0
255,includ,,1.0,
256,included,1.0,,1.0
257,index,2.0,2.0,2.0
258,inform,,3.0,
259,information,3.0,,3.0
260,input,4.0,4.0,4.0
261,integr,,1.0,
262,integrated,1.0,,1.0
263,interact,,1.0,
264,interactive,1.0,,1.0
265,interfac,,2.0,
266,interface,2.0,,2.0
267,isnt,2.0,2.0,2.0
268,ive,1.0,1.0,1.0
269,jack,1.0,1.0,1.0
270,jackalop,,2.0,
271,jackalope,2.0,,2.0
272,jacob,1.0,1.0,1.0
273,jav,1.0,1.0,1.0
274,job,2.0,2.0,2.0
275,keep,1.0,1.0,1.0
276,kind,9.0,9.0,9.0
277,know,9.0,10.0,10.0
278,knows,1.0,,
279,laptop,1.0,1.0,1.0
280,let,1.0,8.0,8.0
281,lets,7.0,,
282,level,1.0,1.0,1.0
283,like,3.0,3.0,3.0
284,line,4.0,6.0,6.0
285,lines,2.0,,
286,littl,,2.0,
287,little,2.0,,2.0
288,live,1.0,1.0,1.0
289,look,1.0,3.0,3.0
290,looks,2.0,,
291,lot,1.0,1.0,1.0
292,lower,1.0,1.0,1.0
293,lyric,,1.0,1.0
294,lyrics,1.0,,
295,made,1.0,1.0,1.0
296,main,1.0,1.0,1.0
297,make,6.0,7.0,7.0
298,makes,1.0,,
299,man,1.0,1.0,1.0
300,manag,,1.0,
301,manager,,,1.0
302,managers,1.0,,
303,mani,,3.0,
304,manual,1.0,1.0,1.0
305,many,3.0,,3.0
306,matter,1.0,1.0,1.0
307,may,1.0,1.0,1.0
308,mayb,,1.0,
309,maybe,1.0,,1.0
310,mean,3.0,4.0,4.0
311,means,1.0,,
312,messag,,1.0,
313,message,1.0,,1.0
314,method,3.0,7.0,7.0
315,methods,4.0,,
316,middl,,1.0,
317,middle,1.0,,1.0
318,miss,,5.0,
319,missed,3.0,,3.0
320,missing,2.0,,2.0
321,mojo,1.0,1.0,1.0
322,monitor,1.0,1.0,1.0
323,month,,1.0,1.0
324,months,1.0,,
325,mother,1.0,1.0,1.0
326,motor,1.0,1.0,1.0
327,move,1.0,1.0,1.0
328,much,2.0,2.0,2.0
329,name,1.0,1.0,1.0
330,necessari,,1.0,
331,necessary,1.0,,1.0
332,need,5.0,5.0,5.0
333,never,15.0,15.0,15.0
334,next,1.0,1.0,1.0
335,nfl,1.0,1.0,1.0
336,number,1.0,3.0,3.0
337,numbers,2.0,,
338,okay,9.0,9.0,9.0
339,old,1.0,1.0,1.0
340,one,11.0,11.0,11.0
341,onlin,,2.0,
342,online,2.0,,2.0
343,open,4.0,5.0,5.0
344,opens,1.0,,
345,outlin,,1.0,
346,outline,1.0,,1.0
347,pack,1.0,1.0,1.0
348,packag,,1.0,
349,package,1.0,,1.0
350,part,6.0,7.0,7.0
351,particular,1.0,1.0,1.0
352,parts,1.0,,
353,pas,,,1.0
354,pass,1.0,3.0,
355,passed,1.0,,1.0
356,passing,1.0,,1.0
357,past,,1.0,
358,paste,1.0,,1.0
359,paus,,1.0,
360,pause,1.0,,1.0
361,percent,1.0,1.0,1.0
362,percentag,,1.0,
363,percentage,1.0,,1.0
364,philadelphia,1.0,1.0,1.0
365,play,1.0,2.0,1.0
366,playing,1.0,,1.0
367,plugin,1.0,1.0,1.0
368,point,1.0,1.0,1.0
369,possibl,,1.0,
370,possible,1.0,,1.0
371,post,,2.0,
372,posted,2.0,,2.0
373,present,2.0,2.0,2.0
374,pretti,,1.0,
375,pretty,1.0,,1.0
376,probabl,,4.0,
377,probably,4.0,,4.0
378,problem,5.0,5.0,5.0
379,process,1.0,1.0,1.0
380,program,1.0,1.0,1.0
381,project,3.0,4.0,4.0
382,projects,1.0,,
383,provid,,3.0,
384,provide,2.0,,2.0
385,provides,1.0,,1.0
386,push,,1.0,
387,pushing,1.0,,1.0
388,put,2.0,2.0,2.0
389,quit,,1.0,
390,quite,1.0,,1.0
391,rapport,1.0,1.0,1.0
392,rather,1.0,1.0,1.0
393,read,3.0,3.0,3.0
394,real,2.0,2.0,2.0
395,realli,,3.0,
396,really,3.0,,3.0
397,reason,4.0,4.0,4.0
398,recommend,1.0,1.0,1.0
399,refer,,1.0,
400,refers,1.0,,1.0
401,refresh,1.0,1.0,1.0
402,regard,,2.0,2.0
403,regards,2.0,,
404,releas,,1.0,
405,release,1.0,,1.0
406,remov,,1.0,
407,remove,1.0,,1.0
408,replic,,1.0,
409,replicate,1.0,,1.0
410,report,7.0,9.0,9.0
411,reports,2.0,,
412,requir,,1.0,
413,require,1.0,,1.0
414,respons,,1.0,
415,responsible,1.0,,1.0
416,result,,2.0,2.0
417,results,2.0,,
418,review,,1.0,
419,reviewing,1.0,,1.0
420,ride,1.0,1.0,1.0
421,right,24.0,24.0,24.0
422,robert,1.0,1.0,1.0
423,rout,,1.0,
424,route,,,1.0
425,routes,1.0,,
426,run,12.0,14.0,14.0
427,runs,2.0,,
428,runtim,,1.0,
429,runtime,1.0,,1.0
