,label,bow_wt,bow_stem,bow_lem
0,actual,3.0,4.0,3.0
1,actually,1.0,,1.0
2,add,,1.0,1.0
3,adds,1.0,,
4,afteral,,2.0,
5,afterall,2.0,,2.0
6,afterclass,1.0,1.0,1.0
7,aftereach,4.0,4.0,4.0
8,alloc,,1.0,
9,allocate,1.0,,1.0
10,also,1.0,1.0,1.0
11,annot,,8.0,
12,annotated,6.0,,6.0
13,annotation,,,2.0
14,annotations,2.0,,
15,anyth,,1.0,
16,anything,1.0,,1.0
17,applic,,1.0,
18,application,1.0,,1.0
19,approach,1.0,1.0,1.0
20,argument,2.0,3.0,3.0
21,arguments,1.0,,
22,array,,1.0,1.0
23,arrays,1.0,,
24,assert,8.0,13.0,8.0
25,assertal,,1.0,
26,assertall,1.0,,1.0
27,assertequalsobject,1.0,1.0,1.0
28,assertfalseboolean,2.0,2.0,2.0
29,assertion,,,1.0
30,assertionerror,4.0,4.0,4.0
31,assertions,1.0,,
32,assertnotnullobject,1.0,1.0,1.0
33,assertnotsameobject,1.0,1.0,1.0
34,assertnullobject,1.0,1.0,1.0
35,asserts,4.0,,4.0
36,assertsameobject,1.0,1.0,1.0
37,assertthrow,,2.0,
38,assertthrows,2.0,,2.0
39,asserttimeout,1.0,1.0,1.0
40,asserttrueargu,,1.0,
41,asserttrueargument,1.0,,1.0
42,asserttrueboolean,2.0,2.0,2.0
43,assumpt,,2.0,
44,assumption,1.0,,2.0
45,assumptions,1.0,,
46,attach,,2.0,
47,attached,2.0,,2.0
48,autobox,,1.0,
49,autoboxing,1.0,,1.0
50,backward,,1.0,
51,backwards,1.0,,1.0
52,beck,1.0,1.0,1.0
53,beforeal,,2.0,
54,beforeall,2.0,,2.0
55,beforeclass,1.0,1.0,1.0
56,beforeeach,4.0,4.0,4.0
57,black,1.0,1.0,1.0
58,box,1.0,1.0,1.0
59,build,1.0,1.0,1.0
60,call,1.0,1.0,1.0
61,case,9.0,19.0,19.0
62,cases,10.0,,
63,cast,,1.0,
64,casting,1.0,,1.0
65,catch,,1.0,1.0
66,catches,1.0,,
67,caus,,1.0,
68,cause,,,1.0
69,causes,1.0,,
70,class,13.0,14.0,14.0
71,classes,1.0,,
72,click,1.0,1.0,1.0
73,code,10.0,10.0,10.0
74,collect,,1.0,
75,collection,1.0,,1.0
