,label,bow_wt,bow_stem,bow_lem
0,abl,,1.0,
1,able,1.0,,1.0
2,actual,1.0,1.0,1.0
3,anyth,,1.0,
4,anything,1.0,,1.0
5,branch,1.0,1.0,1.0
6,call,,1.0,
7,called,1.0,,1.0
8,case,,5.0,5.0
9,cases,5.0,,
10,click,2.0,2.0,2.0
11,client,1.0,1.0,1.0
12,clientcustom,,1.0,
13,clientcustomer,1.0,,1.0
14,commit,1.0,2.0,1.0
15,committed,1.0,,1.0
16,compon,,1.0,
17,component,,,1.0
18,components,1.0,,
19,contain,,2.0,
20,contains,2.0,,2.0
21,cours,,3.0,
22,course,3.0,,3.0
23,creat,,1.0,
24,create,1.0,,1.0
25,deadlin,,1.0,
26,deadline,1.0,,1.0
27,deriv,,1.0,
28,derived,1.0,,1.0
29,describ,,4.0,
30,describes,4.0,,4.0
31,detail,,1.0,1.0
32,details,1.0,,
33,develop,,1.0,
34,development,1.0,,1.0
35,discuss,,2.0,
36,discussion,2.0,,2.0
37,document,4.0,7.0,6.0
38,documentation,1.0,,1.0
39,documents,2.0,,
40,done,1.0,1.0,1.0
41,easi,,1.0,
42,easy,1.0,,1.0
43,eclass,1.0,1.0,1.0
44,edit,1.0,1.0,1.0
45,eec,,1.0,1.0
46,eecs,1.0,,
47,etc,1.0,1.0,1.0
48,evalu,,1.0,
49,evaluation,1.0,,1.0
50,even,1.0,1.0,1.0
51,everyth,,1.0,
52,everything,1.0,,1.0
53,explain,,1.0,
54,explains,1.0,,1.0
55,februari,,1.0,
56,february,1.0,,1.0
57,fifth,1.0,1.0,1.0
58,find,1.0,1.0,1.0
59,folder,1.0,1.0,1.0
60,format,2.0,2.0,2.0
61,four,1.0,1.0,1.0
62,fourth,1.0,1.0,1.0
63,github,3.0,3.0,3.0
64,grade,1.0,1.0,1.0
65,implement,,2.0,
66,implementation,1.0,,1.0
67,implemented,1.0,,1.0
68,includ,,2.0,
69,includes,2.0,,2.0
70,instal,,1.0,
71,install,1.0,,1.0
72,instruct,,1.0,
73,instruction,,,1.0
74,instructions,1.0,,
75,last,1.0,1.0,1.0
76,latex,1.0,1.0,1.0
77,level,4.0,4.0,4.0
78,link,,1.0,1.0
79,links,1.0,,
80,major,1.0,1.0,1.0
81,manual,2.0,2.0,2.0
82,mark,,1.0,
83,marked,1.0,,1.0
84,master,2.0,2.0,2.0
85,may,1.0,1.0,1.0
86,midterm,2.0,2.0,2.0
87,monday,1.0,1.0,1.0
88,must,4.0,4.0,4.0
89,need,1.0,1.0,1.0
90,onlin,,1.0,
91,online,1.0,,1.0
92,organ,,1.0,
93,organization,1.0,,1.0
94,page,,1.0,1.0
95,pages,1.0,,
96,particular,2.0,2.0,2.0
97,pdf,1.0,1.0,1.0
98,post,,1.0,
99,posted,1.0,,1.0
100,program,1.0,1.0,1.0
101,project,1.0,1.0,1.0
102,readm,,1.0,
103,readme,1.0,,1.0
104,repositori,,5.0,
105,repository,5.0,,5.0
106,requir,,4.0,
107,required,2.0,,2.0
108,requirement,,,2.0
109,requirements,2.0,,
110,rubric,1.0,1.0,1.0
111,run,1.0,1.0,1.0
112,screenshot,,1.0,
113,screenshots,1.0,,1.0
114,second,1.0,1.0,1.0
115,site,1.0,1.0,1.0
116,softwar,,1.0,
117,software,1.0,,1.0
118,someon,,1.0,
119,someone,1.0,,1.0
120,sourc,,1.0,
121,source,1.0,,1.0
122,stori,,1.0,
123,stories,1.0,,
124,story,,,1.0
125,style,,1.0,1.0
126,styles,1.0,,
127,submiss,,5.0,
128,submission,5.0,,5.0
129,submit,1.0,1.0,1.0
130,suffici,,1.0,
131,sufficient,1.0,,1.0
132,system,4.0,4.0,4.0
133,test,3.0,5.0,3.0
134,testing,2.0,,2.0
135,text,2.0,2.0,2.0
136,third,1.0,1.0,1.0
137,understand,1.0,1.0,1.0
138,unfamiliar,1.0,1.0,1.0
139,url,1.0,1.0,1.0
140,use,2.0,2.0,2.0
141,user,3.0,3.0,3.0
142,video,1.0,1.0,1.0
143,want,2.0,2.0,2.0
144,websit,,1.0,
145,website,1.0,,1.0
146,well,1.0,1.0,1.0
147,welldesign,,1.0,
148,welldesigned,1.0,,1.0
149,word,1.0,1.0,1.0
150,’,1.0,1.0,1.0
