,label,bow_wt,bow_stem,bow_lem
0,abandon,,1.0,
1,abandoned,1.0,,1.0
2,abel,1.0,1.0,1.0
3,abl,,1.0,
4,able,1.0,,1.0
5,accus,,1.0,
6,accusing,1.0,,1.0
7,across,1.0,1.0,1.0
8,actual,1.0,1.0,1.0
9,add,1.0,1.0,1.0
10,address,1.0,1.0,1.0
11,advanc,,1.0,
12,advance,1.0,,1.0
13,afford,1.0,1.0,1.0
14,afraid,1.0,1.0,1.0
15,aguita,,1.0,
16,aguitas,1.0,,1.0
17,alarm,1.0,1.0,1.0
18,allig,,1.0,
19,alligator,1.0,,1.0
20,along,1.0,1.0,1.0
21,alreadi,,5.0,
22,already,5.0,,5.0
23,alright,3.0,3.0,3.0
24,also,3.0,3.0,3.0
25,alway,,1.0,
26,always,1.0,,1.0
27,amana,1.0,1.0,1.0
28,amazon,1.0,1.0,1.0
29,announc,,1.0,
30,announcement,1.0,,1.0
31,annoy,,1.0,
32,annoying,1.0,,1.0
33,anoth,,5.0,
34,another,5.0,,5.0
35,anyth,,3.0,
36,anything,3.0,,3.0
37,anyway,1.0,1.0,1.0
38,anywher,,1.0,
39,anywhere,1.0,,1.0
40,apa,1.0,1.0,1.0
41,app,1.0,1.0,1.0
42,armi,,1.0,
43,army,1.0,,1.0
44,around,1.0,1.0,1.0
45,art,,1.0,1.0
46,arts,1.0,,
47,ask,1.0,2.0,1.0
48,asking,1.0,,1.0
49,assert,,1.0,
50,assertive,1.0,,1.0
51,assign,,4.0,
52,assignment,3.0,,4.0
53,assignments,1.0,,
54,assum,,1.0,
55,assume,1.0,,1.0
56,attend,1.0,1.0,1.0
57,august,1.0,1.0,1.0
58,awesom,,1.0,
59,awesome,1.0,,1.0
60,back,1.0,1.0,1.0
61,bad,1.0,1.0,1.0
62,bag,2.0,3.0,3.0
63,bags,1.0,,
64,bakken,1.0,1.0,1.0
65,ballgam,,1.0,
66,ballgame,1.0,,1.0
67,barclaycard,1.0,1.0,1.0
68,basic,,6.0,
69,basically,6.0,,6.0
70,baster,1.0,1.0,1.0
71,bathroom,,1.0,1.0
72,bathrooms,1.0,,
73,bed,1.0,1.0,1.0
74,begin,1.0,2.0,1.0
75,beginning,1.0,,1.0
76,believ,,2.0,
77,believe,2.0,,2.0
78,best,2.0,2.0,2.0
79,better,1.0,1.0,1.0
80,bhagavad,1.0,1.0,1.0
81,bibl,,2.0,
82,bible,2.0,,2.0
83,black,1.0,1.0,1.0
84,bless,,1.0,
85,blessing,,,1.0
86,blessings,1.0,,
87,board,,1.0,
88,boarding,1.0,,1.0
89,bomber,1.0,1.0,1.0
90,book,,1.0,1.0
91,books,1.0,,
92,bottom,1.0,2.0,2.0
93,bottoms,1.0,,
94,bowi,,2.0,
95,bowie,2.0,,2.0
96,brother,1.0,2.0,2.0
97,brothers,1.0,,
98,bug,1.0,2.0,2.0
99,bugs,1.0,,
100,buscemi,1.0,1.0,1.0
101,bye,1.0,1.0,1.0
102,call,3.0,3.0,3.0
103,care,,1.0,
104,careful,1.0,,1.0
105,case,3.0,3.0,3.0
106,chanc,,1.0,
107,chance,1.0,,1.0
108,chang,,1.0,
109,change,1.0,,1.0
110,checkbook,,1.0,1.0
111,checkbooks,1.0,,
112,circl,,1.0,
113,circle,1.0,,1.0
114,circumscrib,,1.0,
115,circumscribe,1.0,,1.0
116,class,3.0,4.0,4.0
117,classes,1.0,,
118,click,1.0,1.0,1.0
119,close,1.0,1.0,1.0
120,code,1.0,1.0,1.0
121,cold,1.0,1.0,1.0
122,come,1.0,1.0,1.0
123,compar,,1.0,
124,compare,1.0,,1.0
125,complet,,3.0,
126,complete,1.0,,1.0
127,completely,1.0,,1.0
128,completing,1.0,,1.0
129,compon,,4.0,
130,component,1.0,,4.0
131,components,3.0,,
132,concern,,1.0,1.0
133,concerns,1.0,,
134,confus,,1.0,
135,confusion,1.0,,1.0
136,consumm,,1.0,
137,consummation,1.0,,1.0
138,correct,4.0,4.0,4.0
139,could,7.0,7.0,7.0
140,coupl,,1.0,
141,couple,1.0,,1.0
142,coupon,1.0,1.0,1.0
143,cours,,1.0,
144,course,1.0,,1.0
145,creat,,2.0,
146,created,2.0,,2.0
147,cuz,1.0,1.0,1.0
148,daddi,,2.0,
149,daddy,1.0,,2.0
150,daddys,1.0,,
151,dawn,1.0,1.0,1.0
152,day,2.0,2.0,2.0
153,deadlin,,2.0,
154,deadline,2.0,,2.0
155,decim,,1.0,
156,decimation,1.0,,1.0
157,deciu,,1.0,
158,decius,1.0,,1.0
159,default,1.0,1.0,1.0
160,definit,,5.0,
161,definitely,5.0,,5.0
162,describ,,3.0,
163,describe,3.0,,3.0
164,design,6.0,6.0,6.0
165,diagram,1.0,1.0,1.0
166,differ,,1.0,
167,differently,1.0,,1.0
168,direct,,2.0,
169,directed,1.0,,1.0
170,direction,,,1.0
171,directions,1.0,,
172,disabl,,2.0,
173,disabled,2.0,,2.0
174,discov,,2.0,
175,discover,1.0,,1.0
176,discovered,1.0,,1.0
177,discus,,,1.0
178,discuss,1.0,2.0,
179,discussion,1.0,,1.0
180,doctor,1.0,1.0,1.0
181,document,3.0,6.0,6.0
182,documents,3.0,,
183,doesnt,5.0,5.0,5.0
184,done,2.0,2.0,2.0
185,dont,12.0,12.0,12.0
186,drop,,1.0,
187,dropped,1.0,,1.0
188,dumb,1.0,1.0,1.0
189,earlier,1.0,1.0,1.0
190,easter,1.0,1.0,1.0
191,effect,,1.0,1.0
192,effects,1.0,,
193,egg,1.0,1.0,1.0
194,either,1.0,1.0,1.0
195,elizabethtown,1.0,1.0,1.0
196,els,,1.0,
197,else,1.0,,1.0
198,enabl,,4.0,
199,enabled,4.0,,4.0
200,end,1.0,1.0,1.0
201,error,80.0,80.0,80.0
202,especi,,1.0,
203,especially,1.0,,1.0
204,establish,,1.0,
205,established,1.0,,1.0
206,estat,,1.0,
207,estate,1.0,,1.0
208,ethic,,1.0,
209,ethical,1.0,,1.0
210,even,1.0,1.0,1.0
211,everi,,3.0,
212,every,3.0,,3.0
213,everybodi,,3.0,
214,everybody,3.0,,3.0
215,everyth,,1.0,
216,everything,1.0,,1.0
217,exactli,,1.0,
218,exactly,1.0,,1.0
219,exampl,,1.0,
220,example,1.0,,1.0
221,expect,1.0,4.0,1.0
222,expectation,1.0,,1.0
223,expected,2.0,,2.0
224,expens,,1.0,
225,expense,,,1.0
226,expenses,1.0,,
227,explain,1.0,1.0,1.0
228,eye,1.0,1.0,1.0
229,fairli,,1.0,
230,fairly,1.0,,1.0
231,feedback,1.0,1.0,1.0
232,field,1.0,1.0,1.0
233,final,3.0,3.0,3.0
234,find,3.0,3.0,3.0
235,fine,2.0,2.0,2.0
236,finish,,2.0,
237,finishing,2.0,,2.0
238,focus,,1.0,
239,focusing,1.0,,1.0
240,folder,1.0,1.0,1.0
241,food,1.0,1.0,1.0
242,framework,1.0,1.0,1.0
243,friend,,2.0,2.0
244,friends,2.0,,
245,function,1.0,3.0,1.0
246,functionality,2.0,,2.0
247,ga,,1.0,
248,gas,1.0,,1.0
249,gave,1.0,1.0,1.0
250,gay,,1.0,1.0
251,gays,1.0,,
252,gener,,2.0,
253,general,2.0,,2.0
254,get,3.0,7.0,3.0
255,getting,4.0,,4.0
256,give,7.0,7.0,7.0
257,given,1.0,1.0,1.0
258,glass,,2.0,2.0
259,glasses,2.0,,
260,glue,1.0,1.0,1.0
261,gluten,1.0,1.0,1.0
262,go,,5.0,
263,gogo,,1.0,
264,gogos,1.0,,1.0
265,going,5.0,,5.0
266,gold,1.0,1.0,1.0
267,good,8.0,8.0,8.0
268,gorgeou,,1.0,
269,gorgeous,1.0,,1.0
270,got,1.0,1.0,1.0
271,great,2.0,2.0,2.0
272,greatest,3.0,3.0,3.0
273,greek,1.0,1.0,1.0
274,guess,4.0,4.0,4.0
275,guida,,1.0,
276,guidas,1.0,,1.0
277,guy,,3.0,3.0
278,guys,3.0,,
279,happen,,1.0,
280,happening,1.0,,1.0
281,happi,,2.0,
282,happy,2.0,,2.0
283,havent,2.0,2.0,2.0
284,he,,2.0,2.0
285,hell,1.0,1.0,1.0
286,help,2.0,2.0,2.0
287,hes,2.0,,
288,hockley,1.0,1.0,1.0
289,hole,1.0,1.0,1.0
290,hope,,4.0,
291,hopefully,4.0,,4.0
292,horton,,1.0,
293,hortons,1.0,,1.0
294,hous,,1.0,
295,house,,,1.0
296,houses,1.0,,
297,how,,1.0,
298,hows,1.0,,1.0
299,hub,1.0,1.0,1.0
300,idea,2.0,2.0,2.0
301,ill,6.0,6.0,6.0
302,imagin,,1.0,
303,imagine,1.0,,1.0
304,implement,,1.0,
305,implementing,1.0,,1.0
306,includ,,1.0,
307,include,1.0,,1.0
308,indic,,1.0,
309,indicate,1.0,,1.0
310,innoc,,1.0,
311,innocence,1.0,,1.0
312,insur,,1.0,
313,insure,1.0,,1.0
314,isnt,1.0,1.0,1.0
315,isola,1.0,1.0,1.0
316,issu,,1.0,
317,issue,1.0,,1.0
318,jazz,1.0,1.0,1.0
319,keyboard,,1.0,1.0
320,keyboards,1.0,,
321,kind,2.0,3.0,3.0
322,kinds,1.0,,
323,know,8.0,8.0,8.0
324,known,1.0,1.0,1.0
325,last,5.0,5.0,5.0
326,laura,1.0,1.0,1.0
327,left,1.0,1.0,1.0
328,let,7.0,7.0,7.0
329,lexar,1.0,1.0,1.0
330,light,,1.0,1.0
331,lights,1.0,,
332,like,8.0,8.0,8.0
333,limit,,1.0,
334,limited,1.0,,1.0
335,line,1.0,2.0,2.0
336,lines,1.0,,
337,link,1.0,1.0,1.0
338,liquid,1.0,1.0,1.0
339,listen,,1.0,
340,listening,1.0,,1.0
341,littl,,2.0,
342,little,2.0,,2.0
343,long,1.0,1.0,1.0
344,longer,1.0,1.0,1.0
345,look,5.0,10.0,6.0
346,looking,4.0,,4.0
347,looks,1.0,,
348,lord,1.0,1.0,1.0
349,lot,4.0,4.0,4.0
350,luck,2.0,2.0,2.0
351,lynx,1.0,1.0,1.0
352,main,1.0,1.0,1.0
353,make,9.0,12.0,9.0
354,making,3.0,,3.0
355,mani,,2.0,
356,manual,1.0,1.0,1.0
357,many,2.0,,2.0
358,mark,,1.0,
359,marking,1.0,,1.0
360,massiv,,1.0,
361,massively,1.0,,1.0
362,materi,,4.0,
363,material,3.0,,4.0
364,materials,1.0,,
365,may,2.0,2.0,2.0
366,mayb,,6.0,
367,maybe,6.0,,6.0
368,mean,1.0,1.0,1.0
369,meant,1.0,1.0,1.0
370,measur,,1.0,
371,measure,1.0,,1.0
372,mention,,1.0,
373,mentioned,1.0,,1.0
374,mind,1.0,1.0,1.0
375,mine,3.0,3.0,3.0
376,minecraft,1.0,1.0,1.0
377,minut,,1.0,
378,minute,1.0,,1.0
379,misunderstand,1.0,1.0,1.0
380,monday,2.0,2.0,2.0
381,mother,4.0,4.0,4.0
382,movement,1.0,1.0,1.0
383,much,1.0,1.0,1.0
384,muscl,,1.0,
385,muscle,1.0,,1.0
386,music,2.0,3.0,2.0
387,musical,1.0,,1.0
388,necessari,,1.0,
389,necessarili,,1.0,
390,necessarily,1.0,,1.0
391,necessary,1.0,,1.0
392,need,5.0,5.0,5.0
393,newspap,,1.0,
394,newspaper,1.0,,1.0
395,next,5.0,5.0,5.0
396,nice,1.0,1.0,1.0
397,night,4.0,4.0,4.0
398,norma,1.0,1.0,1.0
399,note,,2.0,2.0
