,label,bow_wt,bow_stem,bow_lem
0,analyz,,1.0,
1,analyze,1.0,,1.0
2,appli,,1.0,
3,apply,1.0,,1.0
4,apprais,,1.0,
5,appraise,1.0,,1.0
6,argu,,1.0,
7,argue,1.0,,1.0
8,assembl,,1.0,
9,assemble,1.0,,1.0
10,attribut,,1.0,
11,attribute,1.0,,1.0
12,check,1.0,1.0,1.0
13,classifi,,2.0,
14,classify,2.0,,2.0
15,compar,,2.0,
16,compare,2.0,,2.0
17,construct,1.0,1.0,1.0
18,contract,1.0,1.0,1.0
19,convert,1.0,1.0,1.0
20,creat,,1.0,
21,create,1.0,,1.0
22,critic,,1.0,
23,criticize,1.0,,1.0
24,critiqu,,1.0,
25,critique,1.0,,1.0
26,debat,,1.0,
27,debate,1.0,,1.0
28,defend,1.0,1.0,1.0
29,defin,,1.0,
30,define,1.0,,1.0
31,demonstr,,1.0,
32,demonstrate,1.0,,1.0
33,design,1.0,1.0,1.0
34,develop,1.0,1.0,1.0
35,devis,,1.0,
36,devise,1.0,,1.0
37,differenti,,1.0,
38,differentiate,1.0,,1.0
39,discov,,1.0,
40,discover,1.0,,1.0
41,discrimin,,1.0,
42,discriminate,1.0,,1.0
43,discus,,,2.0
44,discuss,2.0,2.0,
45,distinguish,1.0,1.0,1.0
46,dramat,,1.0,
47,dramatize,1.0,,1.0
48,duplic,,1.0,
49,duplicate,1.0,,1.0
50,evalu,,2.0,
51,evaluate,2.0,,2.0
52,execut,,1.0,
53,execute,1.0,,1.0
54,exemplifi,,1.0,
55,exemplify,1.0,,1.0
56,experi,,1.0,
57,experiment,1.0,,1.0
58,explain,1.0,1.0,1.0
59,formul,,1.0,
60,formulate,1.0,,1.0
61,gener,,1.0,
62,generate,1.0,,1.0
63,illustr,,1.0,
64,illustrate,1.0,,1.0
65,implement,1.0,1.0,1.0
66,infer,1.0,1.0,1.0
67,interpret,2.0,2.0,2.0
68,judg,,1.0,
69,judge,1.0,,1.0
70,list,1.0,1.0,1.0
71,measur,,1.0,
72,measure,1.0,,1.0
73,memor,,1.0,
74,memorize,1.0,,1.0
75,organ,,2.0,
76,organize,2.0,,2.0
77,paraphras,,1.0,
78,paraphrase,1.0,,1.0
79,plan,1.0,1.0,1.0
80,prepar,,1.0,
81,prepare,1.0,,1.0
82,produc,,1.0,
83,produce,1.0,,1.0
84,question,1.0,1.0,1.0
85,rearrang,,1.0,
86,rearrange,1.0,,1.0
87,recal,,1.0,
88,recall,1.0,,1.0
89,recogn,,1.0,
90,recognize,1.0,,1.0
91,rememb,,1.0,
92,remember,1.0,,1.0
93,repeat,1.0,1.0,1.0
94,reproduc,,1.0,
95,reproduce,1.0,,1.0
96,retriev,,1.0,
97,retrieve,1.0,,1.0
98,rewrit,,1.0,
99,rewrite,1.0,,1.0
100,select,1.0,1.0,1.0
101,solv,,1.0,
102,solve,1.0,,1.0
103,summar,,1.0,
104,summarize,1.0,,1.0
105,support,1.0,1.0,1.0
106,test,1.0,1.0,1.0
107,understand,1.0,1.0,1.0
108,use,1.0,1.0,1.0
109,verifi,,1.0,
110,verify,1.0,,1.0
