label,bow_wt,bow_stem,bow_lem
appli,,1.0,
check,2.0,2.0,2.0
construct,,1.0,
creat,,8.0,
create,6.0,,6.0
demonstr,,6.0,
demonstrate,4.0,,4.0
design,8.0,8.0,8.0
develop,4.0,8.0,4.0
discus,,,1.0
discuss,1.0,5.0,
evalu,,2.0,
implement,,4.0,1.0
list,5.0,6.0,6.0
organ,,5.0,
organize,3.0,,3.0
plan,,1.0,1.0
prepar,,8.0,
prepare,4.0,,4.0
produc,,2.0,
produce,2.0,,2.0
question,,5.0,5.0
rememb,,2.0,
remember,2.0,,2.0
select,1.0,1.0,1.0
support,1.0,1.0,1.0
test,9.0,22.0,12.0
understand,5.0,5.0,5.0
use,14.0,22.0,14.0
