label,bow_wt,bow_stem,bow_lem
appli,,1.0,
attribut,,2.0,
attribute,,,2.0
check,1.0,1.0,1.0
creat,,16.0,
create,11.0,,11.0
critic,,2.0,
defin,,2.0,
define,2.0,,2.0
develop,2.0,6.0,2.0
discus,,,2.0
discuss,2.0,7.0,
evalu,,4.0,
evaluate,1.0,,1.0
experi,,3.0,
gener,,4.0,
generate,2.0,,2.0
implement,3.0,3.0,3.0
list,2.0,2.0,2.0
organ,,1.0,
plan,1.0,1.0,1.0
prepar,,3.0,
prepare,2.0,,2.0
produc,,3.0,
produce,3.0,,3.0
question,7.0,27.0,27.0
rearrang,,2.0,
rearrange,1.0,,1.0
repeat,1.0,1.0,1.0
select,4.0,6.0,4.0
test,2.0,5.0,5.0
understand,4.0,5.0,4.0
use,27.0,48.0,27.0
