,Remember,Understand,Apply,Analyze,Evaluate,Create,Text,Slides,Video,Web,Course,Software,Depth,Sensory,Intuitive,Visual,Auditory,Inductive,Deductive,Active,Reflective,Sequential,Global
W1,0,1,2,2,0,2,4,2,1,1,1,0,1,2,7,2,5,0,4,3,4,3,0
W2,0,1,3,1,0,3,4,0,2,1,2,0,2,3,6,4,5,0,6,3,6,4,0
W3,0,1,1,1,1,2,4,1,1,4,0,0,2,9,1,1,9,0,7,2,8,3,0
W4,0,0,2,0,2,0,4,1,1,2,1,0,1,3,7,3,7,0,6,3,6,3,0
W5,0,0,2,1,1,0,4,0,4,0,0,0,1,4,4,4,4,0,5,3,5,3,0
W6,0,0,2,2,0,0,4,0,1,0,0,0,1,2,3,1,4,0,2,2,3,3,0
W7,0,0,3,1,1,0,4,1,2,0,0,0,1,2,5,2,5,0,4,3,4,3,0
W8,0,0,1,0,0,2,4,1,0,3,1,1,2,4,6,3,7,2,5,3,7,3,0
W9,1,0,1,0,2,2,4,0,2,0,2,0,2,2,6,3,5,0,5,1,7,3,0
W10,0,0,0,1,2,3,4,1,3,3,0,0,1,5,6,2,9,0,8,8,3,3,0
W11,0,0,3,2,0,1,4,0,3,0,0,0,1,2,5,3,4,0,4,2,5,3,0
