,label,bow_wt,bow_stem,bow_lem
0,abl,,2.0,
1,able,2.0,,2.0
2,academ,,1.0,
3,academic,1.0,,1.0
4,accord,,1.0,
5,according,1.0,,1.0
6,activ,,2.0,
7,activity,2.0,,2.0
8,ad,,3.0,
9,add,2.0,2.0,2.0
10,added,2.0,,2.0
11,adding,1.0,,1.0
12,addit,,1.0,
13,additional,1.0,,1.0
14,advanc,,1.0,
15,advanced,1.0,,1.0
16,agreement,2.0,2.0,2.0
17,allow,1.0,1.0,1.0
18,also,8.0,8.0,8.0
19,although,1.0,1.0,1.0
20,alway,,1.0,
21,always,1.0,,1.0
22,andor,1.0,1.0,1.0
23,anoth,,2.0,
24,another,2.0,,2.0
25,apart,2.0,2.0,2.0
26,app,7.0,7.0,7.0
27,appli,,1.0,
28,applic,,2.0,
29,application,2.0,,2.0
30,applies,1.0,,1.0
31,appropri,,1.0,
32,appropriate,1.0,,1.0
33,april,5.0,5.0,5.0
34,aris,,1.0,
35,arise,1.0,,1.0
36,ask,1.0,1.0,1.0
37,aspect,1.0,1.0,1.0
38,assess,2.0,8.0,2.0
39,assessment,6.0,,6.0
40,assign,,3.0,
41,assigned,3.0,,3.0
42,attach,,1.0,
43,attachment,1.0,,1.0
44,avail,,4.0,
45,available,4.0,,4.0
46,avoid,1.0,1.0,1.0
47,basic,,2.0,2.0
48,basics,2.0,,
49,becom,,1.0,
50,become,1.0,,1.0
51,behalf,1.0,1.0,1.0
52,bit,1.0,1.0,1.0
53,book,1.0,1.0,1.0
54,branch,6.0,12.0,12.0
55,branches,6.0,,
56,breakout,1.0,1.0,1.0
57,breakpoint,,1.0,
58,breakpoints,1.0,,1.0
59,bug,9.0,9.0,9.0
60,build,3.0,3.0,3.0
61,buildgradl,,1.0,
62,buildgradle,1.0,,1.0
63,busi,,1.0,
64,busy,1.0,,1.0
65,call,,1.0,
66,called,1.0,,1.0
67,came,1.0,1.0,1.0
68,campu,,1.0,
69,campus,1.0,,1.0
70,case,,8.0,8.0
71,cases,8.0,,
72,caus,,1.0,
73,cause,,,1.0
74,causes,1.0,,
75,certainli,,1.0,
76,certainly,1.0,,1.0
77,chang,,5.0,
78,change,3.0,,5.0
79,changes,2.0,,
80,chapter,,2.0,2.0
81,chapters,2.0,,
82,check,2.0,2.0,2.0
83,choos,,2.0,
84,choose,2.0,,2.0
85,clariti,,1.0,
86,clarity,1.0,,1.0
87,class,6.0,6.0,6.0
88,clear,2.0,2.0,2.0
89,click,8.0,8.0,8.0
90,code,14.0,15.0,14.0
91,coding,1.0,,1.0
92,come,1.0,1.0,1.0
93,commandlin,,6.0,
94,commandline,6.0,,6.0
95,comment,1.0,1.0,1.0
96,commit,,1.0,
97,committing,1.0,,1.0
98,complet,,34.0,
99,complete,6.0,,6.0
100,completed,25.0,,25.0
101,completing,3.0,,3.0
102,comput,,2.0,
103,compute,1.0,,1.0
104,computer,1.0,,1.0
105,concept,,3.0,3.0
106,concepts,3.0,,
107,conflict,3.0,7.0,7.0
108,conflicts,4.0,,
109,construct,,1.0,
110,constructive,1.0,,1.0
111,contact,1.0,1.0,1.0
112,contain,1.0,1.0,1.0
113,content,,2.0,2.0
114,contents,2.0,,
115,continu,,2.0,
116,continue,2.0,,2.0
117,contribut,,1.0,
118,contribution,,,1.0
119,contributions,1.0,,
120,control,2.0,2.0,2.0
121,cool,1.0,1.0,1.0
122,correspond,,1.0,
123,corresponding,1.0,,1.0
124,could,1.0,1.0,1.0
125,counter,1.0,1.0,1.0
126,cours,,22.0,
127,course,22.0,,22.0
128,coverag,,5.0,
129,coverage,5.0,,5.0
130,creat,,8.0,
131,create,6.0,,6.0
132,creating,2.0,,2.0
133,credenti,,3.0,
134,credential,,,3.0
135,credentials,3.0,,
136,current,2.0,2.0,2.0
137,custom,,4.0,
138,customer,4.0,,4.0
139,customermanagerinstructor,1.0,1.0,1.0
140,date,,1.0,1.0
141,dates,1.0,,
142,deadlin,,1.0,
143,deadline,1.0,,1.0
144,debug,,6.0,
145,debugging,6.0,,6.0
146,decor,,1.0,
147,decorates,1.0,,1.0
148,dedic,,1.0,
149,dedicated,1.0,,1.0
150,demo,3.0,3.0,3.0
151,demonstr,,6.0,
152,demonstrate,4.0,,4.0
153,demonstrated,1.0,,1.0
154,demonstration,1.0,,1.0
155,depart,,1.0,
156,department,1.0,,1.0
157,describ,,7.0,
158,describe,2.0,,2.0
159,described,2.0,,2.0
160,describes,1.0,,1.0
161,describing,2.0,,2.0
162,descript,,3.0,
163,description,3.0,,3.0
164,design,8.0,8.0,8.0
165,detail,,6.0,4.0
166,detailed,2.0,,2.0
167,details,4.0,,
168,develop,4.0,8.0,4.0
169,developed,1.0,,1.0
170,developing,3.0,,3.0
171,diagram,3.0,15.0,15.0
172,diagrams,12.0,,
173,diagramsnet,1.0,1.0,1.0
174,differ,,2.0,
175,different,2.0,,2.0
176,directori,,1.0,
177,directory,1.0,,1.0
178,discus,,,1.0
179,discuss,1.0,5.0,
180,discussion,4.0,,4.0
181,document,12.0,23.0,18.0
182,documentation,4.0,,4.0
183,documenting,1.0,,1.0
184,documents,6.0,,
185,done,1.0,1.0,1.0
186,download,1.0,1.0,1.0
187,draft,8.0,8.0,8.0
188,draw,1.0,2.0,1.0
189,drawing,1.0,,1.0
