,label,bow_wt,bow_stem,bow_lem
0,april,1.0,1.0,1.0
1,complet,,1.0,
2,completed,1.0,,1.0
3,custom,,1.0,
4,customer,1.0,,1.0
5,deadlin,,1.0,
6,deadline,1.0,,1.0
7,design,1.0,1.0,1.0
8,document,,2.0,2.0
9,documents,2.0,,
10,feedback,1.0,1.0,1.0
11,final,,1.0,
12,finalized,1.0,,1.0
13,goal,,1.0,1.0
14,goals,1.0,,
15,implement,,1.0,
16,implemented,1.0,,1.0
17,learn,1.0,1.0,1.0
18,meet,,1.0,
19,meeting,1.0,,1.0
20,must,1.0,1.0,1.0
21,prepar,,1.0,
22,prepare,1.0,,1.0
23,progress,1.0,1.0,1.0
24,provid,,1.0,
25,provide,1.0,,1.0
26,receiv,,1.0,
27,received,1.0,,1.0
28,refactor,,1.0,
29,refactoring,1.0,,1.0
30,report,1.0,1.0,1.0
31,requir,,1.0,
32,requirement,,,1.0
33,requirements,1.0,,
34,test,,1.0,
35,tested,1.0,,1.0
36,wednesday,1.0,1.0,1.0
37,week,1.0,1.0,1.0
38,weekli,,1.0,
39,weekly,1.0,,1.0
