,label,bow_wt,bow_stem,bow_lem
0,also,2.0,2.0,2.0
1,although,1.0,1.0,1.0
2,aris,,1.0,
3,arise,1.0,,1.0
4,becom,,1.0,
5,become,1.0,,1.0
6,branch,,2.0,2.0
7,branches,2.0,,
8,case,,3.0,3.0
9,cases,3.0,,
10,chang,,1.0,
11,change,,,1.0
12,changes,1.0,,
13,clariti,,1.0,
14,clarity,1.0,,1.0
15,clear,1.0,1.0,1.0
16,click,1.0,1.0,1.0
17,commandlin,,3.0,
18,commandline,3.0,,3.0
19,complet,,4.0,
20,complete,1.0,,1.0
21,completed,2.0,,2.0
22,completing,1.0,,1.0
23,conflict,,2.0,2.0
24,conflicts,2.0,,
25,content,,1.0,1.0
26,contents,1.0,,
27,cours,,4.0,
28,course,4.0,,4.0
29,credenti,,2.0,
30,credential,,,2.0
31,credentials,2.0,,
32,decor,,1.0,
33,decorates,1.0,,1.0
34,detail,,1.0,
35,detailed,1.0,,1.0
36,document,2.0,3.0,2.0
37,documentation,1.0,,1.0
38,eclips,,3.0,
39,eclipse,3.0,,3.0
40,egit,3.0,3.0,3.0
41,emphas,,1.0,
42,emphasized,1.0,,1.0
43,end,1.0,1.0,1.0
44,even,1.0,1.0,1.0
45,fact,1.0,1.0,1.0
46,familiar,1.0,1.0,1.0
47,fashion,1.0,1.0,1.0
48,final,,1.0,
49,finally,1.0,,1.0
50,find,1.0,1.0,1.0
51,focu,,1.0,
52,focus,1.0,,1.0
53,follow,,1.0,
54,following,1.0,,1.0
55,formal,,1.0,
56,formality,1.0,,1.0
57,format,1.0,1.0,1.0
58,git,2.0,2.0,2.0
59,go,,,1.0
60,goe,,1.0,
61,goes,1.0,,
62,help,2.0,3.0,2.0
63,helpful,1.0,,1.0
64,icon,,1.0,1.0
65,icons,1.0,,
66,import,,1.0,
67,important,1.0,,1.0
68,includ,,4.0,
69,including,4.0,,4.0
70,instructor,1.0,1.0,1.0
71,introduct,,2.0,
72,introduction,2.0,,2.0
73,januari,,1.0,
74,january,1.0,,1.0
75,learn,3.0,3.0,3.0
76,lectur,,1.0,
77,lecture,1.0,,1.0
78,like,1.0,1.0,1.0
79,local,1.0,1.0,1.0
80,login,2.0,2.0,2.0
81,lot,1.0,1.0,1.0
82,materi,,1.0,
83,material,1.0,,1.0
84,might,1.0,1.0,1.0
85,nice,2.0,2.0,2.0
86,oper,,1.0,
87,operation,,,1.0
88,operations,1.0,,
89,particular,1.0,1.0,1.0
90,particularli,,1.0,
91,particularly,1.0,,1.0
92,passport,2.0,2.0,2.0
93,point,1.0,1.0,1.0
94,possibl,,1.0,
95,possible,1.0,,1.0
96,power,,1.0,
97,powerful,1.0,,1.0
98,press,,1.0,
99,pressed,1.0,,1.0
100,quit,,1.0,
101,quite,1.0,,1.0
102,remot,,1.0,
103,remote,1.0,,1.0
104,requir,,4.0,
105,requirement,,,4.0
106,requirements,4.0,,
107,resolv,,2.0,
108,resolving,2.0,,2.0
109,scroll,1.0,1.0,1.0
110,section,1.0,3.0,3.0
111,sections,2.0,,
112,set,1.0,1.0,1.0
113,show,,1.0,1.0
114,shows,1.0,,
115,skip,1.0,1.0,1.0
116,start,1.0,1.0,1.0
117,stash,,1.0,
118,stashing,1.0,,1.0
119,stori,,1.0,
120,stories,1.0,,
121,story,,,1.0
122,studi,,1.0,
123,study,1.0,,1.0
124,target,1.0,1.0,1.0
125,terminolog,,1.0,
126,terminology,1.0,,1.0
127,thoroughli,,1.0,
128,thoroughly,1.0,,1.0
129,though,1.0,1.0,1.0
130,time,1.0,1.0,1.0
131,tool,1.0,1.0,1.0
132,toward,,1.0,
133,towards,1.0,,1.0
134,tutori,,2.0,
135,tutorial,2.0,,2.0
136,understand,1.0,1.0,1.0
137,use,4.0,6.0,4.0
138,user,1.0,1.0,1.0
139,using,2.0,,2.0
140,video,2.0,2.0,2.0
141,want,1.0,1.0,1.0
142,watch,1.0,1.0,1.0
143,way,1.0,1.0,1.0
144,wednesday,1.0,1.0,1.0
145,week,3.0,3.0,3.0
146,well,1.0,1.0,1.0
147,without,1.0,1.0,1.0
148,work,1.0,1.0,1.0
149,worri,,1.0,
150,worrying,1.0,,1.0
151,york,2.0,2.0,2.0
