,label,bow_wt,bow_stem,bow_lem
0,activ,,1.0,
1,activity,1.0,,1.0
2,anoth,,1.0,
3,another,1.0,,1.0
4,aspect,1.0,1.0,1.0
5,choos,,2.0,
6,choose,2.0,,2.0
7,class,1.0,1.0,1.0
8,complet,,1.0,
9,completed,1.0,,1.0
10,describ,,2.0,
11,describe,1.0,,1.0
12,describing,1.0,,1.0
13,diagram,3.0,7.0,7.0
14,diagrams,4.0,,
15,differ,,1.0,
16,different,1.0,,1.0
17,draw,1.0,1.0,1.0
18,feedback,1.0,1.0,1.0
19,follow,,1.0,
20,following,1.0,,1.0
21,function,,1.0,
22,functionality,1.0,,1.0
23,groupmat,,1.0,
24,groupmates,1.0,,1.0
25,improv,,1.0,
26,improve,1.0,,1.0
27,lab,2.0,2.0,2.0
28,march,1.0,1.0,1.0
29,must,2.0,2.0,2.0
30,object,1.0,1.0,1.0
31,one,1.0,1.0,1.0
32,pars,,1.0,
33,parsing,1.0,,1.0
34,part,1.0,1.0,1.0
35,play,1.0,1.0,1.0
36,prepar,,2.0,
37,prepares,2.0,,2.0
38,provid,,1.0,
39,provide,1.0,,1.0
40,relat,,2.0,
41,related,2.0,,2.0
42,sequenc,,3.0,
43,sequence,3.0,,3.0
44,session,1.0,1.0,1.0
45,student,1.0,1.0,1.0
46,system,2.0,2.0,2.0
47,ta,,1.0,1.0
48,tas,1.0,,
49,task,1.0,1.0,1.0
50,two,3.0,3.0,3.0
51,type,2.0,3.0,3.0
52,types,1.0,,
53,wednesday,1.0,1.0,1.0
54,week,1.0,1.0,1.0
55,xml,1.0,1.0,1.0
