,label,bow_wt,bow_stem,bow_lem
0,also,1.0,1.0,1.0
1,assess,,1.0,
2,assessment,1.0,,1.0
3,bug,2.0,2.0,2.0
4,complet,,1.0,
5,completed,1.0,,1.0
6,detail,,1.0,1.0
7,details,1.0,,
8,due,1.0,1.0,1.0
9,evalu,,1.0,
10,evaluating,1.0,,1.0
11,lab,1.0,1.0,1.0
12,link,1.0,1.0,1.0
13,march,1.0,1.0,1.0
14,peer,1.0,1.0,1.0
15,peerscholar,1.0,1.0,1.0
16,prepar,,1.0,
17,preparing,1.0,,1.0
18,project,,1.0,1.0
19,projects,1.0,,
20,report,,2.0,2.0
21,reports,2.0,,
22,requir,,1.0,
23,required,1.0,,1.0
24,see,2.0,2.0,2.0
25,submit,1.0,1.0,1.0
26,task,1.0,1.0,1.0
27,two,1.0,1.0,1.0
28,wednesday,1.0,1.0,1.0
29,week,2.0,2.0,2.0
