,label,bow_wt,bow_stem,bow_lem
0,access,1.0,1.0,1.0
1,actual,,18.0,
2,actually,18.0,,18.0
3,ad,,1.0,
4,adding,1.0,,1.0
5,addit,,1.0,
6,additional,1.0,,1.0
7,aint,1.0,1.0,1.0
8,alfr,,1.0,
9,alfred,1.0,,1.0
10,allow,1.0,1.0,1.0
11,alpha,1.0,1.0,1.0
12,alreadi,,6.0,
13,already,6.0,,6.0
14,alright,3.0,3.0,3.0
15,also,2.0,2.0,2.0
16,alway,,2.0,
17,always,2.0,,2.0
18,annual,,1.0,
19,annually,1.0,,1.0
20,anoth,,2.0,
21,another,2.0,,2.0
22,anymor,,3.0,
23,anymore,3.0,,3.0
24,apollo,1.0,1.0,1.0
25,appli,,1.0,
26,applic,,4.0,
27,application,4.0,,4.0
28,apply,1.0,,1.0
29,arab,1.0,1.0,1.0
30,argument,1.0,3.0,3.0
31,arguments,2.0,,
32,arista,1.0,1.0,1.0
33,arno,,1.0,1.0
34,arnos,1.0,,
35,around,3.0,3.0,3.0
36,array,2.0,2.0,2.0
37,ask,,1.0,
38,asked,1.0,,1.0
39,ate,1.0,1.0,1.0
40,attaboy,1.0,1.0,1.0
41,attack,,1.0,1.0
42,attacks,1.0,,
43,attribut,,1.0,
44,attribute,,,1.0
45,attributes,1.0,,
46,away,4.0,4.0,4.0
47,back,8.0,8.0,8.0
48,backbon,,2.0,
49,backbone,2.0,,2.0
50,bad,1.0,1.0,1.0
51,badmouth,1.0,1.0,1.0
52,bag,4.0,4.0,4.0
53,bake,,1.0,
54,baking,1.0,,1.0
55,bar,1.0,1.0,1.0
56,base,1.0,1.0,1.0
57,basic,,3.0,
58,basically,3.0,,3.0
59,beforehand,1.0,1.0,1.0
60,begin,,1.0,
61,beginning,1.0,,1.0
62,big,1.0,1.0,1.0
63,bigger,1.0,1.0,1.0
64,biggest,1.0,1.0,1.0
65,bill,1.0,1.0,1.0
66,bit,3.0,3.0,3.0
67,book,2.0,2.0,2.0
68,bottom,1.0,1.0,1.0
69,bought,1.0,1.0,1.0
70,box,,1.0,1.0
71,boxes,1.0,,
72,break,1.0,1.0,1.0
73,breakbon,,1.0,
74,breakbone,1.0,,1.0
75,breakfast,1.0,1.0,1.0
76,breakpoint,3.0,3.0,3.0
77,bring,,1.0,
78,brings,1.0,,1.0
79,broken,1.0,1.0,1.0
80,bu,,1.0,
81,bug,3.0,5.0,3.0
82,buggi,,1.0,
83,bugging,2.0,,2.0
84,buggy,1.0,,1.0
85,builder,1.0,1.0,1.0
86,bunch,1.0,1.0,1.0
87,burger,1.0,1.0,1.0
88,bus,1.0,,1.0
89,button,3.0,4.0,4.0
90,buttons,1.0,,
91,calcul,,7.0,
92,calculate,5.0,,5.0
93,calculated,1.0,,1.0
94,calculator,1.0,,1.0
95,call,1.0,3.0,1.0
96,called,2.0,,2.0
97,cant,1.0,1.0,1.0
98,care,2.0,3.0,2.0
99,careful,1.0,,1.0
100,cartoon,1.0,1.0,1.0
101,case,6.0,6.0,6.0
102,cater,1.0,1.0,1.0
103,chaka,1.0,1.0,1.0
104,chang,,6.0,
105,change,3.0,,6.0
106,changes,3.0,,
107,chicken,1.0,1.0,1.0
108,class,1.0,1.0,1.0
109,click,4.0,5.0,4.0
110,clicking,1.0,,1.0
111,clip,,1.0,1.0
112,clips,1.0,,
113,close,2.0,2.0,2.0
114,coat,3.0,3.0,3.0
115,code,12.0,12.0,12.0
116,codenam,,1.0,
117,codename,1.0,,1.0
118,cold,1.0,1.0,1.0
119,colon,1.0,1.0,1.0
120,come,2.0,3.0,2.0
121,coming,1.0,,1.0
122,common,1.0,1.0,1.0
123,condit,,1.0,
124,condition,1.0,,1.0
125,configur,,3.0,
126,configuration,3.0,,3.0
127,connect,3.0,3.0,3.0
128,context,1.0,1.0,1.0
129,continu,,7.0,
130,continue,7.0,,7.0
131,copi,,1.0,
132,copy,1.0,,1.0
133,coronaviru,,1.0,
134,coronavirus,1.0,,1.0
135,correctli,,1.0,
136,correctly,1.0,,1.0
137,could,4.0,4.0,4.0
138,council,1.0,1.0,1.0
139,coupl,,1.0,
140,couple,1.0,,1.0
141,cours,,3.0,
142,course,3.0,,3.0
143,cover,1.0,1.0,1.0
144,cradl,,1.0,
145,cradle,1.0,,1.0
146,creat,,2.0,
147,create,1.0,,1.0
148,creates,1.0,,1.0
149,cure,,1.0,1.0
150,cures,1.0,,
151,current,,3.0,
152,currently,3.0,,3.0
153,custom,,1.0,
154,customizes,1.0,,1.0
155,cuz,1.0,1.0,1.0
156,dback,1.0,1.0,1.0
157,deal,1.0,1.0,1.0
158,debacl,,1.0,
159,debacle,1.0,,1.0
160,debug,1.0,6.0,1.0
161,debugg,,1.0,
162,debugger,1.0,,1.0
163,debugging,5.0,,5.0
164,decid,,1.0,
165,decide,1.0,,1.0
166,defin,,1.0,
167,defines,1.0,,1.0
168,definit,,1.0,
169,definitely,1.0,,1.0
170,delay,,1.0,
171,delayed,1.0,,1.0
172,delux,,1.0,
173,deluxe,1.0,,1.0
174,democraci,,1.0,
175,democracy,1.0,,1.0
176,depress,,1.0,
177,depression,1.0,,1.0
178,describ,,1.0,
179,describes,1.0,,1.0
180,descript,,2.0,
181,description,1.0,,2.0
182,descriptions,1.0,,
183,devic,,1.0,
184,device,1.0,,1.0
185,didnt,2.0,2.0,2.0
186,differ,,4.0,
187,difference,2.0,,2.0
188,different,2.0,,2.0
189,dinosaur,1.0,1.0,1.0
190,disord,,1.0,
191,disorder,1.0,,1.0
192,display,1.0,1.0,1.0
193,divid,,1.0,
194,dividing,1.0,,1.0
195,doctor,1.0,1.0,1.0
196,doesnt,6.0,6.0,6.0
197,done,1.0,1.0,1.0
198,dont,5.0,5.0,5.0
199,doubl,,1.0,
200,double,1.0,,1.0
201,earlier,1.0,1.0,1.0
202,easili,,1.0,
203,easily,1.0,,1.0
204,eclips,,4.0,
205,eclipse,4.0,,4.0
206,edit,,1.0,
207,edition,1.0,,1.0
208,electrician,1.0,1.0,1.0
209,emmanuel,1.0,1.0,1.0
210,enabl,,2.0,
211,enabled,1.0,,1.0
212,enabling,1.0,,1.0
213,equal,1.0,3.0,3.0
214,equals,2.0,,
215,error,18.0,18.0,18.0
216,even,3.0,3.0,3.0
217,event,,1.0,1.0
218,events,1.0,,
219,ever,1.0,1.0,1.0
220,everybodi,,1.0,
221,everybody,1.0,,1.0
222,everyth,,8.0,
223,everything,6.0,,6.0
224,everythings,2.0,,2.0
225,exactli,,3.0,
226,exactly,3.0,,3.0
227,exampl,,2.0,
228,example,1.0,,2.0
229,examples,1.0,,
230,execut,,12.0,
231,execute,2.0,,2.0
232,executed,1.0,,1.0
233,executes,1.0,,1.0
234,execution,8.0,,8.0
235,exist,2.0,2.0,2.0
236,expedit,,1.0,
237,expedition,1.0,,1.0
238,express,,10.0,
239,expression,5.0,,10.0
240,expressions,5.0,,
241,extra,2.0,2.0,2.0
242,face,,1.0,1.0
243,faces,1.0,,
244,facil,,1.0,
245,facilities,1.0,,
246,facility,,,1.0
247,fact,1.0,1.0,1.0
248,fall,1.0,4.0,4.0
249,falls,3.0,,
250,fals,,3.0,
251,false,3.0,,3.0
252,familiar,2.0,2.0,2.0
253,far,3.0,3.0,3.0
254,fast,1.0,1.0,1.0
255,favorit,,1.0,
256,favorite,1.0,,1.0
257,februari,,1.0,
258,february,1.0,,1.0
259,fight,1.0,1.0,1.0
260,figur,,7.0,
261,figuration,3.0,,3.0
262,figure,2.0,,2.0
263,figured,1.0,,1.0
264,figuring,1.0,,1.0
265,find,2.0,2.0,2.0
266,fine,3.0,3.0,3.0
267,first,1.0,1.0,1.0
268,fix,2.0,2.0,2.0
269,footbal,,1.0,
270,footballer,,,1.0
271,footballers,1.0,,
272,form,1.0,1.0,1.0
273,found,1.0,1.0,1.0
274,free,1.0,1.0,1.0
275,friday,1.0,1.0,1.0
276,full,1.0,1.0,1.0
277,galatian,,1.0,1.0
278,galatians,1.0,,
279,get,7.0,9.0,8.0
280,gets,1.0,,
281,getting,1.0,,1.0
282,give,1.0,2.0,1.0
283,giving,1.0,,1.0
284,go,,15.0,
285,going,15.0,,15.0
286,good,3.0,3.0,3.0
287,got,2.0,2.0,2.0
288,gracian,,1.0,
289,gracians,1.0,,1.0
290,gradl,,2.0,
291,gradle,2.0,,2.0
292,grate,,1.0,
293,grateful,1.0,,1.0
294,great,1.0,1.0,1.0
295,greater,2.0,2.0,2.0
296,greatgreat,1.0,1.0,1.0
297,gretel,1.0,1.0,1.0
298,groovi,,1.0,
299,groovy,1.0,,1.0
300,group,2.0,2.0,2.0
301,guess,1.0,1.0,1.0
302,guy,,1.0,1.0
303,guys,1.0,,
304,happen,,6.0,
305,happened,1.0,,1.0
306,happening,5.0,,5.0
307,havent,1.0,1.0,1.0
308,he,,1.0,1.0
309,hear,1.0,1.0,1.0
310,help,2.0,3.0,2.0
311,helped,1.0,,1.0
312,hes,1.0,,
313,husband,1.0,1.0,1.0
314,idea,3.0,3.0,3.0
315,ignor,,2.0,
316,ignore,2.0,,2.0
317,ill,3.0,3.0,3.0
