,label,bow_wt,bow_stem,bow_lem
0,abl,,2.0,
1,able,2.0,,2.0
2,academ,,1.0,
3,academic,1.0,,1.0
4,accept,,1.0,
5,accepts,1.0,,1.0
6,ad,,2.0,
7,add,1.0,1.0,1.0
8,added,2.0,,2.0
9,adjust,,1.0,
10,adjusting,1.0,,1.0
11,aesthet,,1.0,
12,aesthetically,1.0,,1.0
13,aim,1.0,1.0,1.0
14,align,1.0,1.0,1.0
15,allow,3.0,3.0,3.0
16,also,2.0,2.0,2.0
17,anyon,,1.0,
18,anyone,1.0,,1.0
19,app,1.0,1.0,1.0
20,back,1.0,1.0,1.0
21,bass,1.0,1.0,1.0
22,beat,,1.0,1.0
23,beats,1.0,,
24,best,1.0,1.0,1.0
25,bpm,2.0,2.0,2.0
26,call,,1.0,
27,called,1.0,,1.0
28,campu,,1.0,
29,campus,1.0,,1.0
30,caprichotxt,1.0,1.0,1.0
31,chang,,1.0,
32,change,1.0,,1.0
33,click,1.0,1.0,1.0
34,code,2.0,2.0,2.0
35,common,1.0,1.0,1.0
36,comput,,1.0,
37,computer,1.0,,1.0
38,connect,,1.0,
39,connection,1.0,,1.0
40,contact,1.0,1.0,1.0
41,content,,1.0,1.0
42,contents,1.0,,
43,convert,,1.0,1.0
44,converts,1.0,,
45,convey,1.0,1.0,1.0
46,cours,,1.0,
47,course,1.0,,1.0
48,creat,,1.0,
49,created,1.0,,1.0
50,current,1.0,2.0,1.0
51,currently,1.0,,1.0
52,custom,,2.0,
53,customize,1.0,,1.0
54,customizing,1.0,,1.0
55,date,,1.0,1.0
56,dates,1.0,,
57,definit,,1.0,
58,definitely,1.0,,1.0
59,depart,,1.0,
60,department,1.0,,1.0
61,descript,,2.0,
62,description,2.0,,2.0
63,desktop,1.0,1.0,1.0
64,detail,,1.0,
65,detailed,1.0,,1.0
66,develop,,1.0,
67,developed,1.0,,1.0
68,directori,,1.0,
69,directory,1.0,,1.0
70,document,,2.0,
71,documentation,2.0,,2.0
72,drag,,1.0,
73,dragging,1.0,,1.0
74,drop,,1.0,
75,dropping,1.0,,1.0
76,drum,2.0,3.0,3.0
77,drums,1.0,,
78,easiest,1.0,1.0,1.0
79,eclass,1.0,1.0,1.0
80,eec,,10.0,10.0
81,eecs,10.0,,
82,electr,,1.0,
83,electrical,1.0,,1.0
84,element,1.0,1.0,1.0
85,elementnam,,1.0,
86,elementname,1.0,,1.0
87,end,,1.0,1.0
88,ends,1.0,,
89,engin,,1.0,
90,engineering,1.0,,1.0
91,etc,1.0,1.0,1.0
92,evalu,,1.0,
93,evaluation,1.0,,1.0
94,exampl,,6.0,
95,example,3.0,,6.0
96,examples,3.0,,
97,exist,,3.0,
98,existing,2.0,,2.0
99,exists,1.0,,1.0
100,expect,,2.0,
101,expected,2.0,,2.0
102,explan,,2.0,
103,explanation,2.0,,2.0
104,express,,1.0,
105,expressed,1.0,,1.0
106,faculti,,2.0,
107,faculties,1.0,,
108,faculty,1.0,,2.0
109,fast,1.0,1.0,1.0
110,favourit,,1.0,
111,favourite,1.0,,1.0
112,feel,1.0,1.0,1.0
113,file,1.0,1.0,1.0
114,find,2.0,2.0,2.0
115,follow,,1.0,
116,follows,1.0,,1.0
117,font,,1.0,1.0
118,fonts,1.0,,
119,form,,1.0,1.0
120,format,3.0,3.0,3.0
121,forms,1.0,,
122,function,3.0,7.0,3.0
123,functionality,3.0,,3.0
124,functionally,1.0,,1.0
125,get,1.0,1.0,1.0
126,given,1.0,1.0,1.0
127,googl,,1.0,
128,google,1.0,,1.0
129,grade,,1.0,1.0
130,grades,1.0,,
131,guitar,3.0,3.0,3.0
132,help,1.0,1.0,1.0
133,henc,,1.0,
134,hence,1.0,,1.0
135,highlight,1.0,1.0,1.0
136,home,1.0,1.0,1.0
137,honesti,,1.0,
138,honesty,1.0,,1.0
139,howev,,1.0,
140,however,1.0,,1.0
141,implement,1.0,1.0,1.0
142,import,,1.0,
143,important,1.0,,1.0
144,improv,,1.0,
145,improve,1.0,,1.0
146,includ,,2.0,
147,include,1.0,,1.0
148,includes,1.0,,1.0
149,index,1.0,1.0,1.0
150,inform,,1.0,
151,information,1.0,,1.0
152,input,2.0,2.0,2.0
153,instrument,1.0,2.0,2.0
154,instruments,1.0,,
155,interest,,1.0,
156,interested,1.0,,1.0
157,intern,,1.0,
158,international,1.0,,1.0
159,internet,1.0,1.0,1.0
160,introduct,,1.0,
161,introduction,1.0,,1.0
162,java,1.0,1.0,1.0
163,justif,,1.0,
164,justification,1.0,,1.0
165,know,1.0,1.0,1.0
166,larg,,1.0,
167,large,1.0,,1.0
168,last,1.0,2.0,2.0
169,lasts,1.0,,
170,learn,,1.0,
171,learning,1.0,,1.0
172,left,1.0,1.0,1.0
173,librari,,2.0,
174,libraries,1.0,,
175,library,1.0,,2.0
176,like,2.0,2.0,2.0
177,line,,1.0,1.0
178,lines,1.0,,
179,look,2.0,5.0,3.0
180,looking,2.0,,2.0
181,looks,1.0,,
182,map,,1.0,1.0
183,maps,1.0,,
184,march,2.0,2.0,2.0
185,mean,,1.0,1.0
186,means,1.0,,
187,measur,,3.0,
188,measure,3.0,,3.0
189,midterm,1.0,1.0,1.0
190,minut,,2.0,
191,minute,2.0,,2.0
192,modifi,,1.0,
193,modified,1.0,,1.0
