,label,bow_wt,bow_stem,bow_lem
0,abl,,1.0,
1,able,1.0,,1.0
2,ad,,1.0,
3,added,1.0,,1.0
4,adjust,,1.0,
5,adjusting,1.0,,1.0
6,aesthet,,1.0,
7,aesthetically,1.0,,1.0
8,align,1.0,1.0,1.0
9,allow,3.0,3.0,3.0
10,also,2.0,2.0,2.0
11,back,1.0,1.0,1.0
12,beat,,1.0,1.0
13,beats,1.0,,
14,bpm,2.0,2.0,2.0
15,chang,,1.0,
16,change,1.0,,1.0
17,connect,,1.0,
18,connection,1.0,,1.0
19,current,,1.0,
20,currently,1.0,,1.0
21,custom,,2.0,
22,customize,1.0,,1.0
23,customizing,1.0,,1.0
24,definit,,1.0,
25,definitely,1.0,,1.0
26,end,,1.0,1.0
27,ends,1.0,,
28,etc,1.0,1.0,1.0
29,exampl,,1.0,
30,example,1.0,,1.0
31,expect,,1.0,
32,expected,1.0,,1.0
33,express,,1.0,
34,expressed,1.0,,1.0
35,fast,1.0,1.0,1.0
36,follow,,1.0,
37,follows,1.0,,1.0
38,font,,1.0,1.0
39,fonts,1.0,,
40,function,3.0,4.0,3.0
41,functionally,1.0,,1.0
42,highlight,1.0,1.0,1.0
43,improv,,1.0,
44,improve,1.0,,1.0
45,includ,,2.0,
46,include,1.0,,1.0
47,includes,1.0,,1.0
48,input,2.0,2.0,2.0
49,justif,,1.0,
50,justification,1.0,,1.0
51,last,,1.0,1.0
52,lasts,1.0,,
53,left,1.0,1.0,1.0
54,line,,1.0,1.0
55,lines,1.0,,
56,look,,1.0,
57,looking,1.0,,1.0
58,march,1.0,1.0,1.0
59,mean,,1.0,1.0
60,means,1.0,,
61,measur,,3.0,
62,measure,3.0,,3.0
63,minut,,2.0,
64,minute,2.0,,2.0
65,musescor,,2.0,
66,musescore,2.0,,2.0
67,music,2.0,2.0,2.0
68,must,7.0,7.0,7.0
69,new,1.0,1.0,1.0
70,note,3.0,6.0,6.0
71,notes,3.0,,
72,number,1.0,1.0,1.0
73,one,1.0,1.0,1.0
74,order,1.0,1.0,1.0
75,output,5.0,5.0,5.0
76,per,1.0,1.0,1.0
77,play,2.0,5.0,2.0
78,playback,1.0,1.0,1.0
79,played,2.0,,2.0
80,playing,1.0,,1.0
81,point,1.0,1.0,1.0
82,preview,,1.0,
83,previewer,1.0,,1.0
84,processor,1.0,1.0,1.0
85,quarter,2.0,2.0,2.0
86,repeat,,1.0,1.0
87,repeats,1.0,,
88,requir,,1.0,
89,requirement,,,1.0
90,requirements,1.0,,
91,right,1.0,1.0,1.0
92,second,1.0,1.0,1.0
93,see,2.0,2.0,2.0
94,select,1.0,1.0,1.0
95,similar,2.0,2.0,2.0
96,size,1.0,1.0,1.0
97,slow,1.0,1.0,1.0
98,space,,2.0,
99,spacing,2.0,,2.0
100,staff,1.0,1.0,1.0
101,start,1.0,1.0,1.0
102,support,1.0,2.0,1.0
103,supported,1.0,,1.0
104,system,1.0,1.0,1.0
105,tempo,1.0,1.0,1.0
106,text,2.0,2.0,2.0
107,tri,,1.0,
108,try,1.0,,1.0
109,user,4.0,4.0,4.0
110,visual,3.0,3.0,3.0
111,well,2.0,2.0,2.0
112,word,1.0,1.0,1.0
