,label,bow_wt,bow_stem,bow_lem
0,abl,,1.0,
1,able,1.0,,1.0
2,accept,,1.0,
3,accepts,1.0,,1.0
4,add,1.0,1.0,1.0
5,aim,1.0,1.0,1.0
6,anyon,,1.0,
7,anyone,1.0,,1.0
8,app,1.0,1.0,1.0
9,bass,1.0,1.0,1.0
10,best,1.0,1.0,1.0
11,call,,1.0,
12,called,1.0,,1.0
13,caprichotxt,1.0,1.0,1.0
14,click,1.0,1.0,1.0
15,code,2.0,2.0,2.0
16,common,1.0,1.0,1.0
17,convert,,1.0,1.0
18,converts,1.0,,
19,convey,1.0,1.0,1.0
20,creat,,1.0,
21,created,1.0,,1.0
22,descript,,1.0,
23,description,1.0,,1.0
24,desktop,1.0,1.0,1.0
25,detail,,1.0,
26,detailed,1.0,,1.0
27,develop,,1.0,
28,developed,1.0,,1.0
29,document,,2.0,
30,documentation,2.0,,2.0
31,drag,,1.0,
32,dragging,1.0,,1.0
33,drop,,1.0,
34,dropping,1.0,,1.0
35,drum,2.0,3.0,3.0
36,drums,1.0,,
37,easiest,1.0,1.0,1.0
38,element,1.0,1.0,1.0
39,elementnam,,1.0,
40,elementname,1.0,,1.0
41,exampl,,5.0,
42,example,2.0,,5.0
43,examples,3.0,,
44,exist,,3.0,
45,existing,2.0,,2.0
46,exists,1.0,,1.0
47,expect,,1.0,
48,expected,1.0,,1.0
49,explan,,2.0,
50,explanation,2.0,,2.0
51,favourit,,1.0,
52,favourite,1.0,,1.0
53,feel,1.0,1.0,1.0
54,file,1.0,1.0,1.0
55,find,2.0,2.0,2.0
56,form,,1.0,1.0
57,format,3.0,3.0,3.0
58,forms,1.0,,
59,function,,3.0,
60,functionality,3.0,,3.0
61,get,1.0,1.0,1.0
62,given,1.0,1.0,1.0
63,googl,,1.0,
64,google,1.0,,1.0
65,guitar,3.0,3.0,3.0
66,help,1.0,1.0,1.0
67,henc,,1.0,
68,hence,1.0,,1.0
69,howev,,1.0,
70,however,1.0,,1.0
71,implement,1.0,1.0,1.0
72,inform,,1.0,
73,information,1.0,,1.0
74,instrument,1.0,2.0,2.0
75,instruments,1.0,,
76,interest,,1.0,
77,interested,1.0,,1.0
78,internet,1.0,1.0,1.0
79,introduct,,1.0,
80,introduction,1.0,,1.0
81,java,1.0,1.0,1.0
82,know,1.0,1.0,1.0
83,larg,,1.0,
84,large,1.0,,1.0
85,learn,,1.0,
86,learning,1.0,,1.0
87,librari,,1.0,
88,library,1.0,,1.0
89,like,2.0,2.0,2.0
90,look,2.0,4.0,3.0
91,looking,1.0,,1.0
92,looks,1.0,,
93,midterm,1.0,1.0,1.0
94,musescor,,1.0,
95,musescore,1.0,,1.0
96,music,3.0,3.0,3.0
97,musicxml,8.0,8.0,8.0
98,often,1.0,1.0,1.0
99,onlin,,1.0,
100,online,1.0,,1.0
101,onto,1.0,1.0,1.0
102,origin,,1.0,
103,original,1.0,,1.0
104,output,2.0,2.0,2.0
105,page,1.0,1.0,1.0
106,parabolatxt,1.0,1.0,1.0
107,particular,2.0,2.0,2.0
108,piec,,1.0,
109,piece,1.0,,1.0
110,play,2.0,5.0,2.0
111,played,1.0,,1.0
112,playing,2.0,,2.0
113,preview,1.0,3.0,1.0
114,previewer,1.0,,1.0
115,previewers,1.0,,1.0
116,print,,2.0,
117,printed,1.0,,1.0
118,printing,1.0,,1.0
119,programswebsit,,1.0,
120,programswebsites,1.0,,1.0
121,project,4.0,4.0,4.0
122,provid,,3.0,
123,provided,3.0,,3.0
124,purpos,,1.0,
125,purpose,1.0,,1.0
126,read,1.0,1.0,1.0
127,requir,,1.0,
128,requirement,,,1.0
129,requirements,1.0,,
130,resourc,,2.0,
131,resource,,,2.0
132,resources,2.0,,
133,run,1.0,1.0,1.0
134,see,2.0,2.0,2.0
135,sheet,1.0,1.0,1.0
136,song,1.0,2.0,2.0
137,songs,1.0,,
138,srctestresourcessystem,1.0,1.0,1.0
139,start,1.0,1.0,1.0
140,starter,4.0,4.0,4.0
141,studi,,1.0,
142,study,1.0,,1.0
143,submiss,,1.0,
144,submission,1.0,,1.0
145,system,3.0,3.0,3.0
146,tab,3.0,4.0,4.0
147,tablatur,,4.0,
148,tablature,4.0,,4.0
149,tabs,1.0,,
150,term,2.0,2.0,2.0
151,text,3.0,3.0,3.0
152,textbas,,1.0,
153,textbased,1.0,,1.0
154,tutori,,2.0,
155,tutorial,1.0,,2.0
156,tutorials,1.0,,
157,understand,,1.0,
158,understanding,1.0,,1.0
159,use,1.0,3.0,1.0
160,useful,2.0,,2.0
161,usual,,2.0,
162,usually,2.0,,2.0
163,varieti,,1.0,
164,variety,1.0,,1.0
165,video,,1.0,1.0
166,videos,1.0,,
167,virtual,1.0,1.0,1.0
168,visual,,3.0,
169,visualization,1.0,,1.0
170,visualize,1.0,,1.0
171,visualized,1.0,,1.0
172,way,2.0,2.0,2.0
173,worri,,1.0,
174,worry,1.0,,1.0
175,“,1.0,1.0,1.0
176,”,1.0,1.0,1.0
