,label,bow_wt,bow_stem,bow_lem
0,actual,,3.0,
1,actually,3.0,,3.0
2,adelin,,1.0,
3,adeline,1.0,,1.0
4,adventist,1.0,1.0,1.0
5,aggress,,1.0,
6,aggressive,1.0,,1.0
7,ago,1.0,1.0,1.0
8,aiden,1.0,1.0,1.0
9,alarm,1.0,1.0,1.0
10,allow,1.0,2.0,1.0
11,allows,1.0,,1.0
12,along,1.0,1.0,1.0
13,alphacoat,1.0,1.0,1.0
14,alreadi,,3.0,
15,already,3.0,,3.0
16,alright,1.0,1.0,1.0
17,also,8.0,8.0,8.0
18,alumni,1.0,1.0,
19,alumnus,,,1.0
20,alway,,4.0,
21,always,4.0,,4.0
22,angl,,1.0,
23,angle,1.0,,1.0
24,annual,1.0,2.0,1.0
25,annually,1.0,,1.0
26,anoth,,10.0,
27,another,10.0,,10.0
28,anticip,,1.0,
29,anticipating,1.0,,1.0
30,anybodi,,1.0,
31,anybody,1.0,,1.0
32,anymor,,1.0,
33,anymore,1.0,,1.0
34,anyway,3.0,3.0,3.0
35,appli,,6.0,
36,applied,1.0,,1.0
37,apply,4.0,,4.0
38,applying,1.0,,1.0
39,around,3.0,3.0,3.0
40,arrang,,1.0,
41,arrange,1.0,,1.0
42,ask,1.0,2.0,1.0
43,asked,1.0,,1.0
44,assert,,1.0,
45,assertive,1.0,,1.0
46,attribut,,5.0,
47,attribute,,,5.0
48,attributes,5.0,,
49,augustin,,1.0,
50,augustine,1.0,,1.0
51,automat,,1.0,
52,automatic,1.0,,1.0
53,avail,,1.0,
54,available,1.0,,1.0
55,avoid,4.0,4.0,4.0
56,away,1.0,1.0,1.0
57,awkward,1.0,1.0,1.0
58,bad,3.0,3.0,3.0
59,bag,,2.0,2.0
60,bags,2.0,,
61,barn,,1.0,1.0
62,barns,1.0,,
63,basic,,8.0,
64,basically,8.0,,8.0
65,becom,,1.0,
66,becomes,1.0,,1.0
67,behavior,1.0,1.0,1.0
68,belong,1.0,3.0,1.0
69,belongs,2.0,,2.0
70,best,1.0,1.0,1.0
71,better,2.0,2.0,2.0
72,big,2.0,2.0,2.0
73,bit,1.0,1.0,1.0
74,bizarr,,1.0,
75,bizarre,1.0,,1.0
76,blok,,1.0,1.0
77,bloks,1.0,,
78,bold,1.0,1.0,1.0
79,box,1.0,1.0,1.0
80,branch,,1.0,1.0
81,branches,1.0,,
82,breed,,1.0,
83,breeding,1.0,,1.0
84,broadmoor,1.0,1.0,1.0
85,broli,,1.0,
86,broly,1.0,,1.0
87,brother,1.0,1.0,1.0
88,bug,1.0,3.0,2.0
89,bugging,1.0,,1.0
90,bugs,1.0,,
91,build,1.0,2.0,1.0
92,building,1.0,,1.0
93,bunch,4.0,4.0,4.0
94,busi,,1.0,
95,business,1.0,,1.0
96,call,3.0,8.0,3.0
97,called,4.0,,4.0
98,calling,1.0,,1.0
99,came,1.0,1.0,1.0
100,camo,1.0,1.0,1.0
101,captiv,,1.0,
102,captivate,1.0,,1.0
103,care,1.0,1.0,1.0
104,case,3.0,6.0,6.0
105,cases,3.0,,
106,caus,,1.0,
107,cause,1.0,,1.0
108,certifi,,1.0,
109,certify,1.0,,1.0
110,chang,,15.0,
111,change,11.0,,14.0
112,changed,1.0,,1.0
113,changes,3.0,,
114,characterist,,1.0,
115,characteristic,,,1.0
116,characteristics,1.0,,
117,charter,1.0,1.0,1.0
118,cheroke,,1.0,
119,cherokee,1.0,,1.0
120,chillicoth,,1.0,
121,chillicothe,1.0,,1.0
122,chocol,,1.0,
123,chocolate,1.0,,1.0
124,choke,,1.0,
125,choking,1.0,,1.0
126,chose,1.0,1.0,1.0
127,class,30.0,40.0,40.0
128,classes,10.0,,
129,clone,,1.0,
130,cloning,1.0,,1.0
131,cloth,,1.0,
132,clothes,1.0,,1.0
133,coach,2.0,2.0,2.0
134,coachman,1.0,1.0,1.0
135,coat,8.0,8.0,8.0
136,cock,1.0,1.0,1.0
137,cod,1.0,1.0,1.0
138,code,21.0,23.0,22.0
139,codes,1.0,,
140,coding,1.0,,1.0
141,coffe,,1.0,
142,coffee,1.0,,1.0
143,cold,1.0,1.0,1.0
144,collaps,,1.0,
145,collapse,1.0,,1.0
146,collect,,1.0,
147,collection,,,1.0
148,collections,1.0,,
149,come,1.0,5.0,4.0
150,comes,3.0,,
151,coming,1.0,,1.0
152,comment,2.0,5.0,5.0
153,comments,3.0,,
154,common,5.0,5.0,5.0
155,complet,,1.0,
156,completely,1.0,,1.0
157,complic,,3.0,
158,complicate,1.0,,1.0
159,complicated,2.0,,2.0
160,condition,,2.0,
161,conditioner,1.0,,2.0
162,conditioners,1.0,,
163,contact,,1.0,1.0
164,contacts,1.0,,
165,copi,,1.0,
166,copies,1.0,,
167,copy,,,1.0
168,correspond,1.0,1.0,1.0
169,could,2.0,2.0,2.0
170,cours,,7.0,
171,course,4.0,,7.0
172,courses,3.0,,
173,cover,1.0,1.0,1.0
174,creat,,9.0,
175,create,8.0,,8.0
176,creating,1.0,,1.0
177,current,1.0,1.0,1.0
178,cut,,1.0,
179,cutting,1.0,,1.0
180,cuz,2.0,2.0,2.0
181,dad,1.0,1.0,1.0
182,data,3.0,3.0,3.0
183,databas,,1.0,
184,database,1.0,,1.0
185,day,,2.0,2.0
186,days,2.0,,
187,deal,3.0,3.0,3.0
188,decid,,2.0,
189,decide,1.0,,1.0
190,deciding,1.0,,1.0
191,decompos,,1.0,
192,decomposing,1.0,,1.0
193,definit,,3.0,
194,definitely,3.0,,3.0
195,deodor,,1.0,
196,deodorant,1.0,,1.0
197,depend,,1.0,
198,depending,1.0,,1.0
199,derek,1.0,1.0,1.0
200,describ,,1.0,
201,describes,1.0,,1.0
202,design,21.0,23.0,21.0
203,designed,2.0,,2.0
204,detail,3.0,4.0,3.0
205,detailed,1.0,,1.0
206,determin,,1.0,
207,determining,1.0,,1.0
208,didnt,1.0,1.0,1.0
209,differ,,20.0,
210,different,20.0,,20.0
211,dilaudid,1.0,1.0,1.0
212,dino,1.0,1.0,1.0
213,discus,,,1.0
214,discuss,1.0,2.0,
215,discussing,1.0,,1.0
216,diverg,,2.0,
217,divergent,2.0,,2.0
218,document,1.0,1.0,1.0
219,doesnt,5.0,5.0,5.0
220,done,1.0,1.0,1.0
221,dont,4.0,4.0,4.0
222,donut,1.0,1.0,1.0
223,door,,1.0,1.0
224,doors,1.0,,
225,dotcom,1.0,1.0,1.0
226,doug,1.0,1.0,1.0
227,dress,1.0,1.0,1.0
228,duplic,,5.0,
229,duplicated,3.0,,3.0
230,duplicating,1.0,,1.0
231,duplication,1.0,,1.0
232,dust,1.0,1.0,1.0
233,easi,,1.0,
234,easiest,1.0,1.0,1.0
235,eastern,1.0,1.0,1.0
236,easy,1.0,,1.0
237,ebay,1.0,1.0,1.0
238,eclips,,1.0,
239,eclipse,1.0,,1.0
240,eighti,,1.0,
241,eighties,1.0,,
242,eighty,,,1.0
243,either,2.0,2.0,2.0
244,elementari,,1.0,
245,elementary,1.0,,1.0
246,els,,3.0,
247,else,3.0,,3.0
248,emerg,,1.0,
249,emergent,1.0,,1.0
250,encapsul,,1.0,
251,encapsulate,1.0,,1.0
252,engin,,2.0,
253,engineering,2.0,,2.0
254,english,1.0,1.0,1.0
255,enlighten,1.0,1.0,1.0
256,enough,1.0,1.0,1.0
257,envi,,1.0,
258,envy,1.0,,1.0
259,error,27.0,27.0,27.0
260,even,1.0,1.0,1.0
261,everi,,3.0,
262,every,3.0,,3.0
263,everyth,,2.0,
264,everything,2.0,,2.0
265,exact,1.0,1.0,1.0
266,exactli,,1.0,
267,exactly,1.0,,1.0
268,exampl,,5.0,
269,example,5.0,,5.0
270,except,1.0,1.0,1.0
271,exist,,1.0,
272,existing,1.0,,1.0
273,exot,,1.0,
274,exotic,1.0,,1.0
275,expect,2.0,2.0,2.0
276,experi,,1.0,
277,experience,1.0,,1.0
278,explain,1.0,3.0,1.0
279,explained,1.0,,1.0
280,explaining,1.0,,1.0
281,express,,1.0,
282,expression,1.0,,1.0
283,extra,1.0,1.0,1.0
284,extract,3.0,4.0,3.0
285,extracting,1.0,,1.0
286,face,4.0,4.0,4.0
287,factori,,2.0,
288,factorial,1.0,,1.0
289,factories,1.0,,
290,factory,,,1.0
291,familyown,,1.0,
292,familyowned,1.0,,1.0
293,father,1.0,1.0,1.0
294,featur,,1.0,
295,feature,1.0,,1.0
296,field,2.0,3.0,3.0
297,fields,1.0,,
298,fight,1.0,1.0,1.0
299,fill,,1.0,
300,filled,1.0,,1.0
301,final,,3.0,
302,finally,3.0,,3.0
303,financi,,2.0,
304,financial,2.0,,2.0
305,find,5.0,5.0,5.0
306,finder,1.0,1.0,1.0
307,fine,2.0,2.0,2.0
308,first,1.0,1.0,1.0
309,fit,,1.0,
310,fitness,1.0,,1.0
311,fix,3.0,3.0,3.0
312,flexibl,,1.0,
313,flexible,1.0,,1.0
314,focu,,1.0,
315,focus,1.0,1.0,1.0
316,focused,1.0,,1.0
317,forget,2.0,2.0,2.0
318,four,1.0,1.0,1.0
319,funni,,1.0,
320,funny,1.0,,1.0
321,futur,,1.0,
322,future,1.0,,1.0
323,ga,,1.0,
324,gas,1.0,,1.0
325,gener,,1.0,
326,generalities,1.0,,
327,generality,,,1.0
328,get,3.0,4.0,4.0
329,gets,1.0,,
330,giancola,1.0,1.0,1.0
331,give,,1.0,1.0
332,gives,1.0,,
333,glass,6.0,9.0,9.0
334,glasses,3.0,,
335,go,,4.0,1.0
336,goe,,1.0,
337,goes,1.0,,
338,going,4.0,,4.0
339,good,8.0,8.0,8.0
340,got,2.0,2.0,2.0
341,ground,1.0,1.0,1.0
342,guidelin,,1.0,
343,guideline,1.0,,1.0
344,happen,2.0,2.0,2.0
345,hard,3.0,3.0,3.0
346,havent,1.0,1.0,1.0
347,he,,2.0,2.0
348,heard,1.0,1.0,1.0
349,hed,1.0,1.0,1.0
350,hello,1.0,1.0,1.0
351,help,2.0,3.0,2.0
352,helper,1.0,1.0,1.0
353,helping,1.0,,1.0
354,hes,2.0,,
355,hierarchi,,1.0,
356,hierarchy,1.0,,1.0
357,holiday,1.0,1.0,1.0
358,honda,1.0,1.0,1.0
359,honduran,1.0,1.0,1.0
360,hop,,1.0,
361,hopping,1.0,,1.0
362,hot,1.0,1.0,1.0
363,hour,,1.0,1.0
364,hours,1.0,,
365,huge,1.0,1.0,1.0
366,hurrican,,3.0,
367,hurricane,3.0,,3.0
368,id,,1.0,1.0
369,idea,8.0,8.0,8.0
370,idq,1.0,1.0,1.0
371,ids,1.0,,
372,ill,2.0,2.0,2.0
373,illumin,,1.0,
374,illuminate,1.0,,1.0
375,implement,3.0,6.0,3.0
376,implemented,2.0,,2.0
377,implementing,1.0,,1.0
378,import,1.0,7.0,1.0
379,importance,1.0,,1.0
380,important,5.0,,5.0
381,includ,,1.0,
382,includes,1.0,,1.0
383,indiscret,,1.0,
384,indiscretion,1.0,,1.0
385,inform,,1.0,
386,information,1.0,,1.0
387,inherit,1.0,2.0,1.0
388,inheritance,1.0,,1.0
389,input,1.0,1.0,1.0
390,instructor,1.0,1.0,1.0
391,instrument,1.0,2.0,2.0
392,instruments,1.0,,
393,intellig,,1.0,
394,intelligence,1.0,,1.0
395,interest,,3.0,
396,interested,3.0,,3.0
397,interfac,,1.0,
398,interface,1.0,,1.0
399,interview,1.0,2.0,2.0
400,interviews,1.0,,
401,introduc,,2.0,
402,introduce,1.0,,1.0
403,introducing,1.0,,1.0
404,invis,,1.0,
405,invisible,1.0,,1.0
406,invit,,1.0,
407,inviting,1.0,,1.0
408,involv,,1.0,
409,involves,1.0,,1.0
410,isaiah,1.0,1.0,1.0
411,iso,2.0,2.0,2.0
412,isol,,1.0,
413,isolates,1.0,,1.0
414,issu,,1.0,
415,issue,1.0,,1.0
416,ive,2.0,2.0,2.0
417,join,1.0,1.0,1.0
418,justic,,1.0,
419,justice,1.0,,1.0
420,justifi,,1.0,
421,justify,1.0,,1.0
422,kevin,1.0,1.0,1.0
423,kind,4.0,5.0,5.0
