,label,bow_wt,bow_stem,bow_lem
0,access,,1.0,
1,accessing,1.0,,1.0
2,answer,2.0,2.0,2.0
3,anyth,,1.0,
4,anything,1.0,,1.0
5,applic,,1.0,
6,application,1.0,,1.0
7,bit,1.0,1.0,1.0
8,bodi,,1.0,
9,bodies,1.0,,
10,body,,,1.0
11,branch,3.0,3.0,3.0
12,call,,1.0,
13,called,1.0,,1.0
14,case,,2.0,2.0
15,cases,2.0,,
16,click,1.0,1.0,1.0
17,code,8.0,8.0,8.0
18,compon,,1.0,
19,component,,,1.0
20,components,1.0,,
21,comprehens,,1.0,
22,comprehensive,1.0,,1.0
23,could,1.0,1.0,1.0
24,cours,,1.0,
25,course,1.0,,1.0
26,coverag,,14.0,
27,coverage,14.0,,14.0
28,dataflow,1.0,1.0,1.0
29,demo,2.0,2.0,2.0
30,depend,,1.0,
31,depends,1.0,,1.0
32,determin,,1.0,
33,determine,1.0,,1.0
34,develop,,1.0,
35,development,1.0,,1.0
36,differ,,2.0,
37,difference,1.0,,1.0
38,different,1.0,,1.0
39,divid,,1.0,
40,divide,1.0,,1.0
41,done,3.0,3.0,3.0
42,edit,1.0,1.0,1.0
43,eec,,2.0,2.0
44,eecs,2.0,,
45,engin,,1.0,
46,engineering,1.0,,1.0
47,equal,,1.0,
48,equally,1.0,,1.0
49,execut,,4.0,
50,executed,4.0,,4.0
51,fals,,1.0,
52,false,1.0,,1.0
53,featur,,1.0,
54,feature,,,1.0
55,features,1.0,,
56,fifth,1.0,1.0,1.0
57,fourth,1.0,1.0,1.0
58,framework,2.0,2.0,2.0
59,fulli,,1.0,
60,fully,1.0,,1.0
61,get,1.0,1.0,1.0
62,give,1.0,2.0,2.0
63,gives,1.0,,
64,good,1.0,1.0,1.0
65,gui,5.0,5.0,5.0
66,guidelin,,1.0,
67,guideline,1.0,,1.0
68,hard,2.0,2.0,2.0
69,high,2.0,2.0,2.0
70,idea,1.0,1.0,1.0
71,import,,2.0,
72,important,2.0,,2.0
73,indic,,1.0,
74,indicates,1.0,,1.0
75,inform,,1.0,
76,information,1.0,,1.0
77,input,,1.0,1.0
78,inputs,1.0,,
79,interact,,1.0,
80,interactive,1.0,,1.0
81,issu,,1.0,
82,issue,,,1.0
83,issues,1.0,,
84,iter,,1.0,
85,iterated,1.0,,1.0
86,jacoco,1.0,1.0,1.0
87,java,1.0,1.0,1.0
88,keep,1.0,1.0,1.0
89,kind,,1.0,1.0
90,kinds,1.0,,
91,larg,,1.0,
92,large,1.0,,1.0
93,least,1.0,1.0,1.0
94,level,4.0,4.0,4.0
95,link,1.0,1.0,1.0
96,littl,,1.0,
97,little,1.0,,1.0
98,longer,1.0,1.0,1.0
99,loop,1.0,1.0,1.0
100,low,2.0,2.0,2.0
101,make,1.0,1.0,1.0
102,mani,,2.0,
103,many,2.0,,2.0
104,march,1.0,1.0,1.0
105,master,1.0,1.0,1.0
106,may,3.0,3.0,3.0
107,metric,,1.0,1.0
108,metrics,1.0,,
109,multicondit,,1.0,
110,multicondition,1.0,,1.0
111,must,2.0,2.0,2.0
112,need,1.0,1.0,1.0
113,never,1.0,1.0,1.0
114,number,1.0,1.0,1.0
115,observ,,1.0,
116,observe,1.0,,1.0
117,one,2.0,2.0,2.0
118,possibl,,1.0,
119,possible,1.0,,1.0
120,practic,,1.0,
121,practice,1.0,,1.0
122,pretti,,1.0,
123,pretty,1.0,,1.0
124,problem,,1.0,1.0
125,problems,1.0,,
126,programmat,,1.0,
127,programmatically,1.0,,1.0
128,project,1.0,1.0,1.0
129,qualiti,,1.0,
130,quality,1.0,,1.0
131,relev,,1.0,
132,relevant,1.0,,1.0
133,reveal,1.0,1.0,1.0
134,run,,1.0,
135,running,1.0,,1.0
136,second,1.0,1.0,1.0
137,see,2.0,2.0,2.0
138,segment,1.0,1.0,1.0
139,short,1.0,1.0,1.0
140,size,1.0,1.0,1.0
141,softwar,,2.0,
142,software,2.0,,2.0
143,statement,5.0,8.0,8.0
144,statements,3.0,,
145,style,,1.0,1.0
146,styles,1.0,,
147,suffici,,1.0,
148,sufficient,1.0,,1.0
149,suit,,1.0,
150,suite,1.0,,1.0
151,system,4.0,4.0,4.0
152,tenth,1.0,1.0,1.0
153,test,4.0,12.0,4.0
154,tested,2.0,,2.0
155,testfx,1.0,1.0,1.0
156,testing,6.0,,6.0
157,text,1.0,1.0,1.0
158,third,1.0,1.0,1.0
159,time,,1.0,1.0
160,times,1.0,,
161,total,1.0,1.0,1.0
162,track,1.0,1.0,1.0
163,true,1.0,1.0,1.0
164,tuesday,1.0,1.0,1.0
165,typic,,1.0,
166,typically,1.0,,1.0
167,use,1.0,4.0,1.0
168,used,1.0,,1.0
169,using,2.0,,2.0
170,valu,,1.0,
171,value,,,1.0
172,values,1.0,,
173,variabl,,1.0,
174,variable,,,1.0
175,variables,1.0,,
176,video,2.0,2.0,2.0
177,websit,,1.0,
178,website,1.0,,1.0
