,label,bow_wt,bow_stem,bow_lem
0,abl,,1.0,
1,able,1.0,,1.0
2,also,1.0,1.0,1.0
3,audienc,,1.0,
4,audience,1.0,,1.0
5,automat,,1.0,
6,automatic,1.0,,1.0
7,bottom,1.0,1.0,1.0
8,class,8.0,11.0,11.0
9,classes,3.0,,
10,clear,1.0,1.0,1.0
11,click,1.0,1.0,1.0
12,connect,,2.0,
13,connected,2.0,,2.0
14,cours,,2.0,
15,course,2.0,,2.0
16,creat,,3.0,
17,create,1.0,,1.0
18,created,1.0,,1.0
19,creating,1.0,,1.0
20,crucial,1.0,1.0,1.0
21,custom,,1.0,
22,customer,1.0,,1.0
23,depict,1.0,3.0,1.0
24,depicting,2.0,,2.0
25,design,9.0,9.0,9.0
26,detail,,1.0,1.0
27,details,1.0,,
28,develop,,3.0,
29,developer,1.0,,2.0
30,developers,1.0,,
31,development,1.0,,1.0
32,diagram,7.0,17.0,17.0
33,diagrams,10.0,,
34,diagramsnet,1.0,1.0,1.0
35,document,6.0,8.0,7.0
36,documentation,1.0,,1.0
37,documents,1.0,,
38,draw,3.0,4.0,3.0
39,drawing,1.0,,1.0
40,dynam,,1.0,
41,dynamic,1.0,,1.0
42,edit,1.0,1.0,1.0
43,eec,,1.0,1.0
44,eecs,1.0,,
45,engin,,1.0,
46,engineer,1.0,,1.0
47,everi,,2.0,
48,every,2.0,,2.0
49,exampl,,2.0,
50,example,2.0,,2.0
51,experienc,,1.0,
52,experienced,1.0,,1.0
53,fifth,1.0,1.0,1.0
54,find,1.0,1.0,1.0
55,fourth,1.0,1.0,1.0
56,free,1.0,1.0,1.0
57,get,2.0,2.0,2.0
58,goal,1.0,1.0,1.0
59,highlevel,1.0,1.0,1.0
60,httpsonlinevisualparadigmcomtutorialssequencediagramtutori,,1.0,
61,httpsonlinevisualparadigmcomtutorialssequencediagramtutorial,1.0,,1.0
62,huge,1.0,1.0,1.0
63,idea,1.0,1.0,1.0
64,ideal,,1.0,
65,ideally,1.0,,1.0
66,import,,7.0,
67,important,7.0,,7.0
68,inform,,1.0,
69,information,1.0,,1.0
70,interact,3.0,3.0,3.0
71,job,1.0,1.0,1.0
72,learn,2.0,2.0,2.0
73,least,1.0,1.0,1.0
74,level,4.0,4.0,4.0
75,link,1.0,2.0,2.0
76,links,1.0,,
77,list,1.0,1.0,1.0
78,march,1.0,1.0,1.0
79,master,1.0,1.0,1.0
80,method,1.0,3.0,3.0
81,methods,2.0,,
82,multipl,,1.0,
83,multiple,1.0,,1.0
84,need,3.0,3.0,3.0
85,never,1.0,1.0,1.0
86,object,,3.0,3.0
87,objects,3.0,,
88,often,1.0,1.0,1.0
89,omit,1.0,1.0,1.0
90,one,1.0,1.0,1.0
91,pass,,1.0,1.0
92,passes,1.0,,
93,poor,3.0,3.0,3.0
94,present,1.0,1.0,1.0
95,project,1.0,1.0,1.0
96,rather,1.0,1.0,1.0
97,rational,,1.0,
98,rationale,1.0,,1.0
99,read,1.0,1.0,1.0
100,relationship,,1.0,1.0
101,relationships,1.0,,
102,relev,,1.0,
103,relevant,1.0,,1.0
104,runtim,,4.0,
105,runtime,4.0,,4.0
106,sampl,,1.0,
107,sample,1.0,,1.0
108,scenario,,1.0,1.0
109,scenarios,1.0,,
110,second,1.0,1.0,1.0
111,see,2.0,3.0,3.0
112,sees,1.0,,
113,select,1.0,1.0,1.0
114,sequenc,,4.0,
115,sequence,4.0,,4.0
116,show,2.0,2.0,2.0
117,singl,,1.0,
118,single,1.0,,1.0
119,softwar,,3.0,
120,software,3.0,,3.0
121,static,1.0,1.0,1.0
122,structur,,1.0,
123,structure,1.0,,1.0
124,style,,1.0,1.0
125,styles,1.0,,
126,support,,1.0,1.0
127,supports,1.0,,
128,system,6.0,6.0,6.0
129,text,1.0,1.0,1.0
130,third,1.0,1.0,1.0
131,time,1.0,1.0,1.0
132,tool,3.0,5.0,5.0
133,tools,2.0,,
134,top,1.0,1.0,1.0
135,tuesday,1.0,1.0,1.0
136,tutori,,1.0,
137,tutorial,1.0,,1.0
138,uml,2.0,2.0,2.0
139,unfamiliar,1.0,1.0,1.0
140,unnecessari,,1.0,
141,unnecessary,1.0,,1.0
142,use,,2.0,
143,useful,2.0,,2.0
144,user,1.0,1.0,1.0
145,view,2.0,2.0,2.0
146,webbas,,1.0,
147,webbased,1.0,,1.0
148,websit,,2.0,
149,website,2.0,,2.0
150,well,1.0,1.0,1.0
151,without,1.0,1.0,1.0
152,work,,1.0,1.0
153,works,1.0,,
154,’,1.0,1.0,1.0
