,label,bow_wt,bow_stem,bow_lem
0,abid,,1.0,
1,abide,1.0,,1.0
2,accomplish,,1.0,
3,accomplished,1.0,,1.0
4,add,1.0,1.0,1.0
5,agre,,8.0,
6,agree,2.0,,2.0
7,agreeing,1.0,,1.0
8,agreement,2.0,2.0,2.0
9,agrees,5.0,,5.0
10,alloc,,1.0,
11,allocation,1.0,,1.0
12,among,2.0,2.0,2.0
13,amount,,1.0,1.0
14,amounts,1.0,,
15,anoth,,1.0,
16,another,1.0,,1.0
17,appli,,2.0,
18,apply,2.0,,2.0
19,approach,4.0,6.0,6.0
20,approaches,2.0,,
21,aris,,2.0,
22,arise,1.0,,1.0
23,arises,1.0,,1.0
24,aspect,,1.0,1.0
25,aspects,1.0,,
26,attend,,1.0,
27,attending,1.0,,1.0
28,baljko,1.0,1.0,1.0
29,base,1.0,1.0,1.0
30,basi,,1.0,
31,basis,1.0,,1.0
32,best,2.0,2.0,2.0
33,bring,1.0,1.0,1.0
34,case,1.0,3.0,3.0
35,cases,2.0,,
36,clariti,,6.0,
37,clarity,6.0,,6.0
38,claus,,2.0,
39,clause,,,2.0
40,clauses,2.0,,
41,code,2.0,2.0,2.0
42,collect,,2.0,
43,collective,1.0,,1.0
44,collectively,1.0,,1.0
45,come,1.0,1.0,1.0
46,commit,,1.0,
47,commitment,1.0,,1.0
48,commun,,3.0,
49,communicate,2.0,,2.0
50,communication,,,1.0
51,communications,1.0,,
52,complet,,2.0,
53,completed,1.0,,1.0
54,completion,1.0,,1.0
55,composit,,1.0,
56,composition,1.0,,1.0
57,conflict,4.0,5.0,5.0
58,conflicts,1.0,,
59,consensu,,2.0,
60,consensus,2.0,,2.0
61,consult,1.0,1.0,1.0
62,contenti,,1.0,
63,contentious,1.0,,1.0
64,contribut,,2.0,
65,contribute,2.0,,2.0
66,converg,,1.0,
67,convergence,1.0,,1.0
68,coordin,,4.0,
69,coordinator,4.0,,4.0
70,cours,,2.0,
71,course,2.0,,2.0
72,date,,2.0,
73,dated,2.0,,2.0
74,decis,,4.0,
75,decision,4.0,,4.0
76,deem,,1.0,
77,deemed,1.0,,1.0
78,deliver,,1.0,
79,deliverable,1.0,,1.0
80,describ,,3.0,
81,describe,3.0,,3.0
82,design,,3.0,
83,designated,1.0,,1.0
84,designer,2.0,,2.0
85,desir,,1.0,
86,desired,1.0,,1.0
87,despit,,2.0,
88,despite,2.0,,2.0
89,determin,,1.0,
90,determine,1.0,,1.0
91,differ,,1.0,
92,different,1.0,,1.0
93,disagr,,1.0,
94,disagreement,1.0,,1.0
95,discus,,,2.0
96,discuss,2.0,3.0,
97,discussion,1.0,,1.0
98,divid,,2.0,
99,divided,2.0,,2.0
100,divis,,2.0,
101,division,2.0,,2.0
102,document,1.0,2.0,1.0
103,documenter,1.0,,1.0
104,eclass,1.0,1.0,1.0
105,eec,,1.0,1.0
106,eecs,1.0,,
107,effort,1.0,3.0,3.0
108,efforts,2.0,,
109,employ,2.0,2.0,2.0
110,ensur,,2.0,
111,ensure,1.0,,1.0
112,ensures,1.0,,1.0
113,equal,1.0,1.0,1.0
114,etc,2.0,2.0,2.0
115,expect,,4.0,
116,expectation,1.0,,4.0
117,expectations,3.0,,
118,feedback,1.0,1.0,1.0
119,flag,1.0,1.0,1.0
120,follow,,7.0,
121,following,7.0,,7.0
122,format,1.0,1.0,1.0
123,found,1.0,1.0,1.0
124,framework,1.0,1.0,1.0
125,function,,1.0,1.0
126,functions,1.0,,
127,goal,2.0,2.0,2.0
128,goodfaith,2.0,2.0,2.0
129,grade,1.0,1.0,1.0
130,group,32.0,33.0,33.0
131,groups,1.0,,
132,groupwork,1.0,1.0,1.0
133,guidanc,,1.0,
134,guidance,1.0,,1.0
135,handl,,1.0,
136,handling,1.0,,1.0
137,herebi,,1.0,
138,hereby,1.0,,1.0
139,hold,1.0,1.0,1.0
140,human,1.0,1.0,1.0
141,includ,,3.0,
142,include,3.0,,3.0
143,instructor,1.0,1.0,1.0
144,issu,,2.0,
145,issue,,,2.0
146,issues,2.0,,
147,lack,3.0,3.0,3.0
148,late,1.0,1.0,1.0
149,line,1.0,1.0,1.0
150,list,9.0,10.0,9.0
151,listed,1.0,,1.0
152,made,2.0,2.0,2.0
153,major,,2.0,
154,majority,2.0,,2.0
155,make,1.0,3.0,1.0
156,making,2.0,,2.0
157,may,3.0,3.0,3.0
158,mediat,,2.0,
159,mediator,2.0,,2.0
160,meet,,2.0,
161,meeting,1.0,,2.0
162,meetings,1.0,,
163,member,6.0,20.0,20.0
164,members,14.0,,
165,method,1.0,1.0,1.0
166,much,1.0,1.0,1.0
167,must,5.0,5.0,5.0
168,natur,,1.0,
169,nature,1.0,,1.0
170,number,1.0,1.0,1.0
171,one,3.0,3.0,3.0
172,onlin,,1.0,
173,online,1.0,,1.0
174,option,,1.0,
175,optional,1.0,,1.0
176,outcom,,1.0,
177,outcome,1.0,,1.0
178,parti,,1.0,
179,particular,4.0,4.0,4.0
180,parties,1.0,,
181,party,,,1.0
182,per,1.0,1.0,1.0
183,phase,1.0,1.0,1.0
184,platform,,1.0,1.0
185,platforms,1.0,,
186,possibilities,3.0,,
187,possibility,,,3.0
188,possibl,,3.0,
189,problem,3.0,3.0,3.0
190,process,1.0,1.0,1.0
191,prof,1.0,1.0,1.0
192,programm,,1.0,
193,programmer,1.0,,1.0
194,project,1.0,1.0,1.0
195,provid,,1.0,
196,providing,1.0,,1.0
197,publish,,1.0,
198,published,1.0,,1.0
199,reach,,1.0,
200,reached,1.0,,1.0
201,rectifi,,1.0,
202,rectify,1.0,,1.0
203,resolut,,3.0,
204,resolution,3.0,,3.0
205,resolv,,4.0,
206,resolve,3.0,,3.0
207,resolved,1.0,,1.0
208,respond,1.0,1.0,1.0
209,respons,,7.0,
210,responsibilities,1.0,,
211,responsibility,4.0,,5.0
212,responsible,1.0,,1.0
213,responsive,1.0,,1.0
214,role,1.0,5.0,5.0
215,roles,4.0,,
216,roughli,,1.0,
217,roughly,1.0,,1.0
218,search,1.0,1.0,1.0
219,section,,1.0,1.0
220,sections,1.0,,
221,segment,3.0,3.0,3.0
222,sentenc,,3.0,
223,sentence,,,3.0
224,sentences,3.0,,
225,set,,1.0,
226,setting,1.0,,1.0
227,sever,,1.0,
228,several,1.0,,1.0
229,share,,1.0,
230,shared,1.0,,1.0
231,sign,,2.0,
232,signed,2.0,,2.0
233,softwar,,1.0,
234,software,1.0,,1.0
235,submit,,1.0,
236,submitting,1.0,,1.0
237,talk,1.0,1.0,1.0
238,team,4.0,5.0,5.0
239,teambas,,1.0,
240,teambased,1.0,,1.0
241,teams,1.0,,
242,templat,,2.0,
243,template,2.0,,2.0
244,term,,1.0,1.0
245,terms,1.0,,
246,test,1.0,1.0,1.0
247,tester,1.0,1.0,1.0
248,thank,,1.0,
249,thanks,1.0,,1.0
250,time,2.0,2.0,2.0
251,togeth,,1.0,
252,together,1.0,,1.0
253,two,1.0,1.0,1.0
254,understand,,1.0,
255,understands,1.0,,1.0
256,undertak,,1.0,
257,undertake,1.0,,1.0
258,upon,1.0,1.0,1.0
259,use,6.0,7.0,6.0
260,using,1.0,,1.0
261,via,1.0,1.0,1.0
262,virtu,,1.0,
263,virtue,1.0,,1.0
264,volunt,,1.0,
265,volunteer,1.0,,1.0
266,vote,2.0,2.0,2.0
267,well,1.0,1.0,1.0
268,whole,1.0,1.0,1.0
269,window,1.0,1.0,1.0
270,within,1.0,1.0,1.0
271,work,7.0,7.0,7.0
272,would,1.0,1.0,1.0
273,write,1.0,1.0,1.0
274,yet,1.0,1.0,1.0
