,label,bow_wt,bow_stem,bow_lem
0,actual,1.0,1.0,1.0
1,add,,1.0,1.0
2,adds,1.0,,
3,affect,,1.0,
4,affecting,1.0,,1.0
5,allow,1.0,1.0,1.0
6,also,3.0,3.0,3.0
7,anoth,,1.0,
8,another,1.0,,1.0
9,app,1.0,1.0,1.0
10,area,3.0,3.0,3.0
11,asap,1.0,1.0,1.0
12,assign,,1.0,
13,assignment,1.0,,1.0
14,authorit,,1.0,
15,authoritative,1.0,,1.0
16,back,2.0,2.0,2.0
17,backup,1.0,2.0,2.0
18,backups,1.0,,
19,base,,1.0,
20,based,1.0,,1.0
21,basic,2.0,2.0,2.0
22,benefici,,1.0,
23,beneficial,1.0,,1.0
24,better,1.0,1.0,1.0
25,bitkeep,,1.0,
26,bitkeeper,1.0,,1.0
27,book,1.0,1.0,1.0
28,branch,15.0,25.0,23.0
29,branches,8.0,,
30,branching,2.0,,2.0
31,break,1.0,1.0,1.0
32,bug,2.0,2.0,2.0
33,call,,7.0,
34,called,7.0,,7.0
35,case,,1.0,1.0
36,cases,1.0,,
37,central,,1.0,
38,centralized,1.0,,1.0
39,challeng,,1.0,
40,challenge,,,1.0
41,challenges,1.0,,
42,chang,,14.0,
43,change,3.0,,13.0
44,changed,1.0,,1.0
45,changes,10.0,,
46,checkout,2.0,2.0,2.0
47,choos,,1.0,
48,choose,1.0,,1.0
49,class,2.0,2.0,2.0
50,click,1.0,1.0,1.0
51,client,,1.0,1.0
52,clients,1.0,,
53,clientserv,,1.0,
54,clientserver,1.0,,1.0
55,clone,,1.0,
56,cloned,1.0,,1.0
57,code,6.0,6.0,6.0
58,collabor,,1.0,
59,collaborate,1.0,,1.0
60,comment,,1.0,1.0
61,comments,1.0,,
62,commit,14.0,18.0,14.0
63,commits,2.0,,2.0
64,committed,2.0,,2.0
65,commun,,2.0,
66,communication,1.0,,1.0
67,community,1.0,,1.0
68,compil,,1.0,
69,compile,1.0,,1.0
70,comput,,1.0,
71,computer,1.0,,1.0
72,conflict,,2.0,2.0
73,conflicts,2.0,,
74,contain,,2.0,
75,contains,2.0,,2.0
76,control,6.0,6.0,6.0
77,convent,,1.0,
78,convention,1.0,,1.0
79,copi,,2.0,
80,copy,2.0,,2.0
81,cours,,2.0,
82,course,2.0,,2.0
83,creat,,4.0,
84,create,3.0,,3.0
85,creates,1.0,,1.0
86,critic,,1.0,
87,critical,1.0,,1.0
88,current,2.0,2.0,2.0
89,custom,,1.0,
90,customer,1.0,,1.0
91,cv,,1.0,1.0
92,cvs,1.0,,
93,data,2.0,2.0,2.0
94,databas,,2.0,
95,database,2.0,,2.0
96,default,1.0,1.0,1.0
97,delet,,1.0,
98,deleted,1.0,,1.0
99,delta,1.0,1.0,1.0
100,demo,1.0,1.0,1.0
101,detach,,1.0,
102,detached,1.0,,1.0
103,develop,,3.0,
104,developed,1.0,,1.0
105,development,2.0,,2.0
106,diff,1.0,1.0,1.0
107,differ,,4.0,
108,differenc,,1.0,
109,difference,,,3.0
110,differences,3.0,,
111,differencing,1.0,,1.0
112,different,1.0,,1.0
113,directori,,4.0,
114,directory,4.0,,4.0
115,display,1.0,1.0,1.0
116,distribut,,2.0,
117,distributed,2.0,,2.0
118,diverg,,1.0,
119,diverged,1.0,,1.0
120,download,,1.0,
121,downloads,1.0,,1.0
122,eclips,,1.0,
123,eclipse,1.0,,1.0
124,edit,1.0,1.0,1.0
125,eec,,1.0,1.0
126,eecs,1.0,,
127,ensur,,1.0,
128,ensure,1.0,,1.0
129,establish,,1.0,
130,established,1.0,,1.0
131,etc,1.0,1.0,1.0
132,even,2.0,2.0,2.0
133,ever,1.0,1.0,1.0
134,everi,,2.0,
135,every,2.0,,2.0
136,everyth,,2.0,
137,everything,2.0,,2.0
138,exampl,,2.0,
139,example,,,2.0
140,examples,2.0,,
141,excel,,1.0,
142,excellent,1.0,,1.0
143,face,1.0,1.0,1.0
144,far,1.0,1.0,1.0
145,fast,1.0,1.0,1.0
146,featur,,1.0,
147,feature,1.0,,1.0
148,fetch,1.0,2.0,2.0
149,fetches,1.0,,
150,fetch…,1.0,1.0,1.0
151,fifth,1.0,1.0,1.0
152,file,8.0,13.0,13.0
153,files,5.0,,
154,filesystem,1.0,1.0,1.0
155,find,,2.0,1.0
156,finding,1.0,,1.0
157,finds,1.0,,
158,finish,,1.0,
159,finished,1.0,,1.0
160,fix,,1.0,
161,fixed,1.0,,1.0
162,fourth,1.0,1.0,1.0
163,fulli,,1.0,
164,fully,1.0,,1.0
165,get,3.0,4.0,4.0
166,gets,1.0,,
167,git,17.0,17.0,17.0
168,github,1.0,1.0,1.0
169,goal,,1.0,1.0
170,goals,1.0,,
171,gotten,1.0,1.0,1.0
172,great,1.0,1.0,1.0
173,handl,,1.0,
174,handle,1.0,,1.0
175,happen,,1.0,
176,happened,1.0,,1.0
177,havent,1.0,1.0,1.0
178,head,4.0,4.0,4.0
179,help,2.0,2.0,2.0
180,histori,,1.0,
181,history,1.0,,1.0
182,home,1.0,1.0,1.0
183,idea,2.0,2.0,2.0
184,improv,,3.0,
185,improvement,,,3.0
186,improvements,3.0,,
187,includ,,1.0,
188,include,1.0,,1.0
189,index,1.0,1.0,1.0
190,inform,,1.0,
191,information,1.0,,1.0
192,iss,2.0,2.0,2.0
193,januari,,1.0,
194,january,1.0,,1.0
195,keep,1.0,1.0,1.0
196,kept,1.0,1.0,1.0
197,larg,,1.0,
198,large,1.0,,1.0
199,level,4.0,4.0,4.0
200,like,3.0,3.0,3.0
201,line,1.0,1.0,1.0
202,link,1.0,1.0,1.0
203,linu,,1.0,
204,linus,1.0,,1.0
205,linux,2.0,2.0,2.0
206,local,6.0,6.0,6.0
207,lose,1.0,1.0,1.0
208,lot,1.0,1.0,1.0
209,made,1.0,1.0,1.0
210,main,3.0,3.0,3.0
211,mainmast,,2.0,
212,mainmaster,2.0,,2.0
213,make,3.0,5.0,5.0
214,makes,2.0,,
215,mani,,1.0,
216,many,1.0,,1.0
217,mark,,1.0,
218,marked,1.0,,1.0
219,master,8.0,8.0,8.0
220,may,1.0,1.0,1.0
221,mean,,4.0,4.0
222,means,4.0,,
223,merg,,14.0,
224,merge,9.0,,9.0
225,merged,2.0,,2.0
226,merges,1.0,,1.0
227,merging,2.0,,2.0
228,metadata,1.0,1.0,1.0
229,miniatur,,1.0,
230,miniature,1.0,,1.0
231,modifi,,3.0,
232,modified,2.0,,2.0
233,modify,1.0,,1.0
234,move,,2.0,2.0
235,moves,2.0,,
236,multidevelop,,1.0,
237,multideveloper,1.0,,1.0
238,multipl,,2.0,
239,multiple,2.0,,2.0
240,must,1.0,1.0,1.0
241,need,4.0,4.0,4.0
242,new,7.0,7.0,7.0
243,next,3.0,3.0,3.0
244,number,4.0,4.0,4.0
245,object,1.0,1.0,1.0
246,offici,,1.0,
247,official,1.0,,1.0
248,older,1.0,1.0,1.0
249,one,4.0,4.0,4.0
250,oper,,2.0,
251,operation,,,2.0
252,operations,2.0,,
253,option,,1.0,1.0
254,options,1.0,,
255,origin,1.0,1.0,1.0
256,other,,1.0,
257,others,1.0,,1.0
258,parallel,1.0,1.0,1.0
259,part,4.0,4.0,4.0
260,perman,,1.0,
261,permanently,1.0,,1.0
262,point,1.0,1.0,1.0
263,pointer,6.0,6.0,6.0
264,poor,1.0,1.0,1.0
265,possibl,,1.0,
266,possible,1.0,,1.0
267,power,,1.0,
268,powerful,1.0,,1.0
269,present,1.0,1.0,1.0
270,pretti,,1.0,
271,pretty,1.0,,1.0
