,label,bow_wt,bow_stem,bow_lem
0,abil,,1.0,
1,ability,1.0,,1.0
2,anyth,,1.0,
3,anything,1.0,,1.0
4,back,3.0,3.0,3.0
5,base,,1.0,
6,based,1.0,,1.0
7,branch,14.0,26.0,26.0
8,branches,12.0,,
9,bug,1.0,1.0,1.0
10,chang,,4.0,
11,change,,,4.0
12,changes,4.0,,
13,click,1.0,1.0,1.0
14,code,1.0,1.0,1.0
15,commit,,2.0,
16,commits,2.0,,2.0
17,conflict,1.0,3.0,2.0
18,conflicting,1.0,,1.0
19,conflicts,1.0,,
20,contain,1.0,1.0,1.0
21,convent,,4.0,
22,convention,4.0,,4.0
23,cours,,4.0,
24,course,4.0,,4.0
25,creat,,4.0,
26,create,1.0,,1.0
27,created,3.0,,3.0
28,critic,,1.0,
29,critical,1.0,,1.0
30,deliv,,1.0,
31,delivered,1.0,,1.0
32,demo,,1.0,
33,demoed,1.0,,1.0
34,determin,,1.0,
35,determines,1.0,,1.0
36,develop,10.0,13.0,10.0
37,developed,1.0,,1.0
38,development,2.0,,2.0
39,discov,,1.0,
40,discovered,1.0,,1.0
41,edit,1.0,1.0,1.0
42,eec,,2.0,2.0
43,eecs,2.0,,
44,ensur,,1.0,
45,ensure,1.0,,1.0
46,error,1.0,1.0,1.0
47,exampl,,1.0,
48,example,1.0,,1.0
49,except,1.0,1.0,1.0
50,explan,,1.0,
51,explanation,1.0,,1.0
52,fast,2.0,2.0,2.0
53,fastforward,1.0,1.0,1.0
54,featur,,7.0,
55,feature,5.0,,7.0
56,features,2.0,,
57,fifth,1.0,1.0,1.0
58,first,1.0,1.0,1.0
59,forward,1.0,1.0,1.0
60,fourth,1.0,1.0,1.0
61,futur,,1.0,
62,future,1.0,,1.0
63,get,2.0,2.0,2.0
64,git,2.0,2.0,2.0
65,gitflow,5.0,5.0,5.0
66,github,1.0,1.0,1.0
67,group,2.0,2.0,2.0
68,happen,,2.0,
69,happened,2.0,,2.0
70,hotfix,5.0,5.0,5.0
71,httpswwwcampingcodercomgit,1.0,1.0,1.0
72,httpswwwcampingcodercomhowtousegitflow,1.0,1.0,1.0
73,januari,,1.0,
74,january,1.0,,1.0
75,latest,2.0,2.0,2.0
76,level,4.0,4.0,4.0
77,link,1.0,1.0,1.0
78,local,1.0,1.0,1.0
79,major,1.0,1.0,1.0
80,make,,2.0,
81,making,2.0,,2.0
82,master,7.0,7.0,7.0
83,may,4.0,4.0,4.0
84,merg,,6.0,
85,merge,4.0,,4.0
86,merged,1.0,,1.0
87,merges,1.0,,1.0
88,mergesdemystifi,,1.0,
89,mergesdemystified,1.0,,1.0
90,messi,,1.0,
91,messy,1.0,,1.0
92,must,7.0,7.0,7.0
93,name,2.0,6.0,2.0
94,naming,4.0,,4.0
95,necessari,,1.0,
96,necessary,1.0,,1.0
97,new,1.0,1.0,1.0
98,next,1.0,1.0,1.0
99,often,1.0,1.0,1.0
100,onlin,,4.0,
101,online,4.0,,4.0
102,particip,,1.0,
103,participation,1.0,,1.0
104,pretti,,1.0,
105,pretty,1.0,,1.0
106,problem,1.0,1.0,1.0
107,product,,1.0,
108,production,1.0,,1.0
109,productionreadi,,2.0,
110,productionready,2.0,,2.0
111,project,1.0,1.0,1.0
112,provid,,1.0,
113,provides,1.0,,1.0
114,pull,2.0,2.0,2.0
115,push,2.0,4.0,2.0
116,pushed,2.0,,2.0
117,receiv,,1.0,
118,receive,1.0,,1.0
119,reflect,,2.0,
120,reflects,2.0,,2.0
121,releas,,11.0,
122,release,10.0,,11.0
123,releases,1.0,,
124,repositori,,4.0,
125,repository,4.0,,4.0
126,requir,,1.0,
127,required,1.0,,1.0
128,resolv,,4.0,
129,resolve,4.0,,4.0
130,second,1.0,1.0,1.0
131,see,1.0,1.0,1.0
132,softwar,,1.0,
133,software,1.0,,1.0
134,sort,1.0,1.0,1.0
135,stabl,,1.0,
136,stable,1.0,,1.0
137,state,2.0,2.0,2.0
138,student,1.0,1.0,1.0
139,style,,1.0,1.0
140,styles,1.0,,
141,submiss,,1.0,
142,submission,1.0,,1.0
143,switch,1.0,1.0,1.0
144,system,1.0,1.0,1.0
145,teammat,,1.0,
146,teammate,1.0,,1.0
147,text,1.0,1.0,1.0
148,thing,,1.0,1.0
149,things,1.0,,
150,third,1.0,1.0,1.0
151,tuesday,1.0,1.0,1.0
152,unless,1.0,1.0,1.0
153,use,2.0,3.0,2.0
154,used,1.0,,1.0
155,version,,1.0,1.0
156,versions,1.0,,
157,visual,1.0,1.0,1.0
158,websit,,1.0,
159,website,1.0,,1.0
160,well,1.0,1.0,1.0
161,work,1.0,1.0,1.0
162,workflow,1.0,1.0,1.0
163,’,2.0,2.0,2.0
