,label,bow_wt,bow_stem,bow_lem
0,abl,,1.0,
1,able,1.0,,1.0
2,accept,,1.0,
3,accepted,1.0,,1.0
4,access,3.0,3.0,3.0
5,account,5.0,5.0,5.0
6,activ,,1.0,
7,activity,1.0,,1.0
8,ad,,1.0,
9,add,6.0,6.0,6.0
10,added,1.0,,1.0
11,advanc,,1.0,
12,advanced,1.0,,1.0
13,alreadi,,1.0,
14,already,1.0,,1.0
15,also,1.0,1.0,1.0
16,alway,,1.0,
17,always,1.0,,1.0
18,anoth,,2.0,
19,another,2.0,,2.0
20,appli,,1.0,
21,applic,,1.0,
22,application,1.0,,1.0
23,apply,1.0,,1.0
24,april,1.0,1.0,1.0
25,around,1.0,1.0,1.0
26,ask,,1.0,
27,asks,1.0,,1.0
28,assess,,4.0,
29,assessed,1.0,,1.0
30,assessment,2.0,,3.0
31,assessments,1.0,,
32,assign,,2.0,
33,assigned,1.0,,1.0
34,assignment,,,1.0
35,assignments,1.0,,
36,autom,,2.0,
37,automate,1.0,,1.0
38,automation,1.0,,1.0
39,base,,3.0,
40,based,3.0,,3.0
41,basi,,1.0,
42,basis,1.0,,1.0
43,beforehand,1.0,1.0,1.0
44,bonu,,1.0,
45,bonus,1.0,,1.0
46,breakout,1.0,1.0,1.0
47,bug,3.0,3.0,3.0
48,build,4.0,6.0,5.0
49,buildgradl,,1.0,
50,buildgradle,1.0,,1.0
51,building,1.0,,1.0
52,builds,1.0,,
53,buildship,1.0,1.0,1.0
54,call,,1.0,
55,called,1.0,,1.0
56,chang,,8.0,
57,change,1.0,,8.0
58,changes,7.0,,
59,class,2.0,3.0,3.0
60,classes,1.0,,
61,classroom,1.0,1.0,1.0
62,click,14.0,15.0,14.0
63,clicking,1.0,,1.0
64,clone,1.0,1.0,1.0
65,code,7.0,7.0,7.0
66,collabor,,1.0,
67,collaborator,,,1.0
68,collaborators,1.0,,
69,come,1.0,2.0,2.0
70,comes,1.0,,
71,comfort,,1.0,
72,comfortable,1.0,,1.0
73,commit,4.0,4.0,4.0
74,compil,,2.0,
75,compilation,1.0,,1.0
76,compiling,1.0,,1.0
77,configur,,1.0,
78,configuration,1.0,,1.0
79,consol,,1.0,
80,console,1.0,,1.0
81,contact,1.0,1.0,1.0
82,control,1.0,1.0,1.0
83,copi,,4.0,
84,copy,4.0,,4.0
85,could,1.0,1.0,1.0
86,cours,,6.0,
87,course,6.0,,6.0
88,creat,,2.0,
89,create,2.0,,2.0
90,credenti,,1.0,
91,credential,,,1.0
92,credentials,1.0,,
93,custom,,1.0,
94,customer,1.0,,1.0
95,decid,,1.0,
96,decide,1.0,,1.0
97,demonstr,,1.0,
98,demonstrated,1.0,,1.0
99,depend,,1.0,
100,dependencies,1.0,,
101,dependency,,,1.0
102,deploy,,1.0,
103,deployment,1.0,,1.0
104,descript,,1.0,
105,description,1.0,,1.0
106,design,,1.0,
107,designed,1.0,,1.0
108,detail,,1.0,
109,detailed,1.0,,1.0
110,develop,1.0,6.0,1.0
111,developer,1.0,,1.0
112,development,4.0,,4.0
113,differ,,1.0,
114,different,1.0,,1.0
115,document,1.0,1.0,1.0
116,dot,,1.0,1.0
117,dots,1.0,,
118,doubleclick,2.0,2.0,2.0
119,due,2.0,2.0,2.0
120,eclass,1.0,1.0,1.0
121,eclips,,9.0,
122,eclipse,9.0,,9.0
123,edit,1.0,1.0,1.0
124,eec,,2.0,2.0
125,eecs,2.0,,
126,either,1.0,1.0,1.0
127,element,1.0,1.0,1.0
128,email,1.0,1.0,1.0
129,enrol,,1.0,
130,enrollment,1.0,,1.0
131,entri,,2.0,
132,entry,2.0,,2.0
133,error,,1.0,1.0
134,errors,1.0,,
135,evalu,,2.0,
136,evaluation,2.0,,2.0
137,everchang,,1.0,
138,everchanging,1.0,,1.0
139,everi,,2.0,
140,every,2.0,,2.0
141,everybodi,,1.0,
142,everybody,1.0,,1.0
143,exact,1.0,1.0,1.0
144,exchang,,1.0,
145,exchange,1.0,,1.0
146,execut,,1.0,
147,execution,,,1.0
148,executions,1.0,,
149,exercis,,2.0,
150,exercise,2.0,,2.0
151,exist,,1.0,
152,existing,1.0,,1.0
153,expand,4.0,4.0,4.0
154,expect,,1.0,
155,expected,1.0,,1.0
156,explor,,1.0,
157,explorer,1.0,,1.0
158,express,1.0,1.0,1.0
159,feb,1.0,1.0,1.0
160,feedback,2.0,2.0,2.0
161,field,1.0,1.0,1.0
162,fifth,1.0,1.0,1.0
163,file,2.0,2.0,2.0
164,filter,,1.0,1.0
165,filters,1.0,,
166,final,1.0,2.0,1.0
167,finally,1.0,,1.0
168,find,4.0,4.0,4.0
169,finish,1.0,1.0,1.0
170,first,1.0,1.0,1.0
171,firstcom,,1.0,
172,firstcome,1.0,,1.0
173,firstserv,,1.0,
174,firstserve,1.0,,1.0
175,fix,1.0,1.0,1.0
176,flip,,1.0,
177,flipped,1.0,,1.0
178,flippedclassroom,1.0,1.0,1.0
179,folder,1.0,1.0,1.0
180,follow,1.0,1.0,1.0
181,fork,1.0,2.0,1.0
182,forked,1.0,,1.0
183,found,1.0,1.0,1.0
184,fourth,1.0,1.0,1.0
185,full,1.0,1.0,1.0
186,gather,1.0,1.0,1.0
187,gener,,3.0,
188,generate,1.0,,1.0
189,generated,2.0,,2.0
190,get,3.0,3.0,3.0
191,git,3.0,3.0,3.0
192,github,9.0,9.0,9.0
193,githubcom,3.0,3.0,3.0
194,go,,,1.0
195,goe,,1.0,
196,goes,1.0,,
197,grade,2.0,3.0,3.0
198,grades,1.0,,
199,gradl,,23.0,
200,gradle,23.0,,23.0
201,groovi,,1.0,
202,groovy,1.0,,1.0
203,group,17.0,21.0,21.0
204,groupbas,,1.0,
205,groupbased,1.0,,1.0
206,groups,4.0,,
207,help,2.0,2.0,2.0
208,high,1.0,1.0,1.0
209,home,1.0,1.0,1.0
210,hour,,1.0,1.0
211,hours,1.0,,
212,howev,,1.0,
213,however,1.0,,1.0
214,httpsgithubcombiltzerpostabxml,1.0,1.0,1.0
215,icebreak,,1.0,
216,icebreaker,1.0,,1.0
217,import,1.0,2.0,1.0
218,important,1.0,,1.0
219,individu,,4.0,
220,individual,3.0,,3.0
221,individually,1.0,,1.0
222,inform,,2.0,
223,information,2.0,,2.0
224,initi,,1.0,
225,initial,1.0,,1.0
226,instal,,3.0,
227,install,1.0,,1.0
228,installed,2.0,,2.0
229,instead,2.0,2.0,2.0
230,instructor,1.0,1.0,1.0
231,integr,,1.0,
232,integrate,1.0,,1.0
233,intent,,1.0,
234,intentionally,1.0,,1.0
235,interact,,1.0,
236,interacting,1.0,,1.0
237,introduc,,1.0,
238,introduce,1.0,,1.0
239,iter,,1.0,
240,iteratively,1.0,,1.0
241,it…,1.0,1.0,1.0
242,januari,,1.0,
243,january,1.0,,1.0
244,java,2.0,2.0,2.0
245,jdk,1.0,1.0,1.0
246,jre,1.0,2.0,1.0
247,jres,1.0,,1.0
248,keep,1.0,1.0,1.0
249,lab,3.0,3.0,3.0
250,languag,,1.0,
251,language,1.0,,1.0
252,larg,,1.0,
253,large,1.0,,1.0
254,latest,2.0,2.0,2.0
255,learn,1.0,1.0,1.0
256,lectur,,4.0,
257,lecture,4.0,,4.0
258,less,1.0,1.0,1.0
259,let,1.0,1.0,1.0
260,level,4.0,4.0,4.0
261,lie,1.0,1.0,1.0
262,local,1.0,1.0,1.0
263,login,1.0,1.0,1.0
264,look,1.0,2.0,1.0
265,looked,1.0,,1.0
266,lot,1.0,1.0,1.0
267,low,1.0,1.0,1.0
268,make,5.0,6.0,5.0
269,making,1.0,,1.0
270,manag,,3.0,
271,manage,1.0,,1.0
272,manager,2.0,,2.0
273,mark,,1.0,1.0
274,marketplac,,1.0,
275,marketplace,1.0,,1.0
276,marks,1.0,,
277,master,1.0,1.0,1.0
278,materi,,3.0,
279,material,3.0,,3.0
280,may,4.0,4.0,4.0
281,meet,1.0,1.0,1.0
282,member,2.0,8.0,8.0
283,members,6.0,,
284,merit,1.0,1.0,1.0
285,messag,,1.0,
286,message,1.0,,1.0
287,midterm,1.0,1.0,1.0
288,might,1.0,1.0,1.0
289,modern,1.0,1.0,1.0
290,must,2.0,2.0,2.0
291,name,2.0,2.0,2.0
292,natur,,1.0,
293,nature,1.0,,1.0
294,navig,,1.0,
295,navigate,1.0,,1.0
296,necessari,,1.0,
297,necessary,1.0,,1.0
298,need,1.0,1.0,1.0
299,new,2.0,2.0,2.0
300,next,6.0,6.0,6.0
301,noth,,1.0,
302,nothing,1.0,,1.0
303,number,3.0,3.0,3.0
304,one,1.0,2.0,2.0
305,ones,1.0,,
306,ongo,,1.0,
307,ongoing,1.0,,1.0
308,open,1.0,1.0,1.0
309,option,,1.0,1.0
310,options,1.0,,
311,overview,1.0,1.0,1.0
312,packag,,1.0,
313,package,1.0,,1.0
314,page,2.0,2.0,2.0
315,pair,2.0,2.0,2.0
316,particip,,3.0,
317,participant,,,1.0
318,participants,1.0,,
319,participation,2.0,,2.0
320,passport,1.0,1.0,1.0
321,password,1.0,1.0,1.0
322,peer,3.0,3.0,3.0
323,peerassess,,1.0,
324,peerassessment,1.0,,1.0
325,per,3.0,3.0,3.0
326,person,,1.0,
327,personal,1.0,,1.0
328,piec,,1.0,
329,piece,1.0,,1.0
330,plan,1.0,1.0,1.0
331,play,1.0,1.0,1.0
332,point,2.0,2.0,2.0
333,possibl,,2.0,
334,possible,2.0,,2.0
335,post,,4.0,
336,posted,4.0,,4.0
337,prefer,,3.0,
338,preference,,,3.0
339,preferences,3.0,,
340,prepar,,1.0,
341,prepared,1.0,,1.0
342,process,1.0,1.0,1.0
343,profil,,1.0,
344,profile,1.0,,1.0
345,project,17.0,19.0,19.0
346,projects,2.0,,
347,prototyp,,1.0,
348,prototype,1.0,,1.0
349,provid,,3.0,
350,provide,3.0,,3.0
351,publish,1.0,3.0,1.0
352,published,2.0,,2.0
353,pull,3.0,4.0,3.0
354,pulling,1.0,,1.0
355,push,2.0,3.0,2.0
356,pushing,1.0,,1.0
357,qualiti,,1.0,
358,quality,1.0,,1.0
359,question,,1.0,1.0
360,questions,1.0,,
361,randomli,,1.0,
362,randomly,1.0,,1.0
363,readi,,2.0,
364,ready,2.0,,2.0
365,real,2.0,2.0,2.0
366,rearrang,,1.0,
367,rearrange,1.0,,1.0
368,receiv,,2.0,
369,receive,2.0,,2.0
370,refin,,1.0,
371,refined,1.0,,1.0
372,refresh,1.0,1.0,1.0
373,relat,,1.0,
374,related,1.0,,1.0
375,remain,,1.0,
376,remaining,1.0,,1.0
377,repo,1.0,1.0,1.0
378,report,,1.0,1.0
379,reports,1.0,,
380,repositori,,5.0,
381,repository,5.0,,5.0
382,requir,,6.0,
383,requirement,,,5.0
384,requirements,5.0,,
385,requires,1.0,,1.0
386,resolv,,1.0,
387,resolving,1.0,,1.0
388,result,,1.0,1.0
389,results,1.0,,
390,right,1.0,1.0,1.0
391,rightclick,3.0,3.0,3.0
392,room,1.0,1.0,1.0
393,run,1.0,5.0,2.0
394,running,3.0,,3.0
395,runs,1.0,,
396,sampl,,1.0,
397,sample,1.0,,1.0
398,search,1.0,1.0,1.0
399,second,1.0,1.0,1.0
400,see,1.0,1.0,1.0
401,select,6.0,6.0,6.0
402,set,,3.0,
403,setting,,,3.0
404,settings,3.0,,
405,setup,1.0,1.0,1.0
406,sever,,3.0,
407,several,1.0,,1.0
408,severity,2.0,,2.0
409,show,1.0,1.0,1.0
410,shown,1.0,1.0,1.0
411,sign,2.0,2.0,2.0
412,softwar,,6.0,
413,software,6.0,,6.0
414,someth,,1.0,
415,something,1.0,,1.0
416,specif,,1.0,
417,specific,1.0,,1.0
418,start,,4.0,
419,started,2.0,,2.0
420,starter,1.0,1.0,1.0
421,starting,2.0,,2.0
422,student,1.0,1.0,1.0
423,studi,,2.0,
424,study,2.0,,2.0
425,style,1.0,2.0,2.0
426,styles,1.0,,
427,sub,1.0,1.0,1.0
428,submiss,,3.0,
429,submission,3.0,,3.0
430,sure,3.0,3.0,3.0
431,ta,,1.0,1.0
432,take,1.0,1.0,1.0
433,tas,1.0,,
