,label,bow_wt,bow_stem,bow_lem
0,abl,,1.0,
1,able,1.0,,1.0
2,aldean,1.0,1.0,1.0
3,alesso,1.0,1.0,1.0
4,allianc,,1.0,
5,alliance,1.0,,1.0
6,alreadi,,2.0,
7,already,2.0,,2.0
8,alright,2.0,2.0,2.0
9,american,1.0,2.0,2.0
10,americans,1.0,,
11,amount,1.0,1.0,1.0
12,announc,,2.0,
13,announcement,2.0,,2.0
14,anybodi,,1.0,
15,anybody,1.0,,1.0
16,anyway,2.0,3.0,2.0
17,anyways,1.0,,1.0
18,april,1.0,1.0,1.0
19,arrang,,1.0,
20,arrangement,1.0,,1.0
21,ask,1.0,1.0,1.0
22,assess,,3.0,
23,assessment,3.0,,3.0
24,avail,,1.0,
25,available,1.0,,1.0
26,back,1.0,1.0,1.0
27,base,,1.0,
28,based,1.0,,1.0
29,basic,,4.0,
30,basically,4.0,,4.0
31,begin,,1.0,
32,beginning,1.0,,1.0
33,better,1.0,1.0,1.0
34,bimart,1.0,1.0,1.0
35,busi,,1.0,
36,busy,1.0,,1.0
37,christma,,1.0,
38,christmas,1.0,,1.0
39,class,1.0,1.0,1.0
40,close,,1.0,
41,closely,1.0,,1.0
42,could,3.0,3.0,3.0
43,coupl,,1.0,
44,couple,1.0,,1.0
45,cours,,5.0,
46,course,4.0,,5.0
47,courses,1.0,,
48,coverag,,1.0,
49,coverage,1.0,,1.0
50,custom,,2.0,
51,customer,1.0,,2.0
52,customers,1.0,,
53,day,1.0,2.0,2.0
54,days,1.0,,
55,deal,1.0,1.0,1.0
56,describ,,1.0,
57,describing,1.0,,1.0
58,design,3.0,4.0,3.0
59,designer,1.0,,1.0
60,differ,,1.0,
61,difference,1.0,,1.0
62,discus,,,1.0
63,discuss,1.0,1.0,
64,document,4.0,5.0,5.0
65,documents,1.0,,
66,dont,1.0,1.0,1.0
67,either,1.0,1.0,1.0
68,electr,,1.0,
69,electric,1.0,,1.0
70,els,,1.0,
71,else,1.0,,1.0
72,encourag,,1.0,
73,encourage,1.0,,1.0
74,end,1.0,1.0,1.0
75,enough,1.0,1.0,1.0
76,error,19.0,19.0,19.0
77,evalu,,1.0,
78,evaluation,,,1.0
79,evaluations,1.0,,
80,ever,1.0,1.0,1.0
81,everybodi,,5.0,
82,everybody,3.0,,3.0
83,everybodys,2.0,,2.0
84,everyth,,2.0,
85,everything,2.0,,2.0
86,exactli,,1.0,
87,exactly,1.0,,1.0
88,facebook,1.0,1.0,1.0
89,far,1.0,1.0,1.0
90,feedback,3.0,3.0,3.0
91,feel,1.0,1.0,1.0
92,field,1.0,1.0,1.0
93,fill,1.0,1.0,1.0
94,final,5.0,5.0,5.0
95,finish,,1.0,
96,finishing,1.0,,1.0
97,free,1.0,1.0,1.0
98,get,3.0,3.0,3.0
99,girl,,1.0,1.0
100,girls,1.0,,
101,give,3.0,4.0,3.0
102,giving,1.0,,1.0
103,go,,5.0,1.0
104,goe,,1.0,
105,goes,1.0,,
106,going,5.0,,5.0
107,good,1.0,1.0,1.0
108,graduat,,1.0,
109,graduation,1.0,,1.0
110,guess,1.0,1.0,1.0
111,guy,,1.0,1.0
112,guys,1.0,,
113,help,,1.0,
114,helpful,1.0,,1.0
115,hope,,1.0,
116,hopefully,1.0,,1.0
117,ill,4.0,4.0,4.0
118,import,,2.0,
119,important,2.0,,2.0
120,individu,,1.0,
121,individual,1.0,,1.0
122,inform,,1.0,
123,information,1.0,,1.0
124,instead,1.0,1.0,1.0
125,institut,,1.0,
126,institute,1.0,,1.0
127,jason,1.0,1.0,1.0
128,job,1.0,1.0,1.0
129,knock,1.0,1.0,1.0
130,know,1.0,1.0,1.0
131,lab,1.0,1.0,1.0
132,last,6.0,6.0,6.0
133,lectur,,1.0,
134,lecture,1.0,,1.0
135,lectureroom,1.0,1.0,1.0
136,left,2.0,2.0,2.0
137,let,1.0,1.0,1.0
138,like,2.0,2.0,2.0
139,link,1.0,1.0,1.0
140,look,2.0,2.0,2.0
141,love,1.0,1.0,1.0
142,mactan,1.0,1.0,1.0
143,make,5.0,5.0,5.0
144,mani,,2.0,
145,many,2.0,,2.0
146,mark,,1.0,
147,marked,1.0,,1.0
148,marla,1.0,1.0,1.0
149,may,1.0,1.0,1.0
150,mean,1.0,1.0,1.0
151,men,1.0,1.0,1.0
152,mention,1.0,1.0,1.0
153,mission,1.0,1.0,1.0
154,monday,4.0,4.0,4.0
155,much,1.0,1.0,1.0
156,name,1.0,1.0,1.0
157,need,2.0,2.0,2.0
158,next,2.0,2.0,2.0
159,note,,1.0,1.0
160,notes,1.0,,
161,noth,,1.0,
162,nothing,1.0,,1.0
163,one,1.0,1.0,1.0
164,onlin,,2.0,
165,online,2.0,,2.0
166,open,3.0,3.0,3.0
167,option,,1.0,
168,optional,1.0,,1.0
169,organ,,1.0,
170,organic,,,1.0
171,organics,1.0,,
172,other,,1.0,
173,others,1.0,,1.0
174,page,1.0,1.0,1.0
175,part,1.0,1.0,1.0
176,play,1.0,1.0,1.0
177,pleas,,1.0,
178,please,1.0,,1.0
179,point,2.0,2.0,2.0
180,possibl,,1.0,
181,possible,1.0,,1.0
182,post,,3.0,
183,posted,3.0,,3.0
184,prefer,1.0,1.0,1.0
185,presenc,,1.0,
186,presence,1.0,,1.0
187,prior,1.0,1.0,1.0
188,privat,,1.0,
189,private,1.0,,1.0
190,project,1.0,1.0,1.0
191,provid,,2.0,
192,provide,2.0,,2.0
193,ps,,,1.0
194,pss,1.0,1.0,
195,question,,4.0,4.0
196,questions,4.0,,
197,receiv,,1.0,
198,receive,1.0,,1.0
199,record,,1.0,
200,recording,1.0,,1.0
201,remind,,2.0,
202,reminder,2.0,,2.0
203,requir,,1.0,
204,requirement,,,1.0
205,requirements,1.0,,
206,right,6.0,6.0,6.0
207,room,1.0,1.0,1.0
208,rubric,1.0,1.0,1.0
209,said,2.0,2.0,2.0
210,salvat,,1.0,
211,salvation,1.0,,1.0
212,say,1.0,1.0,1.0
213,second,1.0,1.0,1.0
214,section,1.0,1.0,1.0
215,see,4.0,4.0,4.0
216,seem,,1.0,
217,seemed,1.0,,1.0
218,seen,1.0,1.0,1.0
219,send,1.0,1.0,1.0
220,similar,2.0,2.0,2.0
221,situat,,1.0,
222,situation,1.0,,1.0
223,soda,1.0,1.0,1.0
224,somewhat,1.0,1.0,1.0
225,sprite,1.0,1.0,1.0
226,stone,1.0,1.0,1.0
227,struggl,,1.0,
228,struggling,1.0,,1.0
229,student,,1.0,1.0
230,students,1.0,,
231,submiss,,6.0,
232,submission,6.0,,6.0
233,submit,2.0,2.0,2.0
234,success,,1.0,
235,successful,1.0,,1.0
236,summon,1.0,1.0,1.0
237,suppos,,1.0,
238,supposed,1.0,,1.0
239,sure,5.0,5.0,5.0
240,talk,1.0,1.0,1.0
241,team,1.0,2.0,2.0
242,teams,1.0,,
243,technic,,1.0,
244,technically,1.0,,1.0
245,tell,1.0,1.0,1.0
246,test,,1.0,
247,testing,1.0,,1.0
248,that,,5.0,
249,thats,5.0,,5.0
250,therapi,,1.0,
251,therapy,1.0,,1.0
252,there,,4.0,4.0
253,theres,4.0,,
254,theyr,,1.0,
255,theyre,1.0,,1.0
256,thing,1.0,4.0,4.0
257,things,3.0,,
258,think,4.0,4.0,4.0
259,till,1.0,1.0,1.0
260,time,5.0,6.0,6.0
261,times,1.0,,
262,today,,1.0,1.0
263,todays,1.0,,
264,tonight,1.0,1.0,1.0
265,tough,1.0,1.0,1.0
266,track,1.0,1.0,1.0
267,traxxa,,1.0,
268,traxxas,1.0,,1.0
269,two,2.0,2.0,2.0
270,understand,1.0,1.0,1.0
271,use,1.0,2.0,1.0
272,used,1.0,,1.0
273,valuat,,1.0,
274,valuation,1.0,,1.0
275,view,1.0,1.0,1.0
276,wait,,1.0,
277,waiting,1.0,,1.0
278,wake,,1.0,1.0
279,wakes,1.0,,
280,want,1.0,3.0,2.0
281,wanted,1.0,,1.0
282,wants,1.0,,
283,wednesday,4.0,4.0,4.0
284,week,4.0,4.0,4.0
285,well,5.0,5.0,5.0
286,what,,3.0,
287,whats,3.0,,3.0
288,whenev,,1.0,
289,whenever,1.0,,1.0
290,wiki,1.0,1.0,1.0
291,work,1.0,1.0,1.0
292,wors,,1.0,
293,worse,1.0,,1.0
294,would,1.0,1.0,1.0
295,xavier,1.0,1.0,1.0
296,ye,,1.0,
297,yeah,1.0,1.0,1.0
298,yellow,1.0,1.0,1.0
299,yes,1.0,,1.0
300,yianni,,1.0,
301,yiannis,1.0,,1.0
302,yoli,1.0,1.0,1.0
303,your,,5.0,
304,youre,5.0,,5.0
305,zoom,1.0,1.0,1.0
