label,bow_wt,bow_stem,bow_lem
analyz,,1,
analyze,1,,1
appli,,1,
apply,1,,1
apprais,,1,
appraise,1,,1
argu,,1,
argue,1,,1
assembl,,1,
assemble,1,,1
attribut,,1,
attribute,1,,1
check,1,1,1
classifi,,2,
classify,2,,2
compar,,2,
compare,2,,2
construct,1,1,1
contract,1,1,1
convert,1,1,1
creat,,1,
create,1,,1
critic,,1,
criticize,1,,1
critiqu,,1,
critique,1,,1
debat,,1,
debate,1,,1
defend,1,1,1
defin,,1,
define,1,,1
demonstr,,1,
demonstrate,1,,1
design,1,1,1
develop,1,1,1
devis,,1,
devise,1,,1
differenti,,1,
differentiate,1,,1
discov,,1,
discover,1,,1
discrimin,,1,
discriminate,1,,1
discus,,,2
discuss,2,2,
distinguish,1,1,1
dramat,,1,
dramatize,1,,1
duplic,,1,
duplicate,1,,1
evalu,,2,
evaluate,2,,2
execut,,1,
execute,1,,1
exemplifi,,1,
exemplify,1,,1
experi,,1,
experiment,1,,1
explain,1,1,1
formul,,1,
formulate,1,,1
gener,,1,
generate,1,,1
illustr,,1,
illustrate,1,,1
implement,1,1,1
infer,1,1,1
interpret,2,2,2
judg,,1,
judge,1,,1
list,1,1,1
measur,,1,
measure,1,,1
memor,,1,
memorize,1,,1
organ,,2,
organize,2,,2
paraphras,,1,
paraphrase,1,,1
plan,1,1,1
prepar,,1,
prepare,1,,1
produc,,1,
produce,1,,1
question,1,1,1
rearrang,,1,
rearrange,1,,1
recal,,1,
recall,1,,1
recogn,,1,
recognize,1,,1
rememb,,1,
remember,1,,1
repeat,1,1,1
reproduc,,1,
reproduce,1,,1
retriev,,1,
retrieve,1,,1
rewrit,,1,
rewrite,1,,1
select,1,1,1
solv,,1,
solve,1,,1
summar,,1,
summarize,1,,1
support,1,1,1
test,1,1,1
understand,1,1,1
use,1,1,1
verifi,,1,
verify,1,,1
