file_name,bloom_level,wt_num,stem_num,lem_num,weight
Course_Outline_[EECS2311]_content,remember,2,2,2,7.666666666666667
Course_Outline_[EECS2311]_week_1_study_material,remember,1,1,1,1.0
Course_Outline_[EECS2311]_week_3_lab_tasks,remember,1,1,1,1.0
Course_Outline_[EECS2311]_week_3_study_material,remember,1,2,2,1.6666666666666667
Course_Outline_[EECS2311]_week_8_study_material,remember,1,1,1,2.0
Course_Outline_[EECS2311]_week_9_study_material,remember,1,1,1,2.0
Debug2311-s1-full,remember,0,1,0,1.0
design,remember,1,1,1,1.0
EECS_2311_Project_[EECS2311]_content,remember,0,1,1,1.0
EECS_2311_Project_[EECS2311]_new_requirements,remember,0,1,1,1.0
eecs_2311_team_expectations_agreement,remember,1,1,1,9.333333333333334
junit,remember,2,2,2,5.666666666666667
RefactoringLecture-s1-full,remember,1,3,1,7.333333333333333
video1161828255-s1-full,remember,1,1,1,1.0
video1263128755-s1-full,remember,1,1,1,1.0
video1652578959-s1-full,remember,1,1,1,1.0
video1767379574-s1-full,remember,3,3,3,6.0
video1860539589-s1-full,remember,3,3,3,4.333333333333333
Course_Outline_[EECS2311]_content,understand,2,2,2,7.333333333333333
Course_Outline_[EECS2311]_week_10_study_material,understand,1,1,1,1.0
Course_Outline_[EECS2311]_week_11_due,understand,0,1,0,2.0
Course_Outline_[EECS2311]_week_1_weekly_goals,understand,1,1,1,1.0
Course_Outline_[EECS2311]_week_2_study_material,understand,1,1,1,1.0
Course_Outline_[EECS2311]_week_2_weekly_goals,understand,1,1,1,1.0
Course_Outline_[EECS2311]_week_3_weekly_goals,understand,1,1,1,1.0
Course_Outline_[EECS2311]_week_4_weekly_goals,understand,1,1,1,1.0
Course_Outline_[EECS2311]_week_6_due,understand,0,1,0,2.0
Debug2311-s1-full,understand,1,1,1,1.0
EECS_2311_Project_[EECS2311]_content,understand,0,1,0,1.0
EECS_2311_Project_[EECS2311]_original_requirements,understand,0,1,0,1.0
eecs_2311_team_expectations_agreement,understand,1,2,1,2.6666666666666665
GitInEclipse-s1-full,understand,2,2,2,4.0
junit,understand,2,2,2,3.0
midtermsubmission,understand,1,3,1,2.0
RefactoringLecture-s1-full,understand,3,3,3,8.0
video1070436446-s1-full,understand,3,3,3,3.3333333333333335
video1093009770-s1-full,understand,2,2,2,2.0
video1161828255-s1-full,understand,2,2,2,2.3333333333333335
video1263128755-s1-full,understand,2,2,2,8.333333333333334
video1592612799-s1-full,understand,2,2,2,2.0
video1652578959-s1-full,understand,1,3,1,4.0
video1766812555-s1-full,understand,2,2,2,5.333333333333333
video1767379574-s1-full,understand,1,1,1,2.0
video1860539589-s1-full,understand,4,5,4,24.333333333333332
codecoverage,apply,1,2,1,3.3333333333333335
Course_Outline_[EECS2311]_content,apply,4,6,5,31.0
Course_Outline_[EECS2311]_week_10_study_material,apply,2,2,2,2.0
