label,bow_wt,bow_stem,bow_lem
appli,,2.0,
apply,1.0,,1.0
argu,,2.0,
argue,2.0,,2.0
check,,1.0,
compar,,1.0,
convert,,1.0,
creat,,15.0,
create,11.0,,11.0
critic,,3.0,
demonstr,,1.0,
design,2.0,4.0,2.0
develop,1.0,12.0,1.0
discus,,,4.0
discuss,4.0,7.0,
evalu,,1.0,
evaluate,1.0,,1.0
experi,,1.0,
explain,3.0,3.0,3.0
gener,,1.0,
implement,3.0,7.0,3.0
interpret,1.0,1.0,1.0
list,1.0,1.0,1.0
plan,2.0,3.0,2.0
prepar,,1.0,
prepare,1.0,,1.0
produc,,5.0,
produce,3.0,,3.0
question,26.0,67.0,67.0
recogn,,2.0,
recognize,2.0,,2.0
repeat,1.0,2.0,1.0
select,,2.0,
test,2.0,4.0,2.0
understand,14.0,17.0,14.0
use,26.0,56.0,26.0
