tier,title,LS: Perception,LS: Input,LS: Organization,LS: Processing,LS: Understanding,CT,D,BT,P
T6,Network security,,,,,,,,,
LO1a_1,,,,,,,,,,none
ER1a_1_1,Introduction,P:S,I:V,O:I,Pr:R,U:S,video,shallow,Understand,none
ER1b_1_1,Introduction,P:I,I:A,O:D,Pr:R,U:S,text,shallow,Understand,none
,Part 1,,,,,,,,,
LO2a_1,,,,,,,,,,none
ER2a_1_1,Firewall basics,P:S,I:V,,,,image,shallow,,none
ER2b_1_1,Firewall basics,P:I,I:A,O:D,Pr:R,U:S,text,general,Understand,adaptive
ER2b_1_2,Firewall basics,P:I,I:V,O:I,Pr:R,U:S,video,general,apply,adaptive
LO2a_2,,,,,,,,,,none
ER2a_2_1,Firewall basics,P:S,I:A,O:D,,,video,deep,remember,adaptive
ER2b_2_1,Firewall basics,P:I,I:V,O:I,Pr:A,U:G,text,deep,create,adaptive
ER2b_2_2,Firewall basics,P:S,I:A,O:D,Pr:R,,website,general,apply,adaptive
ER2b_2_3,Firewall basics,P:S,I:A,O:D,Pr:R,,text,general,apply,adaptive
LO2b_1,,,,,,,,,,none
ER3a_1_1,Personal firewalls,P:S,I:V,,,,image,shallow,,none
ER3b_1_1,Personal firewalls,P:I,I:A,O:D,Pr:R,U:S,text,general,"Understand, Apply",none
ER3c_1_1,Personal firewalls,P:I,I:A,,,,website,general,,none
LO2c_1,,,,,,,,,,none
ER4a_1_1,Configuring your own firewall,P:S,I:V,,,,image,shallow,,adaptable
ER4a_1_2,Configuring your own firewall,P:I,I:V,O:I,Pr:A,,video,general,remember,adaptable
ER4a_1_3,Configuring your own firewall,P:I,I:V,O:I,,,audio,general,understand,adaptable
ER4a_1_4,Configuring your own firewall,P:I,I:V,O:I,Pr:R,,text,shallow,analyze,adaptable
ER4b_1_1,Configuring your own firewall,P:I,I:A,O:D,Pr:R,U:S,text,general,"Understand, Apply",adaptive
ER4b_1_2,Configuring your own firewall,P:I,I:V,O:D,Pr:R,U:G,image,shallow,remember,adaptive
