topic,lo,er,ls_p_s,ls_p_i,ls_i_v,ls_i_a,ls_o_i,ls_o_d,ls_pr_a,ls_pr_r,ls_u_s,ls_u_g,ct_text,ct_video,ct_image,ct_website,ct_audio,d_shallow,d_general,d_deep,bt_remember,bt_understand,bt_apply,bt_analyze,bt_evaluate,bt_create,p_adaptive,p_adaptable,p_none
T2,LO1a_1,0,0,1,0.5,0.5,0,0.5,0,0.5,0.5,0,0.5,0.5,0,0,0,1,0,0,0.5,0.5,0,0,0,0,0,0,1
T2,LO2a_1,0,0.62,0.38,0.38,0.62,0.38,0.12,0.25,0.5,0.12,0.25,0.38,0.12,0.38,0.12,0,0.38,0.38,0.25,0.12,0.25,0.12,0.12,0,0.12,0.62,0.38,0
T2,LO2b_1,0,0.62,0.38,0.25,0.75,0.38,0.38,0.38,0.25,0.25,0.38,0.62,0.12,0,0.25,0,0.25,0.62,0.12,0,0.25,0.12,0.12,0.12,0.12,0.25,0.75,0
T2,LO2c_1,0,0.5,0.5,0.5,0.5,0.17,0.17,0,0.67,0.5,0.33,0.17,0,0.17,0.67,0,0.5,0.33,0.17,0,0.5,0,0,0.33,0,0.83,0,0.17
T2,LO2d_1,0,0.33,0.67,0.67,0.33,0.33,0.33,0,0.33,0.33,0.33,0.33,0,0.67,0,0,0.67,0,0.33,0,0.33,0.33,0.33,0,0,0.67,0,0.33
T2,LO3a_1,0,0.33,0.67,0.67,0.33,0,0.17,0.17,0.5,0.33,0.17,0.17,0.17,0.33,0,0.33,0.5,0.17,0.33,0,0.5,0,0.17,0.17,0,0.67,0.33,0
T2,LO3b_1,0,0.71,0.29,0.43,0.57,0.29,0.57,0.43,0.14,0.14,0.43,0.43,0.14,0.14,0.14,0.14,0.29,0.29,0.43,0.14,0.43,0.29,0,0.14,0.14,0,1,0
T2,LO3c_1,0,0.43,0.57,0.57,0.43,0.43,0,0.29,0.29,0.29,0.14,0.57,0,0.14,0.14,0.14,0.71,0.14,0.14,0,0.14,0,0.14,0,0,0.29,0.71,0
T2,LO3d_1,0,0.29,0.71,0.57,0.43,0.29,0.43,0.14,0.57,0.14,0.29,0.29,0.14,0.14,0.14,0.29,0.14,0.57,0.29,0.29,0.14,0,0.14,0.14,0,0.43,0.57,0
T2,LO3d_2,0,0.67,0.33,0.33,0.67,0.33,0.33,0.33,0.11,0.56,0.33,0.33,0.11,0.44,0,0.11,0.33,0.22,0.44,0.11,0.22,0.22,0.22,0.22,0,0,1,0
T2,LO3e_1,0,0.27,0.73,0.54,0.46,0.27,0.27,0.08,0.31,0.31,0.23,0.27,0.15,0.12,0.42,0.04,0.42,0.23,0.35,0,0.31,0.04,0.04,0.15,0.08,0.54,0.42,0.04
T2,LO3f_1,0,0.44,0.56,0.44,0.56,0.11,0.22,0.33,0.33,0.11,0.22,0.33,0,0.11,0.44,0.11,0.22,0.33,0.44,0,0.33,0,0.11,0.33,0,0.22,0.78,0
T2,LO4a_1,0,0.5,0.5,0.5,0.5,0,0.25,0.25,0.25,0.25,0,0.5,0.25,0.25,0,0,0.25,0.25,0.5,0,0.25,0,0,0.5,0,0.5,0.5,0
T2,LO4b_1,0,1,0,0.5,0.5,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0,1,0,0,0,0,0.5,0,0,0,0,0,1
T2,LO4c_1,0,0.4,0.6,0.6,0.4,0.4,0.2,0.4,0.4,0.2,0.2,0.2,0.4,0,0.4,0,0.6,0.2,0.2,0.2,0,0.2,0.2,0.2,0,0,1,0
T2,LO4c_2,0,0.75,0.25,0.25,0.75,0,0,0,0.5,0.5,0.25,0.25,0.25,0.25,0,0.25,0.5,0.5,0,0,0.5,0,0.25,0,0,0.25,0.75,0
T2,LO4d_1,0,0.83,0.17,0.17,0.83,0.17,0.5,0.67,0,0.33,0.33,0.17,0.17,0.33,0.17,0.17,0.5,0.33,0.17,0,0.17,0.17,0.33,0.17,0,0.33,0.67,0
T2,LO4e_1,0,0.75,0.25,0.25,0.75,0.75,0,0.25,0.5,0.75,0,0.25,0,0.25,0.5,0,0.5,0.25,0.25,0,0,0.5,0.25,0,0,0.5,0.5,0
T2,LO4e_2,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
T2,LO4f_1,0,0.88,0.12,0.12,0.88,0.5,0.25,0.25,0.38,0.38,0.38,0.5,0.12,0.38,0,0,0.5,0.25,0.25,0.12,0,0.5,0.12,0,0.25,0.25,0.75,0
T2,LO4f_2,0,0.5,0.5,0.5,0.5,0.33,0.33,0.17,0.5,0,0.67,0.17,0,0.17,0.17,0.5,0.17,0.33,0.5,0,0,0.33,0,0.17,0.17,1,0,0
T2,LO5a_1,0,0,1,0,1,0,0,0,0.5,0,0,0.5,0,0,0.5,0,0.5,0.5,0,0,0.5,0,0,0,0.5,0,0,1
T2,LO6a_1,0,0.5,0.5,0.5,0.5,0,0.5,0,0.5,0.5,0,0.5,0,0.5,0,0,1,0,0,0,0.5,0,0,0,0,0,0,1
T2,LO7a_1,0,0,1,0,1,0,0,0,0,0,0,0.33,0,0,0.67,0,0.33,0.33,0.33,0,0.33,0,0,0,0,0,0,1
