topic,lo,er,ls_p_s,ls_p_i,ls_i_v,ls_i_a,ls_o_i,ls_o_d,ls_pr_a,ls_pr_r,ls_u_s,ls_u_g,ct_text,ct_video,ct_image,ct_website,ct_audio,d_shallow,d_general,d_deep,bt_remember,bt_understand,bt_apply,bt_analyze,bt_evaluate,bt_create,p_adaptive,p_adaptable,p_none
T2,LO1a_1,0,0,2,1,1,0,1,0,1,1,0,1,1,0,0,0,2,0,0,1,1,0,0,0,0,0,0,3
T2,LO2a_1,0,5,3,3,5,3,1,2,4,1,2,3,1,3,1,0,3,3,2,1,2,1,1,0,1,5,3,1
T2,LO2b_1,0,5,3,2,6,3,3,3,2,2,3,5,1,0,2,0,2,5,1,0,2,1,1,1,1,2,6,1
T2,LO2c_1,0,3,3,3,3,1,1,0,4,3,2,1,0,1,4,0,3,2,1,0,3,0,0,2,0,5,0,2
T2,LO2d_1,0,1,2,2,1,1,1,0,1,1,1,1,0,2,0,0,2,0,1,0,1,1,1,0,0,2,0,2
T2,LO3a_1,0,2,4,4,2,0,1,1,3,2,1,1,1,2,0,2,3,1,2,0,3,0,1,1,0,4,2,1
T2,LO3b_1,0,5,2,3,4,2,4,3,1,1,3,3,1,1,1,1,2,2,3,1,3,2,0,1,1,0,7,1
T2,LO3c_1,0,3,4,4,3,3,0,2,2,2,1,4,0,1,1,1,5,1,1,0,1,0,1,0,0,2,5,1
T2,LO3d_1,0,2,5,4,3,2,3,1,4,1,2,2,1,1,1,2,1,4,2,2,1,0,1,1,0,3,5,0
T2,LO3d_2,0,6,3,3,6,3,3,3,1,5,3,3,1,4,0,1,3,2,4,1,2,2,2,2,0,0,10,0
T2,LO3e_1,0,7,19,14,12,7,7,2,8,8,6,7,4,3,11,1,11,6,9,0,8,1,1,4,2,14,11,2
T2,LO3f_1,0,4,5,4,5,1,2,3,3,1,2,3,0,1,4,1,2,3,4,0,3,0,1,3,0,2,7,1
T2,LO4a_1,0,2,2,2,2,0,1,1,1,1,0,2,1,1,0,0,1,1,2,0,1,0,0,2,0,2,2,1
T2,LO4b_1,0,2,0,1,1,1,0,1,0,1,0,1,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,3
T2,LO4c_1,0,2,3,3,2,2,1,2,2,1,1,1,2,0,2,0,3,1,1,1,0,1,1,1,0,0,6,0
T2,LO4c_2,0,3,1,1,3,0,0,0,2,2,1,1,1,1,0,1,2,2,0,0,2,0,1,0,0,1,4,0
T2,LO4d_1,0,5,1,1,5,1,3,4,0,2,2,1,1,2,1,1,3,2,1,0,1,1,2,1,0,2,4,1
T2,LO4e_1,0,3,1,1,3,3,0,1,2,3,0,1,0,1,2,0,2,1,1,0,0,2,1,0,0,2,3,0
T2,LO4e_2,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1
T2,LO4f_1,0,7,1,1,7,4,2,2,3,3,3,4,1,3,0,0,4,2,2,1,0,4,1,0,2,3,6,0
T2,LO4f_2,0,3,3,3,3,2,2,1,3,0,4,1,0,1,1,3,1,2,3,0,0,2,0,1,1,7,0,0
T2,LO5a_1,0,0,2,0,2,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,3
T2,LO6a_1,0,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,3
T2,LO7a_1,0,0,3,0,3,0,0,0,0,0,0,1,0,0,2,0,1,1,1,0,1,0,0,0,0,0,0,4
