topic,lo,er,ls_p_s,ls_p_i,ls_i_v,ls_i_a,ls_o_i,ls_o_d,ls_pr_a,ls_pr_r,ls_u_s,ls_u_g,ct_text,ct_video,ct_image,ct_website,ct_audio,d_shallow,d_general,d_deep,bt_remember,bt_understand,bt_apply,bt_analyze,bt_evaluate,bt_create,p_adaptive,p_adaptable,p_none
T3,LO1a_1,0,1.42,1.42,1.42,1.42,1.42,1.42,N/A,1.42,1.42,N/A,1.42,1.42,N/A,N/A,N/A,0.0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,0.0
T3,LO2a_1,0,1.06,1.06,1.06,1.06,3.1999999999999997,2.0999999999999996,2.0999999999999996,1.6,0.6857142857142857,3.1999999999999997,3.1999999999999997,2.0999999999999996,1.6,3.1999999999999997,1.6,1.6,1.6,1.3,3.1999999999999997,3.1999999999999997,3.1999999999999997,1.6,N/A,3.1999999999999997,0.0,N/A,N/A
T3,LO2a_2,0,1.375,0.9166666666666667,0.9166666666666667,1.375,0.9166666666666667,N/A,1.375,2.25,0.9166666666666667,1.375,2.25,1.375,N/A,2.25,2.25,2.25,2.25,0.9166666666666667,N/A,1.375,N/A,2.25,2.25,N/A,0.5625,N/A,2.25
T3,LO2b_1,0,1.375,0.9166666666666667,0.9166666666666667,1.375,N/A,0.9166666666666667,N/A,0.5625,1.375,N/A,1.375,N/A,0.9166666666666667,N/A,N/A,1.375,2.25,1.375,N/A,2.25,2.25,1.375,N/A,N/A,0.9166666666666667,1.375,N/A
T3,LO2b_2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T3,LO2c_1,0,0.7761194029850746,1.5757575757575757,1.5757575757575757,0.7761194029850746,1.1,1.5757575757575757,1.5757575757575757,2.411764705882353,1.5757575757575757,2.411764705882353,1.1,N/A,2.411764705882353,2.411764705882353,2.411764705882353,1.1,2.411764705882353,1.5757575757575757,N/A,1.5757575757575757,N/A,N/A,1.5757575757575757,N/A,0.4939759036144578,N/A,2.411764705882353
T3,LO2c_2,0,N/A,0.0,0.0,N/A,2.411764705882353,1.1,1.5757575757575757,0.7761194029850746,1.5757575757575757,2.411764705882353,1.5757575757575757,2.411764705882353,2.411764705882353,2.411764705882353,2.411764705882353,1.1,N/A,1.1,N/A,2.411764705882353,2.411764705882353,N/A,N/A,1.5757575757575757,N/A,0.0,N/A
T3,LO2d_1,0,1.3888888888888888,0.78125,1.1555555555555557,0.9454545454545454,2.2222222222222223,1.3888888888888888,2.2222222222222223,1.7407407407407405,1.3888888888888888,2.2222222222222223,1.3888888888888888,N/A,2.2222222222222223,1.7407407407407405,2.2222222222222223,0.9454545454545454,2.2222222222222223,1.7407407407407405,N/A,1.7407407407407405,3.3333333333333335,N/A,N/A,N/A,0.9454545454545454,1.3888888888888888,3.3333333333333335
T3,LO3a_1,0,1.42,1.42,1.42,1.42,N/A,1.42,1.42,N/A,1.42,N/A,1.42,N/A,1.42,N/A,N/A,0.0,N/A,N/A,N/A,1.42,N/A,1.42,N/A,N/A,N/A,N/A,0.0
T3,LO3b_1,0,0.0,N/A,1.7575757575757573,0.8656716417910446,N/A,1.7575757575757573,N/A,1.7575757575757573,1.7575757575757573,N/A,1.7575757575757573,N/A,1.7575757575757573,1.7575757575757573,N/A,0.8656716417910446,1.7575757575757573,N/A,N/A,1.7575757575757573,N/A,N/A,N/A,N/A,N/A,N/A,0.0
