topic,lo,er,ls_mean,ls_std,ls_ccv,ct_mean,ct_std,ct_ccv,d_mean,d_std,d_ccv,bt_mean,bt_std,bt_ccv,p_mean,p_std,p_ccv
T4,LO1a_1,0,0.8,0.42,0.52,0.4,0.55,1.38,0.67,1.15,1.72,0.33,0.82,2.48,1,1.73,1.73
T4,LO2a_1,0,1.1,0.57,0.52,0.6,0.55,0.92,1,1.73,1.73,0.33,0.82,2.48,1.33,2.31,1.74
T4,LO2b_1,0,1,0.47,0.47,0.4,0.55,1.38,0.67,0.58,0.87,0.5,0.84,1.68,1,1.73,1.73
T4,LO2c_1,0,0.9,0.74,0.82,0.6,0.55,0.92,1,1.73,1.73,0.33,0.52,1.58,1.33,2.31,1.74
T4,LO2d_1,0,2.2,3.12,1.42,1.6,2.61,1.63,2.67,1.15,0.43,0.33,0.52,1.58,3,5.2,1.73
T4,LO2e_1,0,0.7,0.48,0.69,0.4,0.55,1.38,0.67,0.58,0.87,0.17,0.41,2.41,1,1.73,1.73
T4,LO3a_1,0,2.4,1.07,0.45,1.2,1.64,1.37,2,1.0,0.5,0.67,0.82,1.22,2.33,1.53,0.66
T4,LO3b_1,0,2.4,0.97,0.4,1.2,0.84,0.7,2,2.65,1.32,0.83,1.17,1.41,2.33,3.21,1.38
T4,LO3c_1,0,0.7,0.48,0.69,0.4,0.55,1.38,0.67,1.15,1.72,0.17,0.41,2.41,1,1.73,1.73
T4,LO3d_1,0,2,0.67,0.34,1,1.0,1.0,1.67,1.53,0.92,0.83,0.75,0.9,2,1.0,0.5
T4,LO3e_1,0,0.7,0.48,0.69,0.4,0.55,1.38,0.67,1.15,1.72,0.17,0.41,2.41,1,1.73,1.73
T4,LO4a_1,0,3.6,1.71,0.47,1.8,0.84,0.47,3,1.0,0.33,1.33,0.52,0.39,3.33,2.08,0.62
T4,LO4b_1,0,3.2,2.44,0.76,1.6,1.34,0.84,2.67,0.58,0.22,1.17,1.17,1.0,3,4.36,1.45
T4,LO4c_1,0,1.3,0.82,0.63,0.8,1.3,1.62,1.33,1.15,0.86,0.5,0.84,1.68,1.67,1.53,0.92
T4,LO4d_1,0,5,2.54,0.51,2.6,0.89,0.34,4.33,3.51,0.81,2,1.41,0.7,4.67,7.23,1.55
T4,LO5a_1,0,0.6,0.97,1.62,0.4,0.55,1.38,0.67,0.58,0.87,0.33,0.52,1.58,1,1.73,1.73
T4,LO6a_1,0,0.9,0.74,0.82,0.6,0.55,0.92,1,1.73,1.73,0.17,0.41,2.41,1.33,2.31,1.74
