topic,lo,er,ls_p_s,ls_p_i,ls_i_v,ls_i_a,ls_o_i,ls_o_d,ls_pr_a,ls_pr_r,ls_u_s,ls_u_g,ct_text,ct_video,ct_image,ct_website,ct_audio,d_shallow,d_general,d_deep,bt_remember,bt_understand,bt_apply,bt_analyze,bt_evaluate,bt_create,p_adaptive,p_adaptable,p_none
T7,LO1a_1,0,0.71,0.71,0.71,0.71,0.71,0.71,0.0,0.71,0.71,0.0,0.71,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T7,LO2a_1,0,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.0,0.58,0.58,0.0,0.58,0.0,0.58,0.58,0.0,0.0,0.58,0.58,0.0,0.0,0.0,0.0,0.58,0.58
T7,LO2b_1,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.58,0.0,0.58,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
T7,LO2c_1,0,0.52,0.52,0.53,0.53,0.48,0.53,0.48,0.52,0.53,0.42,0.53,0.32,0.52,0.0,0.0,0.52,0.53,0.32,0.32,0.48,0.42,0.0,0.42,0.32,0.0,0.32,0.32
T7,LO3a_1,0,0.53,0.53,0.5,0.5,0.5,0.5,0.53,0.5,0.53,0.5,0.44,0.0,0.53,0.33,0.44,0.44,0.53,0.5,0.33,0.5,0.0,0.0,0.5,0.33,0.53,0.53,0.33
T7,LO3b_1,0,0.58,0.58,0.58,0.58,0.0,0.58,0.0,0.58,0.58,0.0,0.58,0.0,0.58,0.58,0.0,0.58,0.58,0.58,0.0,0.58,0.0,0.0,0.0,0.58,0.0,0.58,0.58
T7,LO3c_1,0,0.52,0.52,0.52,0.52,0.41,0.52,0.55,0.41,0.52,0.52,0.52,0.41,0.41,0.41,0.41,0.52,0.55,0.41,0.41,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T7,LO3d_1,0,0.55,0.55,0.55,0.55,0.0,0.45,0.0,0.55,0.55,0.45,0.55,0.0,0.45,0.0,0.55,0.45,0.55,0.45,0.0,0.55,0.45,0.0,0.0,0.45,0.0,0.0,0.0
T7,LO3e_1,0,0.32,0.32,0.32,0.32,0.53,0.48,0.42,0.52,0.48,0.48,0.48,0.32,0.42,0.42,0.42,0.48,0.42,0.53,0.42,0.32,0.0,0.52,0.32,0.0,0.0,0.0,0.0
T7,LO3f_1,0,0.48,0.48,0.42,0.42,0.52,0.48,0.42,0.52,0.32,0.48,0.48,0.42,0.48,0.32,0.32,0.52,0.48,0.48,0.32,0.52,0.32,0.0,0.32,0.0,0.48,0.48,0.0
T7,LO3g_1,0,0.53,0.53,0.5,0.5,0.5,0.44,0.33,0.44,0.5,0.53,0.44,0.44,0.44,0.33,0.44,0.33,0.53,0.5,0.33,0.5,0.44,0.0,0.44,0.0,0.0,0.0,0.0
T7,LO3h_1,0,0.5,0.5,0.52,0.52,0.45,0.45,0.0,0.48,0.51,0.45,0.4,0.45,0.34,0.48,0.34,0.5,0.45,0.5,0.0,0.48,0.4,0.0,0.4,0.34,0.48,0.48,0.0
T7,LO3i_1,0,0.52,0.52,0.53,0.53,0.42,0.48,0.42,0.52,0.53,0.42,0.42,0.42,0.48,0.42,0.32,0.52,0.48,0.48,0.42,0.42,0.42,0.32,0.0,0.0,0.53,0.53,0.0
T7,LO4a_1,0,0.52,0.52,0.5,0.5,0.4,0.47,0.0,0.52,0.52,0.4,0.4,0.3,0.47,0.5,0.3,0.47,0.52,0.4,0.0,0.5,0.0,0.3,0.0,0.4,0.5,0.5,0.0
T7,LO4b_1,0,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.0,0.58,0.0,0.58,0.0,0.0,0.58,0.58,0.0,0.0,0.58,0.0,0.0,0.58,0.58,0.58,0.0,0.58
