tier,title,LS: Perception,LS: Input,LS: Organization,LS: Processing,LS: Understanding,CT,D,BT,P
T1,threat landscape,,,,,,,,,
Part 0,,,,,,,,,,
LO1a_1,introduction,,,,,,,,,
ER1a_1_1,introduction,P:I,I:V,O:D,Pr:R,U:S,video,shallow,Understand,none
ER1b_1_1,introduction,P:I,I:A,O:D,Pr:R,U:S,text,shallow,Understand,none
ER1c_1_1,survey,P:I,I:A,O:D,Pr:R,U:S,website,shallow,Understand,none
Part 1,,,,,,,,,,
LO2a_1,,,,,,,,,,none
ER2a_1_1,online the new frontline,P:I,I:V,O:I,Pr:R,U:S,video,shallow,Understand,none
ER2b_1_1,online the new frontline,P:I,I:A,O:I,Pr:R,U:S,text,general,Understand,none
LO2b_1,,,,,,,,,,none
ER3a_1_1,talking security: the basics,P:S,I:V,,,,image,shallow,Understand,none
ER3b_1_1,talking security: the basics,P:I,I:A,O:D,Pr:R,U:S,text,general,"Understand,  Analyze",none
LO2c_1,,,,,,,,,,none
ER4a_1_1,Obtaining Sophos Threatsaurus,P:S,I:V,,,,image,shallow,,none
ER4b_1_1,Obtaining Sophos Threatsaurus,P:S,I:A,O:D,Pr:R,U:S,text,general,Understand,none
ER4c_1_1,Obtaining Sophos Threatsaurus,P:S,I:A,O:D,Pr:R,U:S,text,deep,"Understand,  Analyze",none
LO2d_1,,,,,,,,,,none
ER5a_1_1,Cyber security attacks and phishing,P:S,I:V,O:I,Pr:A,U:S,video,general,"Analyze, Evalute",none
ER5b_1_1,Cyber security attacks and phishing,P:I,I:A,O:D,Pr:R,U:S,text,general,Understand,none
ER5c_1_1,Cyber security attacks and phishing,P:I,I:A,,,,website,general,Analyze,none
ER5d_1_1,Cyber security attacks and phishing,P:I,I:A,,,,website,shallow,,none
ER5e_1_1,Cyber security attacks and phishing,P:I,I:A,,,,website,shallow,,none
LO2e_1,,,,,,,,,,none
ER6a_1_1,Examples of high profile cyber security breaches,P:S,I:V,,,,image,shallow,,none
ER6b_1_1,Examples of high profile cyber security breaches,P:I,I:A,O:D,Pr:R,U:S,text,general,"Understand, Analyze",none
ER6c_1_1,Examples of high profile cyber security breaches,P:I,I:A,,,,website,shallow,,none
ER6d_1_1,Examples of high profile cyber security breaches,P:I,I:A,,,,website,general,Understand,none
ER6e_1_1,Examples of high profile cyber security breaches,P:I,I:A,,,,website,general,Understand,none
ER6f_1_1,Examples of high profile cyber security breaches,P:S,I:A,O:I,Pr:A,U:G,text,general,Apply,none
LO2f_1,,,,,,,,,,none
ER7a_1_1,Taking stock of your information assets,P:S,I:V,,,,image,shallow,,none
ER7b_1_1,Taking stock of your information assets,P:I,I:A,O:D,,U:S,text,shallow,Understand,none
ER7c_1_1,Taking stock of your information assets,P:I,I:A,O:D,Pr:A,U:S,text,general,"Apply, Create",none
LO2g_1,,,,,,,,,,none
ER8a_1_1,What are your own safeguards?,P:S,I:V,,,,image,shallow,,none
ER8b_1_1,What are your own safeguards?,P:I,I:A,O:D,Pr:R,U:S,text,shallow,"Understand, Apply",none
ER8c_1_1,What are your own safeguards?,P:I,I:A,,,,website,shallow,Apply,none
Part 2,,,,,,,,,,
LO3a_1,,,,,,,,,,none
ER9a_1_1,Understanding current threats,P:S,I:V,,,,image,shallow,,adaptive
ER9a_1_2,Understanding current threats,P:S,I:A,O:D,,,website,deep,Understand,adaptive
ER9a_1_3,Understanding current threats,P:I,I:V,O:I,,U:G,image,deep,remember,adaptive
ER9a_1_4,Understanding current threats,P:I,I:V,,,U:G,video,deep,evaluate,adaptive
ER9b_1_1,Understanding current threats,P:I,I:A,O:D,Pr:R,U:S,text,shallow,Understand,adaptive
ER9b_1_2,Understanding current threats,P:I,I:V,O:I,,U:G,video,deep,understand,adaptive
ER9b_1_3,Understanding current threats,P:S,I:A,O:D,Pr:R,,video,deep,apply,adaptive
ER9b_1_4,Understanding current threats,P:I,I:V,O:I,,U:S,text,shallow,apply,adaptive
ER9b_1_5,Understanding current threats,P:S,I:A,O:D,Pr:R,U:S,website,deep,evaluate,adaptive
LO3b_1,,,,,,,,,,adaptable
ER10a_1_1,Identifying vulnerable systems,P:S,I:V,O:I,Pr:R,U:S,video,general,Understand,none
ER10b_1_1,Identifying vulnerable systems,P:I,I:A,O:D,Pr:R,U:S,text,shallow,Understand,none
LO3b_2,,,,,,,,,,adaptable
ER10b_2_1,Identifying vulnerable systems,P:S,I:A,O:I,Pr:A,U:G,website,shallow,create,none
ER10b_2_2,Identifying vulnerable systems,P:S,I:A,O:I,Pr:R,U:G,audio,general,create,adaptable
ER10b_2_3,Identifying vulnerable systems,P:I,I:V,O:I,Pr:R,U:S,website,deep,analyze,adaptable
LO3c_1,,,,,,,,,,adaptable
ER11a_1_1,How to keep up to date,P:S,I:V,,,,image,shallow,,adaptable
ER11a_1_2,How to keep up to date,P:S,I:A,O:D,,U:G,audio,general,create,adaptable
ER11a_1_3,How to keep up to date,P:I,I:V,O:D,,,audio,general,create,adaptable
ER11a_1_4,How to keep up to date,P:I,I:V,,Pr:A,,audio,shallow,analyze,adaptable
ER11b_1_1,How to keep up to date,P:I,I:A,O:D,Pr:R,U:S,text,general,"Understand, Analyze",adaptive
ER11b_1_2,How to keep up to date,P:S,I:A,,Pr:R,,image,deep,apply,adaptive
ER11b_1_3,How to keep up to date,P:I,I:V,O:I,Pr:A,U:G,video,shallow,understand,adaptive
ER11b_1_4,How to keep up to date,P:I,I:V,O:I,Pr:A,U:S,text,shallow,create,adaptive
ER11b_1_5,How to keep up to date,P:I,I:V,O:I,Pr:R,U:S,text,deep,create,adaptive
ER11c_1_1,How to keep up to date,P:I,I:A,,,,website,deep,,adaptable
ER11c_1_2,How to keep up to date,P:S,I:A,O:D,Pr:R,U:S,website,deep,remember,adaptable
ER11c_1_3,How to keep up to date,P:S,I:A,,Pr:R,,text,general,analyze,adaptable
ER11c_1_4,How to keep up to date,P:S,I:A,O:D,Pr:R,U:G,video,general,apply,adaptable
ER11c_1_5,How to keep up to date,P:S,I:A,O:D,Pr:R,,text,shallow,remember,adaptable
ER11d_1_1,How to keep up to date,P:I,I:A,,,,website,general,,adaptable
ER11d_1_2,How to keep up to date,P:I,I:V,O:D,Pr:A,U:G,text,shallow,analyze,adaptable
ER11d_1_3,How to keep up to date,P:S,I:A,O:I,,U:G,video,deep,analyze,adaptable
ER11d_1_4,How to keep up to date,P:S,I:A,O:I,Pr:R,U:G,image,general,create,adaptable
