topic,lo,er,ls_p_s,ls_p_i,ls_i_v,ls_i_a,ls_o_i,ls_o_d,ls_pr_a,ls_pr_r,ls_u_s,ls_u_g,ct_text,ct_video,ct_image,ct_website,ct_audio,d_shallow,d_general,d_deep,bt_remember,bt_understand,bt_apply,bt_analyze,bt_evaluate,bt_create,p_adaptive,p_adaptable,p_none
T3,LO1a_1,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0.5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
T3,LO2a_1,0,0.5,0.5,0.5,0.5,0.1,0.2,0.2,0.3,0.7,0.1,0.1,0.2,0.3,0.1,0.3,0.3,0.3,0.4,0.1,0.1,0.1,0.3,0,0.1,1,0,0
T3,LO2a_2,0,0.4,0.6,0.6,0.4,0.6,0,0.4,0.2,0.6,0.4,0.2,0.4,0,0.2,0.2,0.2,0.2,0.6,0,0.4,0,0.2,0.2,0,0.8,0,0.2
T3,LO2b_1,0,0.4,0.6,0.6,0.4,0,0.6,0,0.8,0.4,0,0.4,0,0.6,0,0,0.4,0.2,0.4,0,0.2,0.2,0.4,0,0,0.6,0.4,0
T3,LO2b_2,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
T3,LO2c_1,0,0.67,0.33,0.33,0.67,0.5,0.33,0.33,0.17,0.33,0.17,0.5,0,0.17,0.17,0.17,0.5,0.17,0.33,0,0.33,0,0,0.33,0,0.83,0,0.17
T3,LO2c_2,0,0,1,1,0,0.17,0.5,0.33,0.67,0.33,0.17,0.33,0.17,0.17,0.17,0.17,0.5,0,0.5,0,0.17,0.17,0,0,0.33,0,1,0
T3,LO2d_1,0,0.36,0.64,0.45,0.55,0.18,0.36,0.18,0.27,0.36,0.18,0.36,0,0.18,0.27,0.18,0.55,0.18,0.27,0,0.27,0.09,0,0,0,0.55,0.36,0.09
T3,LO3a_1,0,0.5,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0.5,0,0.5,0,0,1,0,0,0,0.5,0,0.5,0,0,0,0,1
T3,LO3b_1,0,1,0,0.33,0.67,0,0.33,0,0.33,0.33,0,0.33,0,0.33,0.33,0,0.67,0.33,0,0,0.33,0,0,0,0,0,0,1
T3,LO3c_1,0,0.5,0.5,0.5,0.5,0,0.5,0,0.5,0.5,0,0.5,0,0.5,0,0,1,0,0,0,0.5,0,0,0,0,0,0,1
T3,LO3d_1,0,0.5,0.5,0.5,0.5,0,0.5,0,0.5,0.5,0,0.5,0,0.5,0,0,1,0,0,0,0.5,0,0,0,0,0,0,1
T3,LO3e_1,0,0.75,0.25,0.5,0.5,0.75,0,0.25,0,0.25,0,0.25,0,0.5,0.25,0,0.75,0.25,0,0,0.25,0,0.25,0,0,0,0,1
T3,LO3f_1,0,0.5,0.5,0.5,0.5,0,0.5,0,0.5,0.5,0,0.5,0,0.5,0,0,0.5,0.5,0,0,0.5,0,0,0,0,0,0,1
T3,LO3g_1,0,0.5,0.5,0.5,0.5,0,0.5,0,0.5,0.5,0,0.5,0,0.5,0,0,0.5,0.5,0,0,0.5,0,0,0,0,0,0,1
T3,LO3h_1,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0.5,0,0,0,0,1,0,0,0.5,0,0,0,0,0,0,1
T3,LO3i_1,0,1,0,0.5,0.5,0,0.5,0.5,0,0,0.5,0.5,0,0.5,0,0,1,0,0,0,0,0,0,0.5,0,0,0,1
T3,LO4a_1,0,0.33,0.67,0.42,0.58,0.08,0.5,0.33,0.17,0.42,0.17,0.17,0.25,0.25,0.25,0.08,0.42,0.42,0.17,0.17,0.08,0.08,0.17,0,0,0,0.92,0.08
T3,LO4b_1,0,0.43,0.57,0.14,0.86,0,0.43,0.14,0.29,0.14,0.29,0.14,0.14,0.14,0.43,0.14,0.29,0.57,0.14,0,0.14,0,0.14,0.14,0,0.43,0,0.57
T3,LO4c_1,0,0.31,0.69,0.5,0.5,0.38,0.19,0.25,0.25,0.25,0.19,0.12,0.12,0.25,0.31,0.19,0.19,0.62,0.19,0.12,0.19,0,0.06,0.25,0.06,0.75,0.06,0.19
T3,LO4d_1,0,0.56,0.44,0.44,0.56,0.22,0.44,0.33,0.44,0.22,0.56,0.22,0.22,0.11,0.44,0,0.33,0.22,0.44,0.22,0.22,0.33,0.11,0.11,0,0.44,0.56,0
T3,LO4e_1,0,0.4,0.6,0.6,0.4,0.4,0.4,0,0.6,0.4,0.4,0.2,0.4,0.4,0,0,0.4,0.2,0.4,0.2,0.6,0,0,0,0,0.6,0.4,0
T3,LO4f_1,0,0.56,0.44,0.44,0.56,0.44,0.33,0.22,0.33,0.56,0.33,0.44,0,0.11,0.11,0.33,0.11,0.56,0.33,0,0.11,0.44,0.11,0.11,0.11,0,1,0
T3,LO5a_1,0,0,1,0,1,0,0,0,1,0,0,0.5,0,0,0.5,0,0.5,0.5,0,0,0.5,0,0,0,0.5,0,0,1
T3,LO6a_1,0,0.5,0.5,0.5,0.5,0,0.5,0,0.5,0.5,0,0.5,0,0.5,0,0,1,0,0,0,0.5,0,0,0,0,0,0,1
T3,LO7a_1,0,0,1,0,1,0,0,0,0,0,0,0.5,0,0,0.5,0,0.5,0,0.5,0,0.5,0,0,0,0,0,0,1
T3,LO8a_1,0,0,1,0,1,0,0,0,0,0,0,0.33,0,0,0.67,0,0.33,0,0.67,0,0.33,0,0,0,0,0,0,1
