topic,lo,er,ls_p_s,ls_p_i,ls_i_v,ls_i_a,ls_o_i,ls_o_d,ls_pr_a,ls_pr_r,ls_u_s,ls_u_g,ct_text,ct_video,ct_image,ct_website,ct_audio,d_shallow,d_general,d_deep,bt_remember,bt_understand,bt_apply,bt_analyze,bt_evaluate,bt_create,p_adaptive,p_adaptable,p_none
T4,LO1a_1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,3
T4,LO2a_1,0,2,1,1,2,1,1,1,1,1,0,1,0,1,0,1,3,0,0,0,2,0,0,0,0,0,0,4
T4,LO2b_1,0,1,1,1,1,1,1,1,1,2,0,1,1,0,0,0,1,1,0,1,2,0,0,0,0,0,0,3
T4,LO2c_1,0,1,2,1,2,0,1,0,1,1,0,1,0,1,1,0,3,0,0,0,1,1,0,0,0,0,0,4
T4,LO2d_1,0,0,8,0,8,1,1,1,1,2,0,2,0,0,6,0,2,2,4,0,1,1,0,0,0,0,0,9
T4,LO2e_1,0,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,3
T4,LO3a_1,0,4,2,2,4,2,3,3,1,2,1,4,1,0,0,1,3,1,2,2,0,0,1,0,1,2,4,1
T4,LO3b_1,0,2,4,4,2,2,2,2,1,2,3,2,0,2,1,1,1,5,0,0,1,0,0,1,3,0,6,1
T4,LO3c_1,0,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,3
T4,LO3d_1,0,2,3,3,2,1,2,1,2,2,2,1,0,2,0,2,3,0,2,2,1,0,1,1,0,2,3,1
T4,LO3e_1,0,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,3
T4,LO4a_1,0,4,5,5,4,2,4,1,4,6,1,1,2,3,2,1,2,3,4,1,2,1,1,2,1,4,5,1
T4,LO4b_1,0,6,2,2,6,3,1,0,7,4,1,3,3,1,0,1,3,3,2,0,2,1,1,3,0,0,8,1
T4,LO4c_1,0,2,2,2,2,2,1,0,1,1,0,3,0,1,0,0,2,2,0,0,2,0,0,1,0,3,0,2
T4,LO4d_1,0,4,9,9,4,6,3,2,6,2,5,3,2,2,2,4,1,8,4,2,4,1,2,3,0,0,13,1
T4,LO5a_1,0,0,2,0,2,0,0,0,2,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,3
T4,LO6a_1,0,1,2,1,2,0,1,0,1,1,0,1,0,1,1,0,3,0,0,0,1,0,0,0,0,0,0,4
