topic,lo,er,ls_p_s,ls_p_i,ls_i_v,ls_i_a,ls_o_i,ls_o_d,ls_pr_a,ls_pr_r,ls_u_s,ls_u_g,ct_text,ct_video,ct_image,ct_website,ct_audio,d_shallow,d_general,d_deep,bt_remember,bt_understand,bt_apply,bt_analyze,bt_evaluate,bt_create,p_adaptive,p_adaptable,p_none
T5,LO1a_1,0,1.42,1.42,1.42,1.42,1.42,1.42,N/A,1.42,1.42,N/A,1.42,1.42,N/A,N/A,N/A,0.0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,0.0
T5,LO2a_1,0,1.42,1.42,1.42,1.42,N/A,1.42,N/A,1.42,1.42,N/A,1.42,N/A,1.42,N/A,N/A,0.0,N/A,N/A,N/A,1.42,N/A,N/A,N/A,N/A,N/A,N/A,0.0
T5,LO2b_1,0,1.42,1.42,1.42,1.42,N/A,1.42,N/A,1.42,1.42,N/A,1.42,N/A,1.42,N/A,N/A,0.0,N/A,N/A,1.42,1.42,N/A,N/A,N/A,N/A,N/A,N/A,0.0
T5,LO2c_1,0,1.42,1.42,1.42,1.42,N/A,1.42,N/A,1.42,1.42,N/A,1.42,N/A,1.42,N/A,N/A,1.42,1.42,N/A,N/A,1.42,N/A,N/A,N/A,N/A,N/A,N/A,0.0
T5,LO2d_1,0,1.42,1.42,1.42,1.42,1.42,1.42,N/A,0.0,0.0,N/A,1.42,1.42,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,0.0
T5,LO2e_1,0,1.42,1.42,1.42,1.42,N/A,0.0,N/A,0.0,0.0,N/A,1.42,1.42,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,0.0
T5,LO2f_1,0,1.42,1.42,1.42,1.42,N/A,1.42,N/A,1.42,1.42,N/A,1.42,N/A,1.42,N/A,N/A,N/A,0.0,N/A,N/A,1.42,N/A,N/A,N/A,N/A,N/A,N/A,0.0
T5,LO3a_1,0,2.25,0.5625,2.25,0.5625,N/A,2.25,N/A,2.25,2.25,N/A,2.25,N/A,2.25,0.9166666666666667,N/A,2.25,0.5625,N/A,N/A,2.25,N/A,N/A,N/A,N/A,N/A,N/A,0.0
T5,LO3b_1,0,1.7575757575757573,0.8656716417910446,1.7575757575757573,0.8656716417910446,1.7575757575757573,N/A,N/A,1.7575757575757573,1.7575757575757573,N/A,1.7575757575757573,N/A,1.7575757575757573,1.7575757575757573,N/A,1.7575757575757573,0.8656716417910446,N/A,N/A,1.7575757575757573,1.7575757575757573,N/A,N/A,N/A,N/A,N/A,0.0
T5,LO3c_1,0,2.714285714285714,0.4418604651162791,2.714285714285714,0.4418604651162791,2.714285714285714,2.714285714285714,2.714285714285714,2.714285714285714,1.6896551724137931,N/A,1.6896551724137931,N/A,2.714285714285714,0.9298245614035089,N/A,N/A,0.0,N/A,2.714285714285714,2.714285714285714,2.714285714285714,2.714285714285714,N/A,2.714285714285714,N/A,N/A,0.0
T5,LO4a_1,0,0.6857142857142857,1.6,1.6,0.6857142857142857,3.1999999999999997,1.3,3.1999999999999997,1.3,1.3,2.0999999999999996,2.0999999999999996,3.1999999999999997,1.06,N/A,2.0999999999999996,1.3,1.06,3.1999999999999997,3.1999999999999997,2.0999999999999996,2.0999999999999996,2.0999999999999996,3.1999999999999997,3.1999999999999997,1.06,1.06,N/A
T5,LO4b_1,0,1.06,1.06,1.06,1.06,1.368421052631579,1.84,2.9166666666666665,1.84,1.06,N/A,1.368421052631579,2.9166666666666665,1.368421052631579,N/A,2.9166666666666665,0.8387096774193549,1.84,2.9166666666666665,N/A,1.368421052631579,2.9166666666666665,2.9166666666666665,N/A,2.9166666666666665,1.368421052631579,0.8387096774193549,N/A
T5,LO4c_1,0,1.04,1.04,1.1590909090909092,0.9107142857142857,1.1590909090909092,1.3157894736842106,1.8,0.9107142857142857,1.04,1.8,1.8,2.1052631578947367,1.3157894736842106,2.1052631578947367,N/A,1.3157894736842106,1.1590909090909092,2.1052631578947367,4.166666666666667,1.5483870967741935,4.166666666666667,4.166666666666667,2.1052631578947367,2.8333333333333335,1.5483870967741935,0.9107142857142857,2.8333333333333335
T5,LO4d_1,0,1.06,1.06,1.06,1.06,2.9166666666666665,1.06,1.84,1.368421052631579,1.84,2.9166666666666665,1.84,2.9166666666666665,1.84,2.9166666666666665,1.84,1.368421052631579,0.8387096774193549,N/A,N/A,1.84,1.84,2.9166666666666665,2.9166666666666665,2.9166666666666665,0.0,N/A,N/A
T5,LO4e_1,0,1.620689655172414,0.6619718309859155,0.9622641509433962,1.0851063829787235,1.2439024390243902,1.620689655172414,1.4000000000000001,2.166666666666667,1.620689655172414,1.620689655172414,1.620689655172414,2.7500000000000004,1.8333333333333335,2.166666666666667,2.166666666666667,0.9622641509433962,1.620689655172414,2.166666666666667,N/A,1.620689655172414,4.0,2.166666666666667,1.8333333333333335,4.0,1.0851063829787235,1.0851063829787235,4.0
T5,LO5a_1,0,N/A,0.0,N/A,0.0,N/A,N/A,N/A,0.0,N/A,N/A,1.42,N/A,N/A,1.42,N/A,1.42,1.42,N/A,N/A,1.42,N/A,N/A,N/A,1.42,N/A,N/A,0.0
T5,LO6a_1,0,1.42,1.42,1.42,1.42,N/A,1.42,N/A,1.42,1.42,N/A,1.42,N/A,1.42,N/A,N/A,0.0,N/A,N/A,N/A,1.42,N/A,N/A,N/A,N/A,N/A,N/A,0.0
