topic,lo,er,ls_mean,ls_std,ls_ccv,ct_mean,ct_std,ct_ccv,d_mean,d_std,d_ccv,bt_mean,bt_std,bt_ccv,p_mean,p_std,p_ccv
T7,LO1a_1,0,0.8,0.42,0.52,0.4,0.55,1.38,0.67,1.15,1.72,0.33,0.82,2.48,1,1.73,1.73
T7,LO2a_1,0,1.2,0.63,0.53,0.6,0.55,0.92,1,1.0,1.0,0.5,0.84,1.68,1.33,1.15,0.86
T7,LO2b_1,0,1.4,0.97,0.69,0.8,0.84,1.05,1.33,1.53,1.15,0.33,0.52,1.58,1.67,2.89,1.73
T7,LO2c_1,0,4.2,1.23,0.29,2,2.35,1.18,3.33,2.08,0.62,1.5,1.05,0.7,3.67,4.73,1.29
T7,LO3a_1,0,3.8,1.03,0.27,1.8,1.48,0.82,3,1.0,0.33,1.33,1.37,1.03,3.33,1.15,0.35
T7,LO3b_1,0,1.1,0.88,0.8,0.6,0.55,0.92,1,0.0,0.0,0.33,0.52,1.58,1.33,1.15,0.86
T7,LO3c_1,0,2.3,1.06,0.46,1.2,0.45,0.38,2,1.0,0.5,0.5,0.84,1.68,2.33,3.21,1.38
T7,LO3d_1,0,1.6,1.07,0.67,1,1.0,1.0,1.67,1.15,0.69,0.67,0.82,1.22,2,2.65,1.32
T7,LO3e_1,0,4.2,2.97,0.71,2,0.71,0.35,3.33,1.53,0.46,1.33,1.51,1.14,3.67,5.51,1.5
T7,LO3f_1,0,3.7,2.21,0.6,2,1.0,0.5,3.33,0.58,0.17,1.17,1.47,1.26,3.67,3.06,0.83
T7,LO3g_1,0,3.8,1.81,0.48,1.8,0.45,0.25,3,2.0,0.67,1.33,1.21,0.91,3.33,4.93,1.48
T7,LO3h_1,0,5.6,2.84,0.51,3.2,1.3,0.41,5.33,1.15,0.22,2.17,1.94,0.89,5.67,5.03,0.89
T7,LO3i_1,0,3.8,1.48,0.39,2,0.71,0.35,3.33,0.58,0.17,1.17,0.98,0.84,3.67,2.31,0.63
T7,LO4a_1,0,4,2.21,0.55,2.2,1.3,0.59,3.67,2.08,0.57,1.17,1.6,1.37,4,3.0,0.75
T7,LO4b_1,0,1.1,0.57,0.52,0.6,0.89,1.48,1,1.0,1.0,0.5,0.55,1.1,1.33,1.15,0.86
T7,LO4c_1,0,3.2,2.25,0.7,1.8,1.3,0.72,3,1.0,0.33,1,0.89,0.89,3.33,3.21,0.96
T7,LO4d_1,0,4.8,2.82,0.59,2.6,1.52,0.58,4.33,0.58,0.13,1.83,0.98,0.54,4.67,7.23,1.55
T7,LO4e_1,0,2.8,1.62,0.58,1.4,0.55,0.39,2.33,2.08,0.89,1,0.89,0.89,2.67,2.08,0.78
T7,LO4f_1,0,1.3,0.48,0.37,0.6,0.89,1.48,1,1.0,1.0,0.67,0.82,1.22,1.33,1.53,1.15
T7,LO4g_1,0,2,0.94,0.47,1,1.22,1.22,1.67,0.58,0.35,0.67,1.21,1.81,2,1.0,0.5
T7,LO4h_1,0,4.7,1.42,0.3,2.4,0.55,0.23,4,0.0,0.0,1.67,1.21,0.72,4.33,3.06,0.71
T7,LO4i_1,0,1.7,1.06,0.62,0.8,0.84,1.05,1.33,0.58,0.44,0.5,0.55,1.1,1.67,1.53,0.92
T7,LO4j_1,0,3,1.76,0.59,1.6,1.52,0.95,2.67,1.53,0.57,0.83,0.98,1.18,3,4.36,1.45
T7,LO4k_1,0,4.2,2.1,0.5,2.2,2.17,0.99,3.67,2.52,0.69,1.67,1.21,0.72,4,3.61,0.9
T7,LO4l_1,0,1.2,0.42,0.35,0.6,0.55,0.92,1,0.0,0.0,0.17,0.41,2.41,1.33,1.15,0.86
T7,LO5a_1,0,0.6,0.7,1.17,0.4,0.55,1.38,0.67,0.58,0.87,0.33,0.52,1.58,1,1.73,1.73
T7,LO6a_1,0,0.7,0.48,0.69,0.4,0.55,1.38,0.67,0.58,0.87,0.17,0.41,2.41,1,1.73,1.73
T7,LO7a_1,0,0.7,1.25,1.79,0.6,0.89,1.48,1,1.0,1.0,0.17,0.41,2.41,1.33,2.31,1.74
T7,LO8a_1,0,0.7,1.25,1.79,0.6,0.89,1.48,1,1.0,1.0,0.17,0.41,2.41,1.33,2.31,1.74
