topic,lo,er,ls_p_s,ls_p_i,ls_i_v,ls_i_a,ls_o_i,ls_o_d,ls_pr_a,ls_pr_r,ls_u_s,ls_u_g,ct_text,ct_video,ct_image,ct_website,ct_audio,d_shallow,d_general,d_deep,bt_remember,bt_understand,bt_apply,bt_analyze,bt_evaluate,bt_create,p_adaptive,p_adaptable,p_none
T8,LO1a_1,0,0.71,0.71,0.71,0.71,0.71,0.71,0.0,0.71,0.71,0.0,0.71,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T8,LO2a_1,0,0.53,0.53,0.53,0.53,0.5,0.44,0.44,0.53,0.5,0.44,0.44,0.5,0.33,0.33,0.44,0.5,0.53,0.33,0.44,0.33,0.44,0.0,0.5,0.0,0.0,0.0,0.0
T8,LO2b_1,0,0.52,0.52,0.52,0.52,0.52,0.41,0.0,0.52,0.55,0.0,0.52,0.0,0.55,0.41,0.0,0.55,0.52,0.41,0.0,0.55,0.0,0.41,0.0,0.0,0.0,0.0,0.0
T8,LO2c_1,0,0.46,0.46,0.46,0.46,0.41,0.49,0.46,0.41,0.51,0.35,0.46,0.26,0.46,0.35,0.46,0.41,0.52,0.49,0.35,0.49,0.35,0.35,0.35,0.0,0.41,0.41,0.0
T8,LO2c_1,0,0.5,0.5,0.5,0.5,0.47,0.5,0.47,0.47,0.52,0.4,0.4,0.4,0.47,0.47,0.3,0.5,0.47,0.5,0.4,0.47,0.0,0.4,0.3,0.4,0.52,0.52,0.3
T8,LO3a_1,0,0.58,0.58,0.58,0.58,0.0,0.58,0.0,0.58,0.58,0.0,0.58,0.0,0.58,0.58,0.0,0.58,0.58,0.58,0.0,0.58,0.0,0.58,0.0,0.0,0.0,0.0,0.0
T8,LO3b_1,0,0.45,0.45,0.45,0.45,0.45,0.55,0.45,0.55,0.55,0.0,0.55,0.0,0.45,0.45,0.0,0.45,0.45,0.0,0.0,0.55,0.45,0.55,0.0,0.45,0.0,0.0,0.0
T8,LO3c_1,0,0.71,0.71,0.71,0.71,0.0,0.71,0.0,0.71,0.71,0.0,0.71,0.0,0.71,0.0,0.0,0.71,0.71,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T8,LO3d_1,0,0.71,0.71,0.71,0.71,0.0,0.71,0.0,0.71,0.71,0.0,0.71,0.0,0.71,0.0,0.0,0.71,0.71,0.0,0.71,0.0,0.71,0.0,0.71,0.0,0.0,0.0,0.0
T8,LO3e_1,0,0.71,0.71,0.71,0.71,0.0,0.71,0.0,0.71,0.71,0.0,0.71,0.0,0.71,0.0,0.0,0.71,0.71,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T8,LO3f_1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T8,LO4a_1,0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
T8,LO4b_1,0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.58,0.0,0.58,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0
T8,LO5a_1,0,0.0,0.0,0.71,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.71,0.0,0.0,0.71,0.0,0.0,0.0,0.71,0.0,0.0,0.0
T8,LO6a_1,0,0.58,0.58,0.58,0.58,0.0,0.58,0.0,0.58,0.58,0.0,0.58,0.58,0.0,0.58,0.0,0.58,0.58,0.0,0.58,0.58,0.58,0.0,0.0,0.0,0.0,0.0,0.0
T8,LO7a_1,0,0.35,0.35,0.35,0.35,0.0,0.35,0.0,0.35,0.35,0.0,0.35,0.0,0.35,0.46,0.0,0.35,0.35,0.46,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T8,LO8a_1,0,0.0,0.0,0.71,0.71,0.0,0.71,0.0,0.71,0.71,0.0,0.71,0.0,0.0,0.71,0.0,0.71,0.71,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
